Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.169123579610072e10,4.596856219859885e9,2.8355407477875453e8,1.276353930511886e8,1.2335552369722495e9,1.618989814044407e8,3.583470276375281e9,8.3149991445362e8,8.414772837082556e8,1.5884650474986228e8,5.588954532510638e9,2.411592267049909e10
cFix,2.3713710440978218e10,2.5045900363586707e9,2.7201839975011086e8,1.2464004620722987e8,9.964259530532175e8,1.3246337994428611e8,3.059149496501449e9,4.764534380885489e8,6.61200112e7,4.2851101270857155e7,2.3628302271720486e9,1.36761683514318e10
cVar,2.0667449644328933e9,2.802937969628269e8,1.798609452725585e6,768272.1451687539,3.5748969290257245e7,4.05484632e6,7.605830291310942e7,3.90310438094399e7,1.0411502241007951e8,1.6624844088850986e7,4.455008842451583e8,1.0627503727952697e9
cFuel,1.5478088850643219e10,1.7637834339180286e9,6.796490126237217e6,-1.2647933363041337e-8,1.9697039559781855e8,2.487612786623995e7,4.455411184939407e8,3.1114681129962474e8,6.344277164990249e8,8.780701001593748e7,2.6601812106699123e9,9.346558536156258e9
cNSE,2.651268323091378e8,4.818895262035906e7,2.9405754496808485e6,2.2270746987899933e6,4.40991903095595e6,504627.2739146335,2.7213584667813526e6,4.868621256006469e6,3.681453359915124e7,1.1563549374216665e7,1.2044221042351912e8,3.044541011576242e7
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.604315048204074e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
