Period_Index,Rep_Period,Rep_Period_Index
1,61,6
2,2,1
3,2,1
4,353,24
5,48,3
6,55,5
7,55,5
8,48,3
9,79,8
10,48,3
11,61,6
12,2,1
13,55,5
14,2,1
15,353,24
16,61,6
17,55,5
18,2,1
19,61,6
20,34,2
21,309,21
22,55,5
23,55,5
24,2,1
25,34,2
26,338,23
27,2,1
28,61,6
29,2,1
30,54,4
31,55,5
32,2,1
33,48,3
34,34,2
35,79,8
36,79,8
37,66,7
38,34,2
39,79,8
40,48,3
41,338,23
42,48,3
43,2,1
44,2,1
45,79,8
46,338,23
47,338,23
48,48,3
49,111,9
50,79,8
51,54,4
52,48,3
53,2,1
54,54,4
55,55,5
56,2,1
57,34,2
58,48,3
59,34,2
60,48,3
61,61,6
62,2,1
63,48,3
64,353,24
65,34,2
66,66,7
67,2,1
68,34,2
69,34,2
70,66,7
71,111,9
72,2,1
73,111,9
74,79,8
75,79,8
76,79,8
77,79,8
78,79,8
79,79,8
80,79,8
81,79,8
82,79,8
83,48,3
84,79,8
85,66,7
86,34,2
87,66,7
88,54,4
89,79,8
90,165,11
91,338,23
92,66,7
93,34,2
94,178,12
95,34,2
96,178,12
97,178,12
98,48,3
99,66,7
100,178,12
101,165,11
102,165,11
103,123,10
104,111,9
105,54,4
106,66,7
107,178,12
108,165,11
109,123,10
110,48,3
111,111,9
112,48,3
113,2,1
114,54,4
115,123,10
116,48,3
117,2,1
118,111,9
119,178,12
120,123,10
121,54,4
122,123,10
123,123,10
124,123,10
125,123,10
126,123,10
127,123,10
128,285,16
129,309,21
130,178,12
131,178,12
132,111,9
133,111,9
134,111,9
135,309,21
136,111,9
137,165,11
138,165,11
139,165,11
140,165,11
141,111,9
142,324,22
143,123,10
144,123,10
145,178,12
146,111,9
147,165,11
148,165,11
149,54,4
150,197,13
151,123,10
152,48,3
153,111,9
154,111,9
155,111,9
156,165,11
157,123,10
158,123,10
159,123,10
160,165,11
161,123,10
162,123,10
163,285,16
164,178,12
165,165,11
166,165,11
167,123,10
168,123,10
169,123,10
170,123,10
171,111,9
172,197,13
173,197,13
174,220,14
175,220,14
176,178,12
177,178,12
178,178,12
179,165,11
180,178,12
181,197,13
182,197,13
183,197,13
184,220,14
185,197,13
186,197,13
187,220,14
188,197,13
189,220,14
190,220,14
191,220,14
192,220,14
193,220,14
194,220,14
195,220,14
196,239,15
197,197,13
198,239,15
199,197,13
200,220,14
201,309,21
202,220,14
203,220,14
204,239,15
205,178,12
206,197,13
207,309,21
208,197,13
209,220,14
210,220,14
211,220,14
212,220,14
213,220,14
214,220,14
215,239,15
216,239,15
217,288,17
218,197,13
219,220,14
220,220,14
221,220,14
222,309,21
223,309,21
224,197,13
225,220,14
226,220,14
227,220,14
228,220,14
229,239,15
230,220,14
231,220,14
232,220,14
233,220,14
234,220,14
235,220,14
236,220,14
237,239,15
238,239,15
239,239,15
240,197,13
241,197,13
242,239,15
243,178,12
244,197,13
245,220,14
246,239,15
247,239,15
248,309,21
249,220,14
250,220,14
251,285,16
252,220,14
253,285,16
254,197,13
255,220,14
256,220,14
257,220,14
258,285,16
259,220,14
260,123,10
261,285,16
262,197,13
263,298,19
264,298,19
265,285,16
266,197,13
267,298,19
268,285,16
269,288,17
270,297,18
271,309,21
272,297,18
273,297,18
274,285,16
275,297,18
276,297,18
277,297,18
278,298,19
279,285,16
280,297,18
281,297,18
282,309,21
283,298,19
284,34,2
285,285,16
286,298,19
287,288,17
288,288,17
289,285,16
290,298,19
291,298,19
292,288,17
293,298,19
294,285,16
295,288,17
296,297,18
297,297,18
298,298,19
299,297,18
300,309,21
301,288,17
302,302,20
303,302,20
304,297,18
305,298,19
306,48,3
307,2,1
308,353,24
309,309,21
310,324,22
311,324,22
312,353,24
313,309,21
314,324,22
315,338,23
316,48,3
317,309,21
318,324,22
319,338,23
320,324,22
321,324,22
322,309,21
323,309,21
324,324,22
325,309,21
326,324,22
327,338,23
328,2,1
329,353,24
330,324,22
331,338,23
332,309,21
333,309,21
334,324,22
335,324,22
336,338,23
337,324,22
338,338,23
339,353,24
340,324,22
341,338,23
342,338,23
343,338,23
344,288,17
345,324,22
346,324,22
347,324,22
348,338,23
349,338,23
350,288,17
351,353,24
352,353,24
353,353,24
354,61,6
355,2,1
356,2,1
357,353,24
358,338,23
359,309,21
360,55,5
361,2,1
362,353,24
363,338,23
364,2,1
365,353,24
