Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,6.241158244016973e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,1.2505904997010672e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,2.276550665324733e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,4.8176135363871284e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,1.018520532780083e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,5.189424867266848e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,6.787521031888902e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,5.501902611437738e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,1.2342669359376718e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,5.258682222741328e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,2.237224796172987e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,1.9342472907968886e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.242812485323393e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,826636.9019678788
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,3.1140127763318177e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,-2.3807419626118702e-8
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,5.5647266443326876e7
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,2.3148505217990573e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,5.974798704910602e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,1.625781794941829e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,4.1437382471068166e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,4.985651959296432e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,848861.72929794
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,170994.70947370754
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,4.593041638699481e7
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,1.1812814558554573e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,-3.981405621493299e-9
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,6.6314033735811934e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,1.5091343505050762e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,3.2949195460133985e7
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,0.0
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,-8.475441715523131e-9
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,2.3191544709255722e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,1.181070990772201e9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,4.018187394084791e-9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,-6.61915379738696e-8
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,4.5399895969214424e7
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,6.468779589573243e8
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,4.149795080078872e9
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,1.6831518994158214e8
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,1.6564070104127994e9
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,2.8174381822478373e7
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_2,11,2,8.231340029154057e-9
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_3,11,3,0.0
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_4,11,4,-2.3924214158682846e-10
PJM_Rest,PJM_Rest_nuclear_1,11,1,7.30644809634818e-10
NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,1,0,0.0
NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,1,0,0.0
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.0
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.0
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.0
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.0
NY_Z_A,NY_Z_A_nuclear_nuclear_moderate_0,2,0,0.0
NY_Z_A,NY_Z_A_naturalgas_ccs100_moderate_0,2,0,0.0
NY_Z_B,NY_Z_B_naturalgas_ccavgcf_moderate_0,3,0,0.0
NY_Z_B,NY_Z_B_naturalgas_ctavgcf_moderate_0,3,0,0.0
NY_Z_B,NY_Z_B_nuclear_nuclear_moderate_0,3,0,0.0
NY_Z_B,NY_Z_B_naturalgas_ccs100_moderate_0,3,0,0.0
NY_Z_C&E,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,4,0,0.0
NY_Z_C&E,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,4,0,0.0
NY_Z_C&E,NY_Z_C&E_nuclear_nuclear_moderate_0,4,0,0.0
NY_Z_C&E,NY_Z_C&E_naturalgas_ccs100_moderate_0,4,0,0.0
NY_Z_D,NY_Z_D_naturalgas_ccavgcf_moderate_0,5,0,0.0
NY_Z_D,NY_Z_D_naturalgas_ctavgcf_moderate_0,5,0,0.0
NY_Z_D,NY_Z_D_nuclear_nuclear_moderate_0,5,0,0.0
NY_Z_D,NY_Z_D_naturalgas_ccs100_moderate_0,5,0,0.0
NY_Z_F,NY_Z_F_naturalgas_ccavgcf_moderate_0,6,0,0.0
NY_Z_F,NY_Z_F_naturalgas_ctavgcf_moderate_0,6,0,0.0
NY_Z_F,NY_Z_F_nuclear_nuclear_moderate_0,6,0,0.0
NY_Z_F,NY_Z_F_naturalgas_ccs100_moderate_0,6,0,0.0
NY_Z_G-I,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,0,1.9091799435146907e8
NY_Z_G-I,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,0,0.0
NY_Z_G-I,NY_Z_G-I_nuclear_nuclear_moderate_0,7,0,0.0
NY_Z_G-I,NY_Z_G-I_naturalgas_ccs100_moderate_0,7,0,0.0
NY_Z_J,NY_Z_J_naturalgas_ccavgcf_moderate_0,8,0,0.0
NY_Z_J,NY_Z_J_naturalgas_ctavgcf_moderate_0,8,0,0.0
NY_Z_J,NY_Z_J_nuclear_nuclear_moderate_0,8,0,0.0
NY_Z_J,NY_Z_J_naturalgas_ccs100_moderate_0,8,0,0.0
NY_Z_K,NY_Z_K_naturalgas_ccavgcf_moderate_0,9,0,0.0
NY_Z_K,NY_Z_K_naturalgas_ctavgcf_moderate_0,9,0,0.0
NY_Z_K,NY_Z_K_nuclear_nuclear_moderate_0,9,0,0.0
NY_Z_K,NY_Z_K_naturalgas_ccs100_moderate_0,9,0,0.0
PJM_EMAC,PJM_EMAC_naturalgas_ccavgcf_moderate_0,10,0,6.736028324544951e8
PJM_EMAC,PJM_EMAC_naturalgas_ctavgcf_moderate_0,10,0,0.0
PJM_EMAC,PJM_EMAC_nuclear_nuclear_moderate_0,10,0,0.0
PJM_EMAC,PJM_EMAC_naturalgas_ccs100_moderate_0,10,0,0.0
PJM_Rest,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,11,0,0.0
PJM_Rest,PJM_Rest_naturalgas_ccavgcf_moderate_0,11,0,2.297128926682736e9
PJM_Rest,PJM_Rest_naturalgas_ctavgcf_moderate_0,11,0,0.0
PJM_Rest,PJM_Rest_nuclear_nuclear_moderate_0,11,0,0.0
PJM_Rest,PJM_Rest_naturalgas_ccs100_moderate_0,11,0,0.0
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,1,1,0.0
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,1,1,8.305692460241027e6
NENG_Rest,NENG_Rest_solar_photovoltaic_1,1,1,3.43895247808164e6
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,2,1,940138.7489681174
NY_Z_A,NY_Z_A_solar_photovoltaic_1,2,1,-7914.463561665998
NY_Z_B,NY_Z_B_onshore_wind_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_solar_photovoltaic_1,3,1,-5527.43495436921
NY_Z_C&E,NY_Z_C&E_onshore_wind_turbine_1,4,1,1.057704550241243e7
NY_Z_C&E,NY_Z_C&E_solar_photovoltaic_1,4,1,-35761.21626122524
NY_Z_D,NY_Z_D_onshore_wind_turbine_1,5,1,3.3910025053768754e6
NY_Z_D,NY_Z_D_solar_photovoltaic_1,5,1,-1364.6224328498038
NY_Z_F,NY_Z_F_solar_photovoltaic_1,6,1,-11453.61972332247
NY_Z_G-I,NY_Z_G-I_solar_photovoltaic_1,7,1,26395.372449944658
PJM_EMAC,PJM_EMAC_solar_photovoltaic_1,10,1,1.8135158744516596e7
PJM_Rest,PJM_Rest_onshore_wind_turbine_1,11,1,2.9511845972291267e8
PJM_Rest,PJM_Rest_solar_photovoltaic_1,11,1,1.992929686450056e7
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_0,1,0,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_1,1,1,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_2,1,2,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_3,1,3,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_4,1,4,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_1_5,1,5,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_0_0,1,0,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_0_1,1,1,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_0_2,1,2,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_0_3,1,3,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_0_4,1,4,0.0
NENG_Rest,NENG_Rest_offshorewind_class3_moderate_fixed_0_5,1,5,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_0,1,0,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_1,1,1,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_2,1,2,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_3,1,3,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_4,1,4,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_0_5,1,5,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_1_0,1,0,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_1_1,1,1,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_1_2,1,2,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_1_3,1,3,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_1_4,1,4,0.0
NENG_Rest,NENG_Rest_offshorewind_class12_moderate_floating_1_5,1,5,0.0
NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_1,1,1,0.0
NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_2,1,2,1.5855154144830504e8
NENG_Rest,NENG_Rest_landbasedwind_class1_moderate_3,1,3,0.0
