Fuel,AnnualSum
No_fuel,0.0
new_england_coal,3.9693322897534445e7
new_england_naturalgas,4.2128535298700565e8
new_england_uranium,7.628470105000016e7
middle_atlantic_naturalgas,1.217957372757954e9
middle_atlantic_uranium,2.949029468138684e8
middle_atlantic_coal,0.0
east_north_central_coal,2.0525985772608109e9
east_north_central_naturalgas,1.3908167029888563e9
east_north_central_uranium,-1.5097248251549898e-9
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
