BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.1646259168044485e8,6.796590607262157e6,-8.564671925357752e6,2.8939958682422778e6,-2.893995868242278e6,79915.34431236993,0.0,2.624457145078163e6,-237164.85173978214,-1.171617179999999e8,1.6804268574621066e7,475362.53774241137,-633853.9030855295,186664.40303543056,-186664.4030354308,4876.576201792452,0.0,-6.276659164665427e6,-119261.62081431734,-1.0254733000000007e7,1.846948566790487e6,629605.6697531698,-743863.0313718928,142785.25991892657,-142785.2599189266,3693.3245419402874,0.0,6.087505573299083e6,-60204.10301278539,-7.763685999999999e6,2.6677062296565406e7,3.5463435491172723e6,-4.1899144011309925e6,279089.2390121282,-279089.23901212844,7313.298558799253,0.0,-1.0171394794276921e7,-486197.9488335286,-1.5383211999999993e7,9.1007857102935e6,0.0,0.0,32126.80153579336,-32126.80153579332,836.8611507705365,0.0,-7.280795317437906e6,-64057.25400637077,-1.7567699999999995e6,6.981212309551285e7,1.539168948992139e7,-1.855396280302675e7,170896.01378173102,-170896.0137817312,4513.032283219491,0.0,-5.672892228235599e7,-422341.5323346478,-9.503099000000004e6,1.777672558798715e7,1.1110560835451725e-11,8.345637472836976e-13,319830.42253974045,-319830.4225397403,8073.998766179883,0.0,-125852.65455944002,-728756.9321938868,-1.6930190000000004e7,2.1503159334297735e7,-5.4509396996138555e-11,1.6545447851529894e-11,1.168497682674637e6,-1.168497682674635e6,61052.29452595562,0.0,4.325565806706519e7,-168271.69588878323,-6.465159799999999e7,3.2023290713531165e6,405992.5907644975,-479669.8851187352,399723.074715968,-399723.0747159679,19176.69879637921,0.0,1.7168981801618695e7,-194349.27741394262,-2.0122461000000004e7,1.4905009772392824e8,2.4173966520755673e6,-3.164497835524877e6,3.4854290466546146e6,-3.485429046654616e6,199738.3257438128,0.0,5.110962581427809e6,-98620.4476505949,-1.53515077e8,5.7086630238691e8,6.391367844069683e6,-8.15213039341383e6,1.1798982991116105e7,-1.1798982991116107e7,50489.90068948992,0.0,6.336059044806823e6,-325476.783062355,-5.751666120000002e8
t1,14679.679505230846,267.2228494394033,-0.0,101.68149417194124,-461.74813994776747,0.0,0.0,-3560.0,-39.019999999999996,-10987.815708894423,2147.212055107165,0.0,-0.0,7.198725768638713,-35.55682182665089,0.0,0.0,-1108.1177514979454,-12.991917929044453,-997.7442896221626,407.7565499999998,0.0,-0.0,5.46158713978552,-22.713828761376202,0.0,0.0,366.4133233473442,-1.5188218953290966,-755.398809830424,2601.3989653616127,0.0,-0.0,10.792845858523739,-44.92754785626448,0.0,0.0,-1027.4062366210944,-43.236519235649055,-1496.621507507128,1606.8824858604687,0.0,-0.0,1.2467256314117716,-9.00730800899305,0.0,0.0,-1418.8289717473353,-9.577095559294513,-170.71583617625768,3452.804995185574,1154.3748033373954,-0.0,6.6040129623689054,-27.48073507440018,0.0,0.0,-3618.1521405710264,-43.30165198719775,-924.849283852714,912.9750332712335,0.0,-0.0,12.216899700939042,-50.83583095141165,0.0,0.0,843.3280860587365,-70.86748933229309,-1646.816698747203,2429.4388,0.0,-0.0,43.77115367484636,-182.14443942764137,0.0,0.0,4011.8337515352073,-13.239051380066185,-6289.660214402347,351.70259999999996,0.0,-0.0,14.903407558069102,-62.03608239916773,0.0,0.0,1680.929939496114,-28.657766254959256,-1956.8420984000563,12825.415494330007,0.0,-0.0,111.70438415341303,-640.4021357592131,0.0,0.0,1746.239415503324,-16.671014443479343,-14026.28614378405,56647.01532763029,0.0,-1000.2054345492406,487.9350079707611,-1954.6079477967328,0.0,0.0,2083.760584496676,-47.830514443479345,-56216.067023308286
t2,14063.698479565835,0.0,-33.03870171410961,70.09230708719676,-340.71832704332945,0.0,0.0,-3560.0,-39.019999999999996,-10161.013757895595,1956.2891134790834,0.0,-0.0,5.022561057243464,-16.508456599832726,0.0,0.0,-1000.0,-12.7,-932.1032179364939,407.7279999999999,0.0,-0.0,3.811604871012329,-16.735290292898494,0.0,0.0,312.5946383920377,-1.484824532362154,-705.9141284377893,2579.982432748139,0.0,-0.0,7.53068706917191,-33.1073816684898,0.0,0.0,-1114.3463747585838,-41.394864134250724,-1398.6644992559866,1409.303049112603,0.0,-0.0,0.870037411620348,-0.0,0.0,0.0,-1242.1841887187227,-8.384743273851377,-159.6041545316492,3481.830884403602,481.85069606552497,-0.0,4.608307132126513,-20.24947540730735,0.0,0.0,-3044.6901715845243,-40.090264960873334,-863.2599756485486,916.7571676362198,0.0,-0.0,8.52505274276472,-37.458759628250164,0.0,0.0,716.5942957472844,-64.69465901903837,-1539.72309747898,2429.4388,0.0,-0.0,30.543571657378042,-134.21548615850222,0.0,0.0,3560.841418144426,-11.750776679876605,-5874.857526963425,351.70259999999996,0.0,-0.0,10.398919378057728,-45.71444158930795,0.0,0.0,1541.1903827780825,-28.091821050251234,-1829.4856395165816,12017.007321297302,0.0,-0.0,78.86302708876947,-298.49327391867837,0.0,0.0,1746.239415503324,-16.671014443479343,-13526.945475527236,56728.41857954777,0.0,-2472.6264385313434,310.6832135436632,-1864.8886094490217,0.0,0.0,2083.760584496676,-47.830514443479345,-54737.51681516428
t3,13464.959549880243,0.0,-0.0,27.493863804673012,-252.90399626405673,0.0,0.0,-3535.61029120406,-38.805370562595726,-9665.133755654204,1851.9710400000001,0.0,-0.0,1.9729036296822806,-40.617726362633945,0.0,0.0,-912.7213030668256,-12.93565248171957,-887.669261718503,407.7279999999999,0.0,-0.0,1.4968243069316078,-30.765007415193114,0.0,0.0,296.1849985003257,-2.057105035028696,-672.5877103570352,2604.9163336369443,0.0,-0.0,2.9579214330918893,-60.8724234296014,0.0,0.0,-1171.3253467605218,-43.66314587728028,-1332.0133390026328,1565.554657338359,0.0,-0.0,0.3416823394918428,-7.024928936933624,0.0,0.0,-1396.9091893188443,-9.429137027902199,-152.53308439417106,3552.67328110164,0.0,-23.185121010626396,1.8099187465555424,-34.791863278837845,0.0,0.0,-2636.1812682240775,-37.4514032953933,-822.8735440392597,918.1546869733018,0.0,-0.0,3.3482062799846,-68.86829843197727,0.0,0.0,675.6325777854704,-62.29721562383935,-1465.9699569829395,2429.4388,0.0,-0.0,11.99607385067159,-185.24509210641338,0.0,0.0,3352.185580394313,-11.062212415301234,-5597.31314972327,351.70259999999996,0.0,-0.0,4.084475500663746,-84.05160071433534,0.0,0.0,1498.74424189422,-27.919914179671586,-1742.5598025008767,12016.14377739672,0.0,-36.85184789271845,31.891626681778455,-458.90037387702637,0.0,0.0,1746.239415503324,-16.671014443479343,-13281.851583368596,56675.90049014252,0.0,-2698.572241793824,135.90739795138091,-1918.2357841968678,0.0,0.0,2083.760584496676,-47.830514443479345,-54230.9299321564
t4,14160.058505918363,0.0,-800.9558967051133,36.1083757799608,-358.37747377421067,0.0,0.0,-3560.0,-39.019999999999996,-9437.813511219001,2011.8194400000002,0.0,-139.30103989235977,2.6042955779134265,-0.0,0.0,0.0,-1000.0,-12.7,-862.4226956855534,407.6994499999999,0.0,-0.0,1.9761002441198987,-0.0,0.0,0.0,244.88743775941435,-1.1632153293572287,-653.3997726741769,2577.559867114107,0.0,-0.0,3.904667893189746,-0.0,0.0,0.0,-1243.301796777197,-44.52430967636734,-1293.638428553732,1568.2524173383592,0.0,-0.0,0.4510771104558501,-0.0,0.0,0.0,-1411.6922517393166,-9.528922699240386,-147.48232001025812,3629.910753380545,0.0,-996.205264325479,2.3893085661877187,-0.0,0.0,0.0,-1803.3049440705413,-33.13850768679503,-799.6513458639187,918.2370310155076,0.0,-0.0,4.420043300079241,-0.0,0.0,0.0,559.4374230300057,-57.54753707960872,-1424.5469602659853,2429.4388,0.0,-0.0,15.836220496425142,-19.127375744385688,0.0,0.0,3019.649984981944,-9.964844950440414,-5435.8327847835435,351.70259999999996,0.0,-0.0,5.391822238465766,-0.0,0.0,0.0,1364.3241468156912,-27.375512794603544,-1694.043056259553,12063.61926739672,0.0,-273.04159680851814,43.02673591286559,-181.65648796183018,0.0,0.0,1746.239415503324,-16.671014443479343,-13381.51631959908,56551.050617516856,0.0,-4085.249665642352,161.40597311239074,-0.0,0.0,0.0,2083.760584496676,-47.830514443479345,-54663.136995040106
t5,14168.762283249042,0.0,-1225.7510070623835,42.52430376599377,-0.0,0.0,0.0,-3560.0,-39.019999999999996,-9386.515579952651,1831.1261342102264,0.0,-0.0,3.105964441036995,-1.5461132643990234,0.0,0.0,-968.5869635574135,-12.784815198394982,-851.3142066310558,407.6708999999999,0.0,-0.0,2.359268914277299,-1.175361614262523,0.0,0.0,236.8148398721194,-1.358897610889837,-644.310749561244,2645.585247114107,0.0,-0.0,4.6580349102903895,-0.0,0.0,0.0,-1328.8936226356354,-44.878953930590214,-1276.470705458171,1554.9640429089984,0.0,-0.0,0.5384362137709697,-0.26820332137534075,0.0,0.0,-1400.3201008638698,-9.45216068083112,-145.46201425669292,3545.16644163424,0.0,-1092.5065162147696,2.8511882502687347,-0.0,0.0,0.0,-1634.7713171224887,-32.19471937588594,-788.5450771713643,918.4457272963685,0.0,-0.0,5.274607087870649,-2.6268148828820137,0.0,0.0,541.8474541571125,-56.57971926822,-1406.3612543902493,2429.4388,0.0,-0.0,18.897254867354086,-16.217167727042533,0.0,0.0,2938.727028051177,-9.697799192568885,-5361.14811599892,351.70259999999996,0.0,-0.0,6.432350733017184,-3.2026631905408336,0.0,0.0,1345.1826820989982,-27.29798986250094,-1672.8169797789737,12111.09526739672,0.0,-0.0,51.33993435020292,-144.37192562631674,0.0,0.0,1746.239415503324,-16.671014443479343,-13747.63167718045,56653.46922018587,0.0,-2455.619338098094,212.32783938021532,-365.73368330430196,0.0,0.0,2083.760584496676,-47.830514443479345,-56080.37410821689
t6,14103.803445286598,0.0,-883.6807082068924,94.07622517980536,-118.4424482937753,0.0,0.0,-3560.0,-39.019999999999996,-9596.736513965736,1864.3680042766857,0.0,-0.0,6.715240843595996,-0.0,0.0,0.0,-1000.0,-12.7,-858.3832451202816,407.6423499999999,0.0,-0.0,5.0975229515775915,-0.0,0.0,0.0,237.7496447069875,-1.1293108123581987,-649.3602068462068,2620.460557114107,0.0,-0.0,10.069291688956259,-13.044670857212875,0.0,0.0,-1284.0434035785001,-45.86254220028637,-1287.5792321670635,1650.1241029089983,0.0,-0.0,1.1635045962907964,-0.0,0.0,0.0,-1493.7226595431148,-10.082627951916024,-147.48232001025812,3596.3249961139454,0.0,-1166.7,6.162249916672029,-10.423705057648789,0.0,0.0,-1598.7674016111887,-31.993097449022656,-794.6030419127576,919.4711122340364,0.0,-0.0,11.399805388199479,-0.0,0.0,0.0,544.6263269711901,-57.01218628601913,-1418.4850583074067,2429.4388,-6.501466032204917e-13,-0.0,40.842855960000634,-30.389868970828843,0.0,0.0,2974.4699278492026,-9.815750761902368,-5404.545964076471,351.70259999999996,0.0,-0.0,13.904532413046693,-0.0,0.0,0.0,1349.6875652054232,-27.316234639081962,-1687.9784629793876,12647.837611796362,0.0,-0.0,118.7281731572698,-0.0,0.0,0.0,1746.239415503324,-16.671014443479343,-14496.134186013474,56827.304290420936,0.0,-169.6739954518362,455.51157876605845,-392.02944380565197,0.0,0.0,2083.760584496676,-47.830514443479345,-58757.0424999827
t7,13666.253299652068,0.0,-529.9472764979105,230.60265118484347,-0.0,0.0,0.0,-3178.2807798966046,-35.660870863090125,-10152.967023579304,1916.1899657565446,0.0,-24.212305268277305,16.551797845296424,-7.150333973742895,0.0,0.0,-1000.0,-12.7,-888.6791243598209,407.61379999999997,0.0,-0.0,12.563391753710032,-5.435713071875975,0.0,0.0,259.076846697012,-1.23061502181082,-672.5877103570352,2529.447547114107,0.0,-0.0,24.81839996592992,-0.0,0.0,0.0,-1177.6032538016095,-44.64935427579458,-1332.0133390026328,1615.4009701236787,0.0,-0.0,2.867625356055921,-1.2403640566696856,0.0,0.0,-1454.676083465502,-9.819063563392138,-152.53308439417106,3652.966766751661,0.0,-427.70900180239005,15.188108451129967,-0.0,0.0,0.0,-2386.663769024097,-30.908560337046048,-822.8735440392597,918.7089164550943,0.0,-0.0,28.097070954388965,-12.148271496206036,0.0,0.0,593.250727851072,-58.907535802119185,-1469.000907962229,2429.4388,0.0,-0.0,100.66557693268149,-43.5221858707922,0.0,0.0,3108.8792327590063,-10.25930146810472,-5585.202122352791,351.70259999999996,0.0,-0.0,34.27125770494805,-14.81140608846742,0.0,0.0,1406.0170788807227,-27.54436916946691,-1749.6351613277363,14029.544867363527,0.0,-0.0,302.5741134765536,-77.42934810988476,0.0,0.0,1320.0,-9.702,-15564.987632730197,57766.48487150712,1950.0148390792663,-0.0,1125.3321627971814,-800.7623552433136,0.0,0.0,2510.0,-40.8615,-62510.20801814025
t8,14446.87008261617,0.0,-312.075364846678,366.5444390143462,-0.0,0.0,0.0,-3560.0,-39.019999999999996,-10902.319156783838,2088.9786157565445,0.0,-156.6180758827304,25.570892399813275,-0.0,0.0,0.0,-1000.0,-12.7,-945.2314322736277,392.01618666534415,0.0,-0.0,19.402296749480875,-0.0,0.0,0.0,305.033577629638,-1.4489094937407572,-715.0031515507222,2491.1052071141066,0.0,-0.0,38.33866015689166,-0.0,0.0,0.0,-1068.2021016787753,-44.399677176230874,-1416.8420884159923,1661.0953601236788,0.0,-0.0,4.4289121425444105,-0.0,0.0,0.0,-1493.8165502667089,-10.083261714300285,-161.62446028521435,3459.258616798618,0.0,-31.694963101461738,23.459660831937406,-0.0,0.0,0.0,-2539.3964500676093,-37.26062012037861,-874.366244341103,912.4383549139185,0.0,-0.0,43.39860469480138,-0.0,0.0,0.0,669.4803783629188,-62.356949651439706,-1562.960388320198,2429.4388,0.0,-0.0,155.48954370611173,-5.189687370710857,0.0,0.0,3370.834771349367,-11.12375474545291,-5939.449672939316,351.70259999999996,0.0,-0.0,52.94049670374025,-0.0,0.0,0.0,1486.0663746711698,-27.868568817418357,-1862.8409025574917,14489.136884487758,0.0,-0.0,468.29083737779115,-0.0,0.0,0.0,1320.0,-9.702,-16267.725721865549,59411.747607519275,1950.0148390792663,-0.0,1736.9207582678007,-0.0,0.0,0.0,2510.0,-40.8615,-65567.82170486634
