Period_Index,Rep_Period,Rep_Period_Index
1,61,4
2,2,1
3,2,1
4,34,2
5,359,12
6,58,3
7,2,1
8,359,12
9,79,5
10,359,12
11,61,4
12,2,1
13,2,1
14,2,1
15,2,1
16,61,4
17,2,1
18,2,1
19,61,4
20,34,2
21,359,12
22,61,4
23,2,1
24,2,1
25,34,2
26,61,4
27,2,1
28,61,4
29,2,1
30,34,2
31,58,3
32,2,1
33,61,4
34,34,2
35,79,5
36,79,5
37,58,3
38,34,2
39,79,5
40,58,3
41,79,5
42,61,4
43,2,1
44,2,1
45,79,5
46,79,5
47,79,5
48,58,3
49,61,4
50,79,5
51,34,2
52,61,4
53,58,3
54,34,2
55,2,1
56,2,1
57,34,2
58,58,3
59,34,2
60,2,1
61,61,4
62,2,1
63,61,4
64,61,4
65,34,2
66,58,3
67,2,1
68,34,2
69,34,2
70,58,3
71,61,4
72,2,1
73,34,2
74,79,5
75,79,5
76,79,5
77,79,5
78,79,5
79,79,5
80,79,5
81,79,5
82,79,5
83,359,12
84,79,5
85,58,3
86,34,2
87,58,3
88,2,1
89,79,5
90,309,10
91,79,5
92,58,3
93,34,2
94,58,3
95,34,2
96,170,6
97,58,3
98,58,3
99,2,1
100,58,3
101,170,6
102,170,6
103,170,6
104,61,4
105,2,1
106,2,1
107,34,2
108,34,2
109,79,5
110,170,6
111,61,4
112,61,4
113,2,1
114,2,1
115,170,6
116,170,6
117,2,1
118,34,2
119,170,6
120,79,5
121,34,2
122,79,5
123,79,5
124,79,5
125,79,5
126,79,5
127,79,5
128,2,1
129,309,10
130,58,3
131,58,3
132,170,6
133,309,10
134,309,10
135,309,10
136,170,6
137,34,2
138,170,6
139,170,6
140,170,6
141,170,6
142,337,11
143,79,5
144,170,6
145,170,6
146,170,6
147,79,5
148,170,6
149,309,10
150,185,7
151,170,6
152,58,3
153,34,2
154,170,6
155,359,12
156,337,11
157,234,8
158,234,8
159,170,6
160,185,7
161,234,8
162,170,6
163,309,10
164,34,2
165,170,6
166,170,6
167,170,6
168,170,6
169,79,5
170,170,6
171,185,7
172,185,7
173,185,7
174,234,8
175,234,8
176,170,6
177,58,3
178,58,3
179,185,7
180,185,7
181,185,7
182,185,7
183,234,8
184,234,8
185,185,7
186,185,7
187,234,8
188,185,7
189,234,8
190,234,8
191,234,8
192,234,8
193,234,8
194,234,8
195,234,8
196,185,7
197,185,7
198,185,7
199,185,7
200,234,8
201,309,10
202,234,8
203,234,8
204,170,6
205,185,7
206,185,7
207,309,10
208,185,7
209,234,8
210,234,8
211,234,8
212,234,8
213,234,8
214,234,8
215,234,8
216,185,7
217,2,1
218,185,7
219,234,8
220,234,8
221,234,8
222,309,10
223,185,7
224,185,7
225,234,8
226,234,8
227,234,8
228,234,8
229,185,7
230,234,8
231,234,8
232,234,8
233,234,8
234,234,8
235,234,8
236,234,8
237,234,8
238,234,8
239,234,8
240,185,7
241,234,8
242,234,8
243,58,3
244,185,7
245,234,8
246,234,8
247,359,12
248,309,10
249,234,8
250,234,8
251,58,3
252,234,8
253,309,10
254,234,8
255,234,8
256,234,8
257,234,8
258,185,7
259,234,8
260,234,8
261,2,1
262,34,2
263,185,7
264,297,9
265,359,12
266,185,7
267,297,9
268,58,3
269,309,10
270,234,8
271,309,10
272,297,9
273,297,9
274,34,2
275,297,9
276,297,9
277,297,9
278,297,9
279,359,12
280,297,9
281,297,9
282,309,10
283,359,12
284,34,2
285,58,3
286,297,9
287,2,1
288,2,1
289,34,2
290,297,9
291,58,3
292,309,10
293,185,7
294,58,3
295,34,2
296,297,9
297,297,9
298,297,9
299,297,9
300,359,12
301,2,1
302,61,4
303,2,1
304,297,9
305,359,12
306,359,12
307,2,1
308,34,2
309,309,10
310,309,10
311,309,10
312,309,10
313,309,10
314,337,11
315,297,9
316,359,12
317,309,10
318,337,11
319,297,9
320,337,11
321,309,10
322,309,10
323,309,10
324,337,11
325,309,10
326,309,10
327,297,9
328,2,1
329,309,10
330,337,11
331,359,12
332,309,10
333,309,10
334,337,11
335,337,11
336,359,12
337,337,11
338,359,12
339,2,1
340,337,11
341,297,9
342,337,11
343,359,12
344,2,1
345,337,11
346,337,11
347,337,11
348,359,12
349,337,11
350,2,1
351,359,12
352,2,1
353,2,1
354,61,4
355,2,1
356,2,1
357,34,2
358,337,11
359,359,12
360,2,1
361,2,1
362,34,2
363,359,12
364,2,1
365,2,1
