Period_Index,Rep_Period,Rep_Period_Index
1,33,2
2,2,1
3,2,1
4,357,12
5,33,2
6,48,4
7,2,1
8,33,2
9,123,5
10,48,4
11,33,2
12,2,1
13,2,1
14,2,1
15,34,3
16,33,2
17,2,1
18,2,1
19,33,2
20,34,3
21,309,10
22,357,12
23,2,1
24,2,1
25,34,3
26,33,2
27,2,1
28,357,12
29,2,1
30,34,3
31,48,4
32,2,1
33,33,2
34,34,3
35,314,11
36,314,11
37,48,4
38,34,3
39,314,11
40,48,4
41,123,5
42,33,2
43,2,1
44,2,1
45,123,5
46,314,11
47,123,5
48,48,4
49,357,12
50,123,5
51,34,3
52,33,2
53,48,4
54,34,3
55,2,1
56,2,1
57,34,3
58,48,4
59,34,3
60,357,12
61,33,2
62,2,1
63,33,2
64,357,12
65,357,12
66,2,1
67,2,1
68,357,12
69,34,3
70,48,4
71,357,12
72,2,1
73,34,3
74,123,5
75,123,5
76,123,5
77,123,5
78,123,5
79,123,5
80,123,5
81,139,6
82,123,5
83,33,2
84,314,11
85,2,1
86,34,3
87,48,4
88,2,1
89,123,5
90,309,10
91,314,11
92,48,4
93,34,3
94,48,4
95,34,3
96,48,4
97,48,4
98,48,4
99,2,1
100,48,4
101,123,5
102,123,5
103,123,5
104,357,12
105,357,12
106,2,1
107,34,3
108,139,6
109,123,5
110,48,4
111,33,2
112,33,2
113,2,1
114,2,1
115,123,5
116,48,4
117,2,1
118,139,6
119,48,4
120,123,5
121,34,3
122,123,5
123,123,5
124,123,5
125,123,5
126,123,5
127,123,5
128,48,4
129,309,10
130,48,4
131,48,4
132,139,6
133,139,6
134,139,6
135,309,10
136,139,6
137,139,6
138,139,6
139,139,6
140,139,6
141,139,6
142,314,11
143,123,5
144,123,5
145,123,5
146,139,6
147,139,6
148,139,6
149,309,10
150,185,7
151,123,5
152,48,4
153,34,3
154,139,6
155,33,2
156,139,6
157,234,8
158,234,8
159,123,5
160,185,7
161,123,5
162,123,5
163,309,10
164,185,7
165,139,6
166,139,6
167,123,5
168,123,5
169,123,5
170,123,5
171,185,7
172,185,7
173,185,7
174,234,8
175,234,8
176,185,7
177,48,4
178,48,4
179,185,7
180,185,7
181,185,7
182,185,7
183,234,8
184,234,8
185,185,7
186,185,7
187,234,8
188,185,7
189,234,8
190,234,8
191,234,8
192,234,8
193,234,8
194,234,8
195,234,8
196,185,7
197,185,7
198,185,7
199,185,7
200,234,8
201,309,10
202,234,8
203,234,8
204,185,7
205,185,7
206,185,7
207,309,10
208,185,7
209,234,8
210,234,8
211,234,8
212,234,8
213,234,8
214,234,8
215,234,8
216,234,8
217,2,1
218,185,7
219,234,8
220,234,8
221,234,8
222,309,10
223,185,7
224,185,7
225,234,8
226,234,8
227,234,8
228,234,8
229,185,7
230,234,8
231,234,8
232,234,8
233,234,8
234,234,8
235,234,8
236,234,8
237,234,8
238,234,8
239,234,8
240,185,7
241,234,8
242,234,8
243,185,7
244,185,7
245,234,8
246,234,8
247,309,10
248,309,10
249,234,8
250,234,8
251,48,4
252,234,8
253,185,7
254,234,8
255,234,8
256,234,8
257,234,8
258,185,7
259,234,8
260,234,8
261,2,1
262,34,3
263,185,7
264,297,9
265,297,9
266,185,7
267,297,9
268,48,4
269,309,10
270,297,9
271,309,10
272,297,9
273,297,9
274,185,7
275,297,9
276,297,9
277,297,9
278,297,9
279,48,4
280,297,9
281,297,9
282,309,10
283,33,2
284,34,3
285,48,4
286,297,9
287,2,1
288,2,1
289,34,3
290,297,9
291,48,4
292,309,10
293,185,7
294,48,4
295,34,3
296,297,9
297,297,9
298,297,9
299,297,9
300,309,10
301,2,1
302,33,2
303,2,1
304,297,9
305,297,9
306,48,4
307,2,1
308,34,3
309,309,10
310,309,10
311,309,10
312,309,10
313,309,10
314,314,11
315,314,11
316,33,2
317,309,10
318,309,10
319,314,11
320,314,11
321,309,10
322,309,10
323,309,10
324,309,10
325,309,10
326,309,10
327,297,9
328,2,1
329,309,10
330,309,10
331,314,11
332,309,10
333,309,10
334,314,11
335,314,11
336,314,11
337,314,11
338,314,11
339,2,1
340,314,11
341,314,11
342,314,11
343,33,2
344,2,1
345,309,10
346,314,11
347,314,11
348,314,11
349,314,11
350,48,4
351,33,2
352,357,12
353,2,1
354,33,2
355,2,1
356,2,1
357,357,12
358,314,11
359,309,10
360,33,2
361,2,1
362,34,3
363,33,2
364,2,1
365,357,12
