Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
9000,1,1.0,1.0,9000,12,24,912.0,1,11082.289493103131,1005.4009982287826,761.199861005102,1508.0927926830186,172.01441612436733,932.0121411151418,1659.2344419243198,6339.0473419154005,1971.3303045644825,14058.856496400302,56669.45921874908
,2,0.067,0.075,603,,,720.0,2,10248.3786579392,939.256195713731,711.3351642280297,1409.3849648218495,160.81821152455643,869.9458304076925,1551.3333064372168,5920.987576586897,1843.0309149079096,13558.35631225496,55178.984250293004
,,,,,,,648.0,3,9748.235054854264,894.4812524727731,677.7528174189812,1342.2229376173425,153.6933540519495,829.2466102716601,1477.024033884778,5641.263889323301,1755.4614902216776,13312.693289079753,54668.31165742974
,,,,,,,672.0,4,9518.960299687538,869.0409438131379,658.4175268319532,1303.5538916511114,148.60417014294455,805.8445586934414,1435.2886890265588,5478.515562188117,1706.5855322572688,13412.589456180045,55104.004544198
,,,,,,,912.0,5,9467.221306264959,857.8472080028985,649.2587049749399,1286.2545816135869,146.5684965793426,794.6522731560325,1416.9658546985602,5403.244460888094,1685.20230064784,13779.554967977037,56532.671917089276
,,,,,,,600.0,6,9679.249730290825,864.9704944275963,654.3469393399472,1297.4482528143378,148.60417014294455,800.7571561764373,1429.1810775838926,5446.983073805675,1700.4760375117178,14529.795569873108,59230.92809723783
,,,,,,,720.0,7,10240.262737402325,895.4988648191585,677.7528174189812,1342.2229376173425,153.6933540519495,829.2466102716601,1480.0778396061112,5629.057764788162,1762.5892340914872,15601.130994591547,63014.36353722083
,,,,,,,72.0,8,10996.057837398832,952.4851562167413,720.493986085043,1427.7018813321695,162.85388508815842,881.1381159451014,1574.7458169674373,5986.086907440971,1876.6331360084407,16305.500907512996,66096.63740128839
,,,,,,,1416.0,9,11628.085149207991,1003.3657735360117,760.1822141321004,1505.039973264632,172.01441612436733,928.9596996049394,1659.2344419243198,6313.617915800528,1975.4033010615165,16824.349367248185,67893.1106297538
,,,,,,,528.0,10,12411.27148101645,1045.0878797378134,791.7292671951461,1568.1315745779566,179.13927359697425,968.641439237571,1727.4361030340924,6588.25571784115,2053.808483629422,17349.31391884666,69660.19991934416
,,,,,,,720.0,11,13280.68946852921,1105.1270081745524,836.5057296072109,1657.680944183966,189.31764141498417,1023.5853864212147,1825.1578861167518,6959.525339118288,2171.9253820434096,17829.427130114393,71594.47368874092
,,,,,,,840.0,12,13863.006767050008,1154.9900131474374,874.1586639082655,1731.9662166980418,197.4603356693921,1070.389489577652,1907.6106405927455,7274.850222942706,2268.6590488479683,18025.142069739453,72508.41551168272
,,,,,,,,13,14129.81765469978,1180.4303218070727,893.4939544952935,1770.635262664273,202.54951957839702,1093.7915411558706,1949.3459854509647,7437.598550077889,2318.5532559366357,18106.689961249896,72697.89125546333
,,,,,,,,14,14104.455403022046,1190.6064452709268,901.6351294793052,1785.8993597562064,203.56735636019803,1102.9488656864778,1965.6329492980747,7501.680703887368,2336.881740173289,18148.483255649,72436.47552340238
,,,,,,,,15,14025.325177787512,1191.624057617312,902.6527763523067,1787.9345727017974,204.585193141999,1103.9663461898788,1967.6688197789633,7509.818120244127,2339.936487546064,18268.766395626903,72290.56906829859
,,,,,,,,16,14100.397442753609,1196.7121193492392,905.7057169713111,1795.0578180113664,204.585193141999,1109.0537487068827,1976.8302369429628,7538.299077492784,2351.137227912908,18623.499723697325,73046.44556487794
,,,,,,,,17,14419.961813893071,1214.0115292377911,918.9351263203303,1820.4979798312554,207.63870348740198,1124.3159562578949,2005.332423675405,7643.068313086059,2385.7576981376974,19871.182463807098,75978.7600167555
,,,,,,,,18,15863.581179389752,1279.138719406457,967.7821762244009,1918.188201219629,218.83490808721288,1184.3473059585426,2114.251494402952,8047.904776834827,2516.093586042787,21922.111935294728,81839.3359634244
,,,,,,,,19,17023.1433260958,1391.076077508852,1053.2645135565247,2087.110875703692,238.17380694143168,1288.1303173054253,2299.515708163827,8755.859999872877,2736.035396882626,21885.41538411503,83394.65824525994
,,,,,,,,20,16683.28915361415,1389.040852816081,1052.2468666835232,2084.058056285305,238.17380694143168,1287.1128368020245,2295.44396720205,8750.774114649901,2730.9441512613334,21376.760410818646,82252.73758621847
,,,,,,,,21,16221.696173079372,1366.6533811956022,1033.9292229694968,2049.459436210256,234.10245981422773,1265.7457462306074,2257.7803633056083,8603.283443183642,2685.1229406697007,20834.4669322742,80743.01107160286
,,,,,,,,22,15582.567430800447,1324.9312749938006,1003.3998167794525,1988.4030478425225,226.9776023416208,1228.0989676047775,2190.59663743628,8344.920473856537,2605.6995089775364,19896.66617990411,78365.95174053696
,,,,,,,,23,14559.961443154169,1264.8921465570613,957.6057074943863,1896.8184652909222,216.7992345236109,1171.1200594143322,2090.8389838727317,7960.427550999667,2488.6008596878073,18466.520032539724,74685.86670625248
