Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
9000,1,1.0,1.0,9000,12,24,984.0,1,10999.364255518196,996.2105233556496,754.2172984434303,1494.2770315943233,170.44582597533224,923.4010263360337,1644.4453137895546,6279.032138953566,1954.2631330316206,13911.3353008645,55661.31459974008
,2,0.067,0.075,603,,,816.0,2,10171.69330915826,930.6703573454095,704.8100155240077,1396.4734741957745,159.35171895918634,861.9081632285031,1537.5059252854487,5864.930372408328,1827.074520034728,13416.086922621718,54197.35504787579
,,,,,,,600.0,3,9675.292121134598,886.3047065077085,671.535722945621,1329.9267238008856,152.29183267618444,821.5849743055322,1463.8589879194135,5587.854981167598,1740.2632444971662,13173.001669757134,53695.767274837315
,,,,,,,1032.0,4,9447.732955833691,861.0969503499239,652.3777969156409,1291.61192811898,147.24905675975447,798.3991406748239,1422.4956395357497,5426.647480809355,1691.810439545969,13271.849614905388,54123.70922405665
,,,,,,,552.0,5,9396.38110879676,850.0055376404986,643.3029898488082,1274.4710984718115,145.2319463931825,787.3102637210069,1404.3361207331657,5352.089011893668,1670.6123373798202,13634.964515449996,55526.96073196192
,,,,,,,384.0,6,9606.822991752024,857.0637093646783,648.3445493303819,1285.5622235376263,147.24905675975447,793.3587420594525,1416.442466601555,5395.413527614945,1685.7538389270694,14377.332756563414,58177.215175615616
,,,,,,,384.0,7,10163.638117466191,887.3130167540198,671.535722945621,1329.9267238008856,152.29183267618444,821.5849743055322,1466.8855743865108,5575.76441864073,1747.329278552549,15437.426535653363,61893.34363697608
,,,,,,,672.0,8,10913.77784378998,943.7783905474575,713.8848225908405,1414.622587939835,161.36882932575833,872.9970401823201,1560.7097548665283,5929.413372551626,1860.385823438676,16134.405414198707,64920.78412424403
,,,,,,,1344.0,9,11541.075896809738,994.1939028630268,753.2089865471155,1491.2521793036465,170.44582597533224,920.3767871668109,1644.4453137895546,6253.84346702259,1958.3008667775537,16647.809537468722,66685.29825439725
,,,,,,,528.0,10,12318.401895094254,1035.5346229617937,784.4666553328727,1553.7657933109665,177.50571225833417,959.6918963667075,1712.0390782213954,6525.881123877125,2036.0272413867658,17167.265575747813,68420.95118332404
,,,,,,,720.0,11,13181.314305106986,1095.0249274941655,828.8323787707216,1642.4947938374848,187.59126409119406,1014.1282014127182,1808.8898451685102,6893.635734069367,2153.121520018826,17642.34090396034,70320.81439509081
,,,,,,,744.0,12,13759.27430901283,1144.4321295634234,866.1399189343672,1716.0995329106197,195.65970555748197,1060.4998686741349,1890.6076797801384,7205.975266013463,2249.017696484737,17836.002184250796,71218.49727461602
,,,,,,,,13,14024.08873588955,1169.639885721208,885.2978449643473,1754.4143285925254,200.70248147391192,1083.685702304843,1931.971028163802,7367.182766371706,2298.4799348724173,17916.69438437182,71404.60226183466
,,,,,,,,14,13998.916261851838,1179.7229881843218,893.3643401348653,1769.5385900459091,201.71103665719792,1092.7584198125114,1948.112822654988,7430.658219637764,2316.6497367291163,17958.049136933845,71147.83709230306
,,,,,,,,15,13920.37814285418,1180.7312984306332,894.37265203118,1771.5551582396938,202.7195918404839,1093.7664995355858,1950.130546966386,7438.718594655676,2319.6780370385663,18077.070132112356,71004.52630000636
