Period_Index,Rep_Period,Rep_Period_Index
1,33,2
2,2,1
3,2,1
4,34,3
5,33,2
6,33,2
7,2,1
8,33,2
9,123,4
10,33,2
11,33,2
12,2,1
13,2,1
14,2,1
15,2,1
16,33,2
17,2,1
18,2,1
19,33,2
20,34,3
21,33,2
22,33,2
23,2,1
24,2,1
25,34,3
26,33,2
27,2,1
28,33,2
29,2,1
30,34,3
31,33,2
32,2,1
33,33,2
34,34,3
35,123,4
36,123,4
37,131,5
38,34,3
39,123,4
40,131,5
41,123,4
42,33,2
43,2,1
44,2,1
45,123,4
46,123,4
47,123,4
48,33,2
49,33,2
50,123,4
51,34,3
52,33,2
53,131,5
54,34,3
55,2,1
56,2,1
57,34,3
58,33,2
59,34,3
60,2,1
61,33,2
62,2,1
63,33,2
64,131,5
65,34,3
66,131,5
67,2,1
68,34,3
69,34,3
70,131,5
71,33,2
72,2,1
73,34,3
74,123,4
75,123,4
76,123,4
77,123,4
78,123,4
79,123,4
80,123,4
81,139,6
82,123,4
83,33,2
84,123,4
85,131,5
86,34,3
87,131,5
88,131,5
89,123,4
90,139,6
91,123,4
92,131,5
93,34,3
94,131,5
95,34,3
96,131,5
97,131,5
98,131,5
99,131,5
100,131,5
101,123,4
102,123,4
103,123,4
104,171,7
105,2,1
106,131,5
107,131,5
108,139,6
109,123,4
110,33,2
111,171,7
112,33,2
113,2,1
114,131,5
115,123,4
116,33,2
117,131,5
118,34,3
119,131,5
120,123,4
121,34,3
122,123,4
123,123,4
124,123,4
125,123,4
126,123,4
127,123,4
128,268,10
129,321,12
130,131,5
131,131,5
132,139,6
133,139,6
134,321,12
135,321,12
136,123,4
137,139,6
138,139,6
139,139,6
140,139,6
141,139,6
142,123,4
143,123,4
144,123,4
145,123,4
146,139,6
147,139,6
148,139,6
149,171,7
150,185,8
151,123,4
152,33,2
153,34,3
154,171,7
155,268,10
156,139,6
157,234,9
158,234,9
159,123,4
160,185,8
161,234,9
162,123,4
163,171,7
164,171,7
165,139,6
166,139,6
167,234,9
168,123,4
169,123,4
170,123,4
171,171,7
172,185,8
173,185,8
174,234,9
175,234,9
176,171,7
177,171,7
178,171,7
179,185,8
180,171,7
181,185,8
182,185,8
183,234,9
184,234,9
185,185,8
186,185,8
187,234,9
188,185,8
189,234,9
190,234,9
191,234,9
192,234,9
193,234,9
194,234,9
195,234,9
196,185,8
197,185,8
198,185,8
199,185,8
200,234,9
201,185,8
202,234,9
203,234,9
204,268,10
205,171,7
206,185,8
207,171,7
208,185,8
209,234,9
210,234,9
211,234,9
212,234,9
213,234,9
214,234,9
215,185,8
216,185,8
217,171,7
218,185,8
219,234,9
220,234,9
221,234,9
222,321,12
223,185,8
224,185,8
225,234,9
226,234,9
227,234,9
228,234,9
229,185,8
230,234,9
231,234,9
232,234,9
233,234,9
234,234,9
235,234,9
236,234,9
237,234,9
238,234,9
239,234,9
240,185,8
241,234,9
242,234,9
243,171,7
244,185,8
245,234,9
246,234,9
247,185,8
248,321,12
249,234,9
250,234,9
251,268,10
252,234,9
253,171,7
254,234,9
255,234,9
256,234,9
257,234,9
258,268,10
259,234,9
260,234,9
261,268,10
262,34,3
263,185,8
264,297,11
265,268,10
266,185,8
267,297,11
268,268,10
269,268,10
270,234,9
271,321,12
272,297,11
273,297,11
274,268,10
275,297,11
276,297,11
277,297,11
278,297,11
279,268,10
280,297,11
281,297,11
282,321,12
283,268,10
284,34,3
285,268,10
286,297,11
287,268,10
288,2,1
289,268,10
290,297,11
291,268,10
292,268,10
293,268,10
294,268,10
295,268,10
296,297,11
297,297,11
298,297,11
299,297,11
300,321,12
301,2,1
302,268,10
303,2,1
304,297,11
305,297,11
306,33,2
307,2,1
308,34,3
309,321,12
310,321,12
311,321,12
312,2,1
313,321,12
314,297,11
315,297,11
316,33,2
317,321,12
318,321,12
319,297,11
320,321,12
321,321,12
322,321,12
323,321,12
324,321,12
325,321,12
326,321,12
327,297,11
328,2,1
329,2,1
330,321,12
331,321,12
332,321,12
333,321,12
334,321,12
335,321,12
336,297,11
337,297,11
338,297,11
339,2,1
340,34,3
341,297,11
342,297,11
343,33,2
344,2,1
345,321,12
346,321,12
347,321,12
348,297,11
349,297,11
350,33,2
351,268,10
352,2,1
353,2,1
354,33,2
355,2,1
356,2,1
357,2,1
358,297,11
359,321,12
360,33,2
361,2,1
362,34,3
363,33,2
364,2,1
365,2,1
