Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.790076424272e7
new_england_naturalgas,4.8977459879103273e8
new_england_uranium,1.8270906313422135e8
middle_atlantic_naturalgas,1.4591211283321621e9
middle_atlantic_uranium,6.626844945632151e8
middle_atlantic_coal,0.0
east_north_central_coal,2.341734686953483e9
east_north_central_naturalgas,1.4839993814229736e9
east_north_central_uranium,-3.2697411370463746e-7
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
