Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,4.657525253951598e6,287425.8545913421,1.0633879487712518e6,2.128885301037542e6,3.241800284033076e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54483.86686532104,41956.68346232258,82888.38087708341,9660.861748238469,51417.913544705014,95827.41396737515,335051.40270919417,115445.06476198969,887704.3321005943,4.0852953206955018e6,753370.8039879021,128107.82260472907,99249.29366583694,190368.75178559264,21859.932326609924,116923.22420779549,206432.28709681588,765504.5639327306,261714.45135273173,2.4922834401965407e6,6.71697462106254e6,1.9142327721880628e6,3.0805777847525023e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,5.948125009285581,4.5217889101201605,8.922187513928371,1.0318176036515803,5.462563784037777,10.10574300046989,36.20465885753927,12.321116090662986,94.93914594312974,419.45927809616023,81.47363148731341,7.134480192431183,5.398742561722255,10.689749684297057,1.2329722480208254,6.535949974945347,12.090310393213919,43.32161714162491,14.759755163200756,129.86503716601274,401.16317974548963,106.98184057040395,1419.5636911376616
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,3.6487794956477493,2.773817065568952,5.473169243471622,0.632951545163385,3.350919944982626,6.199201898217859,22.209152746468185,7.558186098127479,58.104067236495055,270.1609717498166,49.747890886784546,2.791573604070962,2.1124155963691336,4.182676557777464,0.48243637788474675,2.557381187622056,4.730686812267905,16.950847102571828,5.775184989630027,50.5673814727543,180.9768758318498,41.670856467379124,742.6574239109215
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.546943365150013,1.1759926602415915,2.320415047725019,0.26834731844439,1.420662274117359,2.6282252071171137,9.415833850122272,3.204382684953598,24.685220856824575,123.42564142418907,20.934586428491013,2.270682468666594,1.7182513311554262,3.402213833086021,0.39241660112862287,2.080188972973088,3.8479686130088258,13.787919218295979,4.697569603801863,41.11882642475498,133.50189426837187,33.65997755562532,431.5041600082445
t4,0.0,0.0,0.0,16.395347958134014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6959409323387296,1.2892612189717894,2.5439113985080937,0.29419383520161635,1.5574967745967925,2.8813690330040655,10.322742511633185,3.513020502701654,27.667023723168743,125.68889123370113,23.065586618298912,1.5489806068072947,1.1721312981041776,2.320871949461265,0.2676929572166969,1.4190325693234613,2.624950357173436,9.405638953079864,3.204518604351333,28.572008690843717,95.4488188121282,23.078746234953005,385.9781767737012
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2271909401363588,0.9329155616342724,1.8407864102045377,0.2128800610440622,1.1270120878803294,2.084972362578609,7.469585671340182,2.542038375996743,20.55223307519943,97.70627608864157,16.87676300817091,0.2822313098484892,0.2135676522511219,0.42287342230654507,0.04877487401744025,0.2585541865390522,0.47827789085062766,1.7137501851370507,0.5838778608107168,5.3368664662353815,24.794877409566443,4.255441967589402,190.96174686797931
t6,0.0,0.0,0.0,288.42066112849255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7744917022065492,1.348975834840693,2.6617375533098238,0.30781998915827896,1.6296352367203002,3.014825187932556,10.800860207818435,3.6757328117135657,30.508812312270305,141.03373753197917,24.574976861013578,0.8499723083285422,0.6431837433828399,1.2735323344587048,0.1468911875131541,0.7786659066231276,1.4403893144493753,5.161157355437909,1.7584158660555242,16.466478797454997,51.0441397510905,12.902920624737769,602.2180135469883
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.563770527612006,3.4693969827254536,6.845655791418008,0.7916744792796337,4.191217831480413,7.753752988238765,27.778460405311854,9.453524664339156,80.19327453395748,359.332205415493,63.585213621703545,1.722900744764476,1.3037386508200985,2.5814603440850283,0.2977496253535924,1.5783620916802081,2.9196807923022163,10.461707710239326,3.5643231850580515,34.12645576886498,106.82189050497493,26.319588213580673,759.6560048732829
t8,609.4289218525003,0.0,0.0,1087.928294311141,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,10.14581796392181,7.712892227675252,15.218726945882711,1.7599888304762323,9.31758792605064,17.23753766319368,61.75490219876896,21.01633721098089,177.5433264479128,806.7972052270455,142.34200433066138,3.0298611225736773,2.292730480336793,4.539708024258881,0.5236169389682698,2.775678142491993,5.134496197650024,18.39776409831231,6.268152288814336,59.376254499462966,191.34079150016646,46.618184392094484,3308.500780821341
t9,1830.0,240.0,1134.061654787101,1490.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,15.391205614786628,11.7004573296082,23.08680842217994,2.669903014809925,14.13478066664078,26.149344233285436,93.68218519612472,31.881783059200867,268.4201744715051,1227.2764741358228,215.87240147310862,5.506954717654373,4.167175465876044,8.251192219572742,0.9517052616080545,5.04496187221357,9.332255477904221,33.43904215300532,11.392743568570204,107.50628538784225,345.8131509982303,84.81954525251767,7240.552184779169
t10,1830.0,240.0,1166.7,1490.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,15.099260672640614,11.478519592976793,22.648891008960916,2.6192595044376574,13.86666796466995,25.65333573463941,91.9051937880625,31.277039964755556,136.44322454662466,1215.076281295866,0.0,9.756317647129833,7.382716877274421,14.618106810212987,1.6860750296214309,8.93783462304176,16.533357086579077,59.24180128349473,20.18379137401189,188.72603598179967,602.8237580130377,153.1029052771164,7375.760374076954
t11,1830.0,240.0,1166.7,1490.0,3693.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,3.38445224548526,20.45425868076201,2.3654584868908453,0.0,0.0,0.0,0.0,229.92272025736855,1069.5034649300449,113.32264109387756,13.488990795150242,10.207273235927449,19.093471521306363,2.331151093792743,12.35736405059066,17.66644069838634,81.90714377122269,27.905915520839336,189.6742280116378,823.3419211790238,212.69703353709065,11269.3239291094
t12,1830.0,240.0,1166.7,1490.0,3693.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,12.331452470256995,9.374420500348428,18.497178705385487,2.1391295101466214,7.99855136868927,14.797320032075149,53.01262101581278,25.54372297410377,203.27900009362028,942.0277879668995,168.5777085012259,17.967436037121143,13.596163846881938,26.921007350921435,3.105110590307848,16.46010079910762,30.448171807873074,109.10092452741847,9.53620574567158,332.985732174682,1068.3531068958996,281.8590065435268,11787.611859457977
t13,1830.0,240.0,1166.7,1490.0,3693.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,11.52605010060362,8.76215033158132,0.0,0.0,-0.0,-0.0,0.0,0.0,187.0115391646829,866.8931511340078,163.304904669969,23.20832289963279,17.562002731097966,0.0,0.0,9.0240605125544,21.885278731607258,140.92436337881048,48.01319150209267,423.47325059108874,1360.546762847912,361.1272858296152,12062.962314425255
t14,1830.0,240.0,1166.7,1490.0,3693.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,13.126626941899506,9.978915379301153,19.689940412849253,2.2770679389009345,12.055065558887298,22.301871283941505,79.89829562084748,27.190870093934684,210.08244373187583,324.82284053735975,185.11738682880508,10.504416320610034,18.397303097203242,36.42747597738912,4.2016013725320045,22.27256649905315,41.2001687986148,147.6271394873138,50.29683973137826,438.8111656329408,536.8200114310375,376.4298618654256,11009.2298745421
t15,1579.4467388518685,240.0,1166.7,1490.0,3693.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.473373058100496,6.941178958505354,13.69601754228573,1.5838931851622955,8.385316862623919,15.512836195854245,55.57601676172407,18.91354803458506,144.75025774847154,694.8351726917114,127.41049592004406,25.88726077975718,19.58918559005116,38.78745616832746,4.473805134756695,23.715510714341317,43.86935132140059,157.19126973480076,53.55535661315539,462.37832000498463,1519.2984432925914,396.5496034826463,12008.520408647748
t16,0.0,0.0,0.0,0.0,3360.7968642357237,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.875216053256007,5.986771387424208,11.812824079884008,1.3661089071974704,7.232341273398372,13.379831355786989,47.93435077313477,16.31294753888744,126.46127739137457,591.0692070492107,108.21886442330009,27.30700456311785,20.66352190933918,40.914689722926575,4.719163540270366,25.016148475607967,46.27529296769971,165.81216361396557,56.492511117993814,494.9913157615757,1609.862207020184,411.9994391315951,7202.500062292854
t17,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,9.345085798878275,6.215244554442991,12.263636906082148,1.6210863120503127,8.582221652031066,15.877110056257475,56.88105794929481,19.357677726247854,160.364165262883,713.3379504870369,126.70699865324616,29.613409826483608,22.40880508681897,44.37042781048633,5.117753711623845,27.129063364530282,50.183798531457114,179.81699691618147,61.26398375176893,476.05402988879706,1801.9997117463356,440.7268014157236,4269.237017408658
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.424242062611905,8.684755445557009,17.13636309391785,1.9817562761673713,10.491650873827258,19.409554116580427,14.48459127757043,23.664501415410374,203.2822344660803,531.9700510599823,158.9227080199413,26.93537985865143,20.382309255456036,40.35787619761029,3.357843606192894,17.559495953647883,32.48185148934867,-0.0,0.0,546.3986456043539,1696.7693034620984,411.32685927869437,3797.0219728137004
t19,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,8.175757937388097,9.13429984929267,18.023383595248625,2.0843368783620857,11.03472465015222,7.006991461825038,73.13570282017554,8.543058659162071,169.60646209999558,879.4299489400178,168.40793804284357,35.16373483930947,0.0,12.643034104743364,6.076954175249793,32.21375708433385,59.58955065050766,213.51938990513585,72.74645143769897,655.7485290167482,0.0,540.511041955576,2982.795048103767
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,6.4845871046016175,6.483209216501354,9.726880656902424,0.32208818699258535,2.4288575312669067,24.30634436533705,23.248378713877344,29.6347621991797,94.73987803701789,1008.087022264893,199.63262096253283,34.99300301099367,26.479604627446555,52.430791424190176,6.04744850693347,32.05734839597742,59.3002232233282,0.0,72.39324280630065,636.332723410734,1996.0033814778478,535.2335911644625,4856.365987287317
t21,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.115412895398384,4.898685312463179,19.673119343097575,2.2751226451201276,12.044766944753615,12.551629046709056,79.83003869495036,15.303187366257895,208.31392352642087,941.2675427494967,183.66995771481615,5.483315012102857,22.607323723964143,44.76350351552101,5.163091670883162,27.369398566040847,50.62837463681547,181.40998793132198,61.806718739795535,540.6182954899103,1731.3542703707774,458.40426317461163,4622.551929071228
