Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,3.89961615954998e10,3.6073061634607778e9,4.1201759823697084e8,4.9244756913603865e7,7.51335320507297e8,1.3190535017298277e8,7.018675887500547e8,2.763488101383759e9,9.07067462521609e8,2.687946134513915e8,5.634366637366177e9,2.372774783179366e10
cFix,1.7793469053825527e10,1.001947101802801e9,3.212823976742811e8,1.91544884e7,5.139328219746294e8,8.02627958e7,1.304783673e8,1.3838348663340673e9,6.61200112e7,2.23622135e7,2.241113960449035e9,1.2012980029390713e10
cVar,2.455348478161124e9,3.547333034979053e8,1.3019223322905825e7,4.430867568e6,3.4588530597720005e7,7.48283361e6,7.904168390029198e7,1.3458083666318193e8,1.0503103897656685e8,3.2344092395712085e7,5.379574605044274e8,1.1521386071244118e9
cFuel,1.7894969964657448e10,2.1266837202544825e9,7.362528099346526e7,2.2562217638208073e7,1.9697039559781995e8,4.38080030703e7,4.8571734611838704e8,1.2248310290950089e9,6.398002984526026e8,1.8379203443151128e8,2.61208846024485e9,1.028509117876074e10
cNSE,8.11353927914256e8,1.2394203790558848e8,4.0906962463186528e6,3.0971833073957935e6,5.843572337127669e6,351717.6926827705,6.630191431375679e6,2.024136929150037e7,9.611611389243945e7,3.029627312416814e7,2.432067561678634e8,2.775380165177956e8
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,3.684780353075149e7,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
