Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,-1600.0,-600.0,-0.0,887.5078337152314,500.0,240.11261210162618,-804.0112885793752,-43.601824349464486,-0.0,755.0,-0.0,4093.7474199093504,1487.843208824301,-0.0,-0.0,300.0
t2,-0.0,-1600.0,-395.7974144555874,-0.0,786.2804892241589,500.0,173.16051379068597,-775.7729378095057,-203.00123527588227,-0.0,755.0,-0.0,4224.481055877746,1089.816078833864,-0.0,-205.27574605329755,300.0
t3,-0.0,-1465.4919002333033,-0.0,-0.0,713.6014249001391,500.0,124.06723965618706,-789.6491153886587,-0.0,-0.0,507.8990238550976,-0.0,3539.4890691334444,219.1520494149657,-0.0,-978.0027106608339,70.59388762146942
t4,-0.0,-1071.431327967831,-0.0,-0.0,578.2604789300265,500.0,-0.0,-721.8939452963607,-0.0,396.97944936091244,-0.0,394.67419775940135,3279.3920092665076,141.09520025292423,-0.0,-978.0027106608339,300.0
t5,-0.0,-259.50729732564633,-0.0,-0.0,783.565351427025,500.0,254.76648971632702,-748.5336669589885,-0.0,692.3870181421319,-0.0,1246.6524966067823,3075.7864696487873,78.58211041030698,-0.0,-978.0027106608339,300.0
t6,-0.0,-133.99407826479347,-0.0,-0.0,625.3492534205171,500.0,108.8955277451511,-815.359488045888,-0.0,686.5814579111924,-0.0,1418.4456957491414,3004.8653986007726,63.117837205419406,-0.0,-978.0027106608339,300.0
t7,-0.0,-266.1935517997382,-0.0,-0.0,828.5826348811196,500.0,306.5351436365245,-721.3538339139019,-0.0,783.2552460251093,-0.0,1505.2691482017083,3027.056076039405,62.567549869653135,-0.0,-978.0027106608339,243.70564907328318
t8,-0.0,-0.0,30.358581159685016,255.35300648802266,773.3898658252979,500.0,280.3461451366044,-716.6679826254768,-0.0,103.10867924083625,755.0,1536.375919458909,2536.557525774146,-0.0,-263.6971265706887,-978.0027106608339,300.0
t9,-0.0,-0.0,9.918245375768334,171.3791011233275,677.8693713058819,500.0,215.7325080773487,-710.5588934975352,-0.0,542.1717108895984,755.0,446.9750015319751,2292.3604462644353,-0.0,-263.6971265706887,-978.0027106608339,300.0
t10,-0.0,-1167.8990801277998,-0.0,-0.0,1372.0549602704134,500.0,886.7443309775529,-595.2128676040659,786.5057780464348,1824.8161470978653,755.0,-0.0,2715.930997794518,925.8387775918402,-0.0,-0.0,300.0
t11,-0.0,-1600.0,-171.89309246740754,-0.0,1862.2254143498203,-80.5630937019703,1300.0,-502.72151708164245,2847.2473417318442,2150.0,-755.0,1516.3937119449704,3380.6642614036136,2063.3559727884626,-0.0,978.0027106608339,-300.0
