BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0077699022046085e8,3.492939009352524e6,-4.657525253951598e6,2.667603576175963e6,-2.6676035761759663e6,205542.3514188863,0.0,1.7531892157753702e7,-188120.48503440252,-1.1716171799999991e8,2.104960401308943e7,215556.74420590466,-287425.8545913421,182591.68947005016,-182591.68947005004,6783.907539500253,0.0,-1.0657462534717888e7,-72323.27552559887,-1.0254732999999998e7,1.4347120907999994e6,1.1577405700791132e-12,0.0,141205.97712815952,-141205.9771281595,5136.290725366158,0.0,6.366427271822941e6,-42589.65334830069,-7.763686000000003e6,2.16321981721475e7,0.0,0.0,273257.1326626761,-273257.1326626762,9690.833063229964,0.0,-6.000478012210455e6,-258198.9930002729,-1.5383212e7,8.95364510469577e6,0.0,0.0,31520.79407484842,-31520.794074848414,583.27975569282,0.0,-7.149201275839536e6,-48257.108611916854,-1.75677e6,2.08324364764752e7,797494.1725086928,-1.0633879487712518e6,168341.13775250048,-168341.13775250028,10995.342340589847,0.0,-1.0911214381124884e7,-163224.66142835747,-9.503099000000004e6,6.08095878050866e7,0.0,0.0,302259.70106419106,-302259.7010641912,33567.776602819846,0.0,-4.359138169315762e7,-321583.8885318361,-1.693019e7,2.4134970320672344e7,0.0,0.0,1.1005559666419253e6,-1.1005559666419255e6,159396.54045180668,0.0,4.049285805195496e7,-135626.91307909985,-6.465159799999999e7,6.678240484371274e6,0.0,0.0,377159.51611472113,-377159.51611472125,50242.57566197038,0.0,1.352083482782992e7,-126856.88786316194,-2.0122461e7,1.5592400746335536e8,1.5965703048249104e6,-2.128885301037542e6,3.379987772297135e6,-3.3799877722971328e6,403327.9538438862,0.0,-2.2150583073853413e6,-64885.1136012518,-1.5351507700000006e8,5.73083676322422e8,2.4312075738123083e6,-3.241800284033076e6,1.0802269941758035e7,-1.0802269941758033e7,460262.050609943,0.0,2.6127838950742353e6,-179517.55788589752,-5.751666120000001e8
t1,9995.067143310003,0.0,-0.0,188.45547205771737,-154.9709048223014,0.0,0.0,2200.0,-21.61,-12206.941710545421,2187.26919825108,240.0,-0.0,13.082605201716763,-0.0,0.0,0.0,-1387.5078337152313,-8.746271151031124,-1044.097698586535,136.451,0.0,-0.0,9.920531471842416,-0.0,0.0,0.0,647.3952216136053,-3.536806058513849,-790.2299470269336,1234.7155948535892,0.0,-0.0,19.611937198225426,-0.0,0.0,0.0,332.72572503046604,-20.868550318358302,-1566.1847067639223,985.6167500425115,0.0,-0.0,2.264789851672406,-0.0,0.0,0.0,-804.0112885793752,-5.427076197910782,-178.44317511689783,2289.639195920701,391.50476904395595,-0.0,11.998513758983124,-67.5938868553053,0.0,0.0,-1643.6018243494646,-14.300189212964796,-967.6465783059051,8010.586835773455,0.0,-0.0,22.19605339368381,-101.0,0.0,0.0,-6181.590628733651,-27.065131481439273,-1723.1271289520496,2429.4388,0.0,-0.0,79.52627599916418,-0.0,0.0,0.0,4093.7474199093504,-13.509366485700856,-6589.203129422814,661.6661,0.0,-0.0,27.08087125386374,-123.3,0.0,0.0,1487.843208824301,-6.0257649957384185,-2047.2644150824262,15200.351355773597,0.0,-0.0,224.80418310914249,-459.4303130503461,0.0,0.0,-300.0,-4.905,-14660.820225832393,53254.346541395505,3014.7070784376883,-0.0,820.6224578416499,-3058.4030276485223,0.0,0.0,1555.0,-25.33575,-55560.93730002633
t2,9999.876729646187,0.0,-0.0,91.41874735416367,-570.0056374276024,0.0,0.0,1995.7974144555874,-19.047257551417623,-11498.03999647692,2040.409832434309,240.0,-0.0,6.4403530997187115,-0.0,0.0,0.0,-1286.2804892241588,-8.472957320905229,-992.0967389889635,136.42245,0.0,-0.0,4.886232661938085,-0.0,0.0,0.0,613.119975433473,-2.9454697614109873,-751.483188334,1102.2458944569064,0.0,-0.0,9.655845801249086,-0.0,0.0,0.0,396.934686876074,-21.164886008863128,-1487.6715411253663,950.1797900425114,0.0,-0.0,1.1153879230481318,-0.0,0.0,0.0,-775.7729378095057,-5.236467330214164,-170.28577282583964,2266.8697559207008,465.0514257483138,-0.0,5.908301132604683,-0.0,0.0,0.0,-1803.0012352758822,-15.105156238143206,-919.7230912875937,7376.271978940663,0.0,-0.0,10.929888710485763,-16.304944898687747,0.0,0.0,-5710.094549167197,-23.32180015509133,-1637.4805734301724,2429.4388,0.0,-0.0,39.15999984904001,-420.3138116040074,0.0,0.0,4224.481055877746,-13.940787484396562,-6258.825256638383,661.6661,0.0,-0.0,13.333371087757506,-19.879302188790465,0.0,0.0,1295.0918248871615,-5.922531852768885,-1944.28946193336,15025.605255747343,0.0,-0.0,108.67144870924935,-661.1113582067277,0.0,0.0,-505.27574605329755,-6.413776733491737,-13961.475823463075,53192.830128567795,392.04767278287727,-0.0,451.1378475816664,-1731.3542703707772,0.0,0.0,1555.0,-25.33575,-53834.32562856156
t3,9955.523232693482,0.0,-0.0,54.594563984116334,-543.3894051480522,0.0,0.0,1465.4919002333033,-12.89632872205307,-10919.323963040797,2066.8794000000003,136.1435591638823,-0.0,3.817625833816607,-36.70964358873033,0.0,0.0,-1213.6014249001391,-8.276723847230375,-948.2527926615992,136.3939,0.0,-0.0,2.8942439913970177,-8.471598635930704,0.0,0.0,589.534185243952,-2.516043235597264,-717.834687363821,1042.9814244569063,0.0,-0.0,5.72262888081104,-16.715771805125012,0.0,0.0,405.81733118974824,-15.391767712137904,-1422.4138450102027,958.3799700000001,0.0,-0.0,0.6607639195730128,-1.9331164672593555,0.0,0.0,-789.6491153886587,-5.330131528873446,-162.12837053478145,2289.085157407386,69.51094740901112,-0.0,3.5008512470904467,-4.771582219099985,0.0,0.0,-1465.4919002333033,-12.89632872205307,-878.9371448890308,5328.802044582261,0.0,-0.0,6.476193820125939,-0.0,0.0,0.0,-3758.6411185484103,-12.567879728270976,-1564.0692401257065,2429.4388,0.0,-0.0,23.20375306841825,-0.0,0.0,0.0,3539.4890691334444,-11.680313928140365,-5980.451308273723,661.6661,0.0,-0.0,7.901952288755462,-0.0,0.0,0.0,1197.1547600757997,-8.07588572348774,-1858.6469266410672,15025.789614964735,0.0,-0.0,65.80404728157956,-548.8955423592142,0.0,0.0,-1048.5965982823034,-8.342529985968154,-13485.758991618828,53196.092804005144,0.0,-0.0,256.9275356925609,-1879.4980857080395,0.0,0.0,1078.4929114765669,-16.976526857508595,-52635.03863860872
t4,10044.101991534731,0.0,-0.0,46.14433285325192,-687.5579002122885,0.0,0.0,1071.431327967831,-9.428595686116914,-10464.691156457411,2032.2192936301576,0.0,-0.0,3.2449215391460244,-45.903213270707305,0.0,0.0,-1078.2604789300265,-7.911303293111072,-903.389219675459,136.36535,0.0,-0.0,2.461392517075967,-31.33973176034937,0.0,0.0,578.2604789300265,-1.5613032931110715,-684.1861863936418,1033.7309727715465,0.0,-0.0,4.864783347969359,-0.0,0.0,0.0,324.91449593544826,-7.373754661724183,-1356.13649739324,881.4896799999999,0.0,-0.0,0.5618867924183133,-0.29419383520161635,0.0,0.0,-721.8939452963607,-4.872784130750435,-154.99064353010556,2311.8993174073858,0.0,-0.0,2.976529343920254,-0.0,0.0,0.0,-1466.1055257272324,-11.63877119356956,-837.1315498305038,4136.618921151784,0.0,-0.0,5.506319390177501,-5.50959424012118,0.0,0.0,-2628.8335623991184,-16.104575230030214,-1491.6775086726914,2429.4388,0.0,-0.0,19.72838146471305,-19.738576361755456,0.0,0.0,3279.3920092665076,-10.821993630579476,-5697.998620738886,661.6661,0.0,-0.0,6.717539107052987,-6.717403187655252,0.0,0.0,1119.0979109137581,-7.759755484381472,-1773.0043913487746,14978.313614964734,0.0,-16.395347958134014,56.239032414012456,-462.8803808718683,0.0,0.0,-1278.002710660834,-12.093319923357129,-13265.180887964552,52869.02532508018,0.0,-0.0,221.13771004582932,-1787.2649254657745,0.0,0.0,800.0,-11.254999999999999,-52091.64310966023
t5,9955.459150375986,0.0,-0.0,21.132204975760313,-0.0,0.0,0.0,259.50729732564633,-2.283664216465688,-10233.814988460927,2113.5665363698417,49.75543916823204,-0.0,1.509422249984848,-0.0,0.0,0.0,-1283.565351427025,-8.465626448852968,-872.8004199121816,136.3368,0.0,-0.0,1.1464832138853942,-2.2221767806060617,0.0,0.0,528.798861710698,-3.3257672750055205,-660.7342008689716,1047.8647227715467,0.0,-0.0,2.263659832511083,-40.16456003255459,0.0,0.0,310.91313853318366,-10.624781292421156,-1310.2521798122657,904.9322900000001,0.0,-0.0,0.26165493506150245,-1.715408625905572,0.0,0.0,-748.5336669589885,-5.052602251973172,-149.89226709819417,2334.7246574073856,0.0,-0.0,1.3855662744193815,-11.084475540439142,0.0,0.0,-1506.1597939324286,-9.264918197463668,-809.6010360114739,2676.2944781006436,0.0,-0.0,2.5632502534292367,-0.0,0.0,0.0,-1215.32906531018,-21.81164509229615,-1441.7170179515965,2429.4388,0.0,-0.0,9.183335856477232,-0.0,0.0,0.0,3075.7864696487873,-10.150095349840996,-5504.258510155423,661.6661,0.0,-0.0,3.1259162368074596,-0.0,0.0,0.0,1056.5848210711408,-7.506577470518873,-1713.8702598374296,14990.168314964734,0.0,-0.0,25.889099541434813,-466.87942969901985,0.0,0.0,-1278.002710660834,-12.093319923357129,-13259.081954222958,52668.922065682615,0.0,-0.0,122.50115349820801,-1482.498541731871,0.0,0.0,800.0,-11.254999999999999,-52097.66967744895
t6,10043.784200929427,0.0,-0.0,37.47789748575135,-16.87676300817091,0.0,0.0,133.99407826479347,-1.1791478887301827,-10197.200265783069,1993.5749500000004,0.0,-0.0,2.6244640105350916,-1.2271909401363588,0.0,0.0,-1125.349253420517,-8.038442984235395,-861.5845266656465,136.3368,0.0,-0.0,1.992159578223533,-0.0,0.0,0.0,516.4537256753661,-2.2056967410248642,-652.5769885125645,1061.6556699999999,0.0,-0.0,3.935269887768529,-0.0,0.0,0.0,237.67355787984673,-10.346393485939725,-1292.9181042816754,968.4742500000001,0.0,-0.0,0.45471117667143307,-0.2128800610440622,0.0,0.0,-815.359488045888,-5.503676544309744,-147.85291652542963,2357.538817407386,0.0,-0.0,2.4083011433434276,-0.0,0.0,0.0,-1552.4397740139348,-9.122443784925375,-798.384900751869,2411.121153580903,0.0,-0.0,4.455214502381931,-6.815659174846514,0.0,0.0,-962.9560821458583,-22.440442137100202,-1423.36418462548,2429.4388,0.0,-0.0,15.962017563256342,-7.469585671340182,0.0,0.0,3004.8653986007726,-9.916055815382549,-5432.880574677306,661.6661,0.0,-0.0,5.43414867776909,-8.31722336562677,0.0,0.0,1041.1205478662534,-7.443947164039078,-1692.4596260143562,15037.644314964735,0.0,-288.42066112849255,46.975291109725305,-30.508812312270305,0.0,0.0,-1278.002710660834,-12.093319923357129,-13475.594102049507,52039.18843534268,0.0,-0.0,192.07787728306965,-97.70627608864157,0.0,0.0,800.0,-11.254999999999999,-52922.305036537124
t7,10044.825390132095,0.0,-0.0,89.90480183528422,-0.0,0.0,0.0,266.1935517997382,-2.342503255837696,-10398.581240511281,2199.60505,0.0,-0.0,6.286671272376482,-0.0,0.0,0.0,-1328.5826348811197,-8.587173114179024,-868.721913277078,136.66025000000002,0.0,-0.0,4.773135633545552,-2.112415596369136,0.0,0.0,522.0474912445951,-3.693215046452514,-657.6752462353189,1060.3134599999998,0.0,-0.0,9.427116135503036,-0.0,0.0,0.0,244.633731525317,-11.259688361150516,-1303.1146192996696,874.0061399999994,0.0,-0.0,1.0894241046332263,-0.0,0.0,0.0,-721.3538339139019,-4.869138378918838,-148.8725918118119,2335.204557407386,246.683021940578,-0.0,5.769579923160622,-0.9196560722569416,0.0,0.0,-1771.4627000014466,-10.772010485767263,-804.5027927116535,2249.631903652381,0.0,-0.0,10.673433780540982,-0.0,0.0,0.0,-801.0992316822407,-23.606698907789884,-1435.5994068428909,2432.2527999999998,0.0,-0.0,38.24016811555118,-16.950847102571828,0.0,0.0,3027.056076039405,-9.989285050930036,-5470.608912001454,662.6261000000001,0.0,-0.0,13.017847849397207,-0.0,0.0,0.0,1040.570260530487,-7.441718500329224,-1708.772489879555,15085.119804964736,0.0,-0.0,114.31973030282245,-0.0,0.0,0.0,-1221.708359734117,-11.17290728570531,-13966.558268247734,53297.722927688,0.0,-0.0,466.1540959204679,-0.0,0.0,0.0,743.7056490732832,-10.33458736234818,-54497.248085319414
t8,11449.444130106716,0.0,-609.4289218525003,188.96018872275587,-58.23495441663893,0.0,0.0,-285.7115876477077,-3.700589277898341,-10681.32826563473,2161.8119599999995,0.0,-0.0,13.175679086495487,-4.045174170873142,0.0,0.0,-1273.3898658252979,-8.438152637728304,-889.1144464525962,176.40769999999998,0.0,-0.0,10.005622708012044,-3.0672271659961217,0.0,0.0,493.0437206886935,-3.4197968271271755,-672.9700194035821,1202.00372,0.0,-0.0,19.758434970141593,-6.063951386395846,0.0,0.0,138.90544852124492,-20.899487751338107,-1333.7041643536525,871.85374,0.0,-0.0,2.283605769444502,-0.7002365902869019,0.0,0.0,-716.6679826254768,-4.837508882721969,-151.93161767095873,2360.4723000000004,0.0,-0.0,12.093266068542633,-3.7098242096933887,0.0,0.0,-1536.375919458909,-8.60370514896989,-823.8761172509709,2338.4563036523805,0.0,-0.0,22.372033860843704,-6.862793800941381,0.0,0.0,-866.7143459147158,-18.00492985679589,-1469.2462679407713,2750.2347999999997,0.0,-0.0,80.15266629708127,-24.588779426114414,0.0,0.0,2800.254652344835,-9.003512938824334,-5597.049826276977,771.1061,0.0,-0.0,27.284489499795225,-8.373302415515429,0.0,0.0,969.658590578168,-11.140782111471076,-1748.5350955509766,16363.801804964734,0.0,-1087.928294311141,236.91958094737575,-10.148465191464538,0.0,0.0,-1278.002710660834,-12.093319923357129,-14212.548595825316,54880.68044652775,0.0,-0.0,998.137996727212,-1307.1631481745176,0.0,0.0,1555.0,-25.33575,-56101.319545080456
