Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.968715012886474e8,2.9026172215010416e7,1.4557437757811245e8,1.7594339218693662e8,4.6417619785645735e8,0.0,0.0,-1.2584136631294709e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.030123044634628e6,1.8691984411859937e7,0.0,359982.5865315652,7.9433213564843265e6,1.6541246647880767e6,3.603502873649619e6,7.167165966262491e6,59165.86320501781,46061.05522284544,89738.62133107777,10205.14601792624,50944.33987779461,97313.46565109942,372261.9397782305,122395.6506228589,966969.1878158184,4.359815785149389e6,725306.6590960688,276747.8164606748,190787.69380596606,382976.760067458,41958.56869275067,224298.86797242737,491393.4924389301,1.9773064934166903e6,643454.3865276992,6.933258745842274e6,1.509468446140433e7,4.967569609318069e6,1.0951664606390903e9
t1,16960.753677830024,2756.9202290209164,11941.660348175968,12856.503433257532,38793.070854120226,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,555.0111752620363,1739.374282434309,0.0,26.40263445690652,617.1533500425114,165.99184295762728,331.0608407826087,548.2128741960183,5.948125009285581,4.5217889101201605,8.922187513928371,1.0318176036515803,-0.0,10.10574300046989,36.20465885753927,12.321116090662986,215.43220865994695,419.45927809616023,193.0750057403041,66.9814944529446,31.33973176034937,31.597185666064497,1.2329722480208254,6.7622415625969055,-0.0,361.9,-0.0,1711.7882148791505,5507.158574450679,1472.4590166466855,97390.35690368526
t2,16960.753677830024,2479.783970360408,11404.64946394004,12856.503433257532,38340.35991557187,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,554.9820075417975,1757.9978,0.0,26.997449999999994,606.95712,210.73370703692714,331.24519999999995,423.06547419601833,9.596904504933331,7.295605975689112,14.395356757399993,1.6647691488149654,3.350919944982626,-0.0,-0.0,-0.0,153.0432131796248,689.6202498459768,131.22152237409796,69.77306805701556,33.452147356718505,35.77986222384196,1.715408625905572,9.319622750218961,4.730686812267905,16.950847102571828,5.775184989630027,1221.7373008619943,3956.7811799117517,1055.7256099394529,93375.9586800975
t3,16960.753677830024,2322.5743177462255,11324.382781019705,12856.503433257532,38340.35991557187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,599.2767981084809,1759.45874,0.0,32.86515554309348,607.2,233.3760896295417,331.24519999999995,423.64415965543645,-0.0,-0.0,-0.0,-0.0,-0.0,2.6282252071171137,9.415833850122272,3.204382684953598,82.78928809331961,393.5866131740056,-0.0,46.47795480703517,35.170398687873934,39.18207605692798,2.107825227034195,11.39981172319205,8.57865542527673,30.738766320867807,10.47275459343189,808.8997308706647,2630.2442665682443,698.1522911496149,90604.68914280158
t4,16960.753677830024,2322.5743177462255,11324.382781019705,12870.701804589276,38340.35991557187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,554.8790707079401,1797.7191363698425,0.0,35.21052277154673,674.88256,233.28159222215623,378.72119999999995,549.9228797090352,-0.0,1.2892612189717894,2.5439113985080937,-0.0,1.5574967745967925,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.8196630754738905,5.002798225628741,41.502948006389246,2.375518184250892,12.81884429251551,11.203605782450166,40.14440527394767,13.677273197783224,485.0476705061285,1457.7036643223046,56.73872379057832,88178.81524258717
t5,16960.753677830024,2265.119999999999,11324.382781019705,12870.701804589276,38340.35991557187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,599.0104253401755,1762.13713,0.0,32.32098,675.6112,210.47767481477078,414.34249999999986,724.4264172174578,1.2271909401363588,-0.0,-0.0,0.2128800610440622,0.9196560722569416,2.084972362578609,7.469585671340182,2.542038375996743,-0.0,97.70627608864157,16.87676300817091,4.10189438532238,5.216365877879863,6.145959204853831,0.7088844323627599,3.757775728835602,11.681883673300794,41.85815545908472,14.26115105859394,44.05734034854345,-0.0,60.994165758167725,86501.46744489041
t6,16960.753677830024,2265.119999999999,11324.382781019705,13120.474097126551,38340.35991557187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,554.7479343419964,1863.9159500000003,0.0,27.067079999999997,609.3859199999994,164.93687740738545,402.4877999999998,774.3729750321593,1.7744917022065492,1.348975834840693,2.6617375533098238,0.3078199891582789,2.5492913089772418,3.0148251879325554,10.800860207818433,3.6757328117135657,-0.0,141.03373753197917,24.57497686101358,4.951866693650922,5.859549621262703,7.419491539312536,0.855775619875914,4.53644163545873,8.391586175482264,47.01931281452263,10.244381935019437,60.523819145998445,51.0441397510905,73.8970863829055,86874.4909086332
t7,16960.753677830024,2265.119999999999,11039.529406954372,13120.474097126551,38340.35991557187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,554.7267154753628,1765.05901,0.0,27.08607,608.09056,142.27026,343.0999,699.713535633997,6.338262229818556,4.818372817566146,9.507393344727832,1.0994944684379127,5.820853068200714,10.76857817617132,38.579320613130285,13.129257476052722,80.19327453395748,500.36594294747215,88.16019048271713,6.674767438415398,5.0508726757136655,10.000951883397564,1.1535252452295064,6.114803727138938,11.31126696778448,40.530173422190124,13.808705120077487,94.65027491486342,157.86603025606541,100.21667459648617,87072.4421349978
t8,17488.51912415429,2265.119999999999,11039.529406954372,14062.619999999999,38340.35991557187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,554.6449975081389,1766.2764600000003,0.0,27.098729999999996,608.33344,142.32518000000002,331.188,500.517427805513,14.709588491533815,11.182289210400704,22.064382737300722,2.551663309755866,13.508805757531054,24.991290651432447,89.53336260408082,30.469861875320042,257.73660098187025,-0.0,205.9272179523649,7.433946092322483,5.62535182489503,11.138446074570421,1.2847255830691533,6.810292896657842,12.597794552425679,45.14001830220646,15.379287805089959,143.87806422286184,349.2068217562319,113.17488143295532,88510.87737610907
