Time,Weight
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,20.0
7,20.0
8,20.0
9,20.0
10,20.0
11,20.0
12,20.0
13,20.0
14,20.0
15,20.0
16,20.0
17,20.0
18,20.0
19,20.0
20,20.0
21,20.0
22,20.0
23,20.0
24,20.0
25,39.0
26,39.0
27,39.0
28,39.0
29,39.0
30,39.0
31,39.0
32,39.0
33,39.0
34,39.0
35,39.0
36,39.0
37,39.0
38,39.0
39,39.0
40,39.0
41,39.0
42,39.0
43,39.0
44,39.0
45,39.0
46,39.0
47,39.0
48,39.0
49,27.0
50,27.0
51,27.0
52,27.0
53,27.0
54,27.0
55,27.0
56,27.0
57,27.0
58,27.0
59,27.0
60,27.0
61,27.0
62,27.0
63,27.0
64,27.0
65,27.0
66,27.0
67,27.0
68,27.0
69,27.0
70,27.0
71,27.0
72,27.0
73,23.0
74,23.0
75,23.0
76,23.0
77,23.0
78,23.0
79,23.0
80,23.0
81,23.0
82,23.0
83,23.0
84,23.0
85,23.0
86,23.0
87,23.0
88,23.0
89,23.0
90,23.0
91,23.0
92,23.0
93,23.0
94,23.0
95,23.0
96,23.0
97,32.0
98,32.0
99,32.0
100,32.0
101,32.0
102,32.0
103,32.0
104,32.0
105,32.0
106,32.0
107,32.0
108,32.0
109,32.0
110,32.0
111,32.0
112,32.0
113,32.0
114,32.0
115,32.0
116,32.0
117,32.0
118,32.0
119,32.0
120,32.0
121,27.0
122,27.0
123,27.0
124,27.0
125,27.0
126,27.0
127,27.0
128,27.0
129,27.0
130,27.0
131,27.0
132,27.0
133,27.0
134,27.0
135,27.0
136,27.0
137,27.0
138,27.0
139,27.0
140,27.0
141,27.0
142,27.0
143,27.0
144,27.0
145,23.0
146,23.0
147,23.0
148,23.0
149,23.0
150,23.0
151,23.0
152,23.0
153,23.0
154,23.0
155,23.0
156,23.0
157,23.0
158,23.0
159,23.0
160,23.0
161,23.0
162,23.0
163,23.0
164,23.0
165,23.0
166,23.0
167,23.0
168,23.0
169,29.000000000000004
170,29.000000000000004
171,29.000000000000004
172,29.000000000000004
173,29.000000000000004
174,29.000000000000004
175,29.000000000000004
176,29.000000000000004
177,29.000000000000004
178,29.000000000000004
179,29.000000000000004
180,29.000000000000004
181,29.000000000000004
182,29.000000000000004
183,29.000000000000004
184,29.000000000000004
185,29.000000000000004
186,29.000000000000004
187,29.000000000000004
188,29.000000000000004
189,29.000000000000004
190,29.000000000000004
191,29.000000000000004
192,29.000000000000004
193,59.0
194,59.0
195,59.0
196,59.0
197,59.0
198,59.0
199,59.0
200,59.0
201,59.0
202,59.0
203,59.0
204,59.0
205,59.0
206,59.0
207,59.0
208,59.0
209,59.0
210,59.0
211,59.0
212,59.0
213,59.0
214,59.0
215,59.0
216,59.0
217,20.0
218,20.0
219,20.0
220,20.0
221,20.0
222,20.0
223,20.0
224,20.0
225,20.0
226,20.0
227,20.0
228,20.0
229,20.0
230,20.0
231,20.0
232,20.0
233,20.0
234,20.0
235,20.0
236,20.0
237,20.0
238,20.0
239,20.0
240,20.0
241,33.0
242,33.0
243,33.0
244,33.0
245,33.0
246,33.0
247,33.0
248,33.0
249,33.0
250,33.0
251,33.0
252,33.0
253,33.0
254,33.0
255,33.0
256,33.0
257,33.0
258,33.0
259,33.0
260,33.0
261,33.0
262,33.0
263,33.0
264,33.0
265,33.0
266,33.0
267,33.0
268,33.0
269,33.0
270,33.0
271,33.0
272,33.0
273,33.0
274,33.0
275,33.0
276,33.0
277,33.0
278,33.0
279,33.0
280,33.0
281,33.0
282,33.0
283,33.0
284,33.0
285,33.0
286,33.0
287,33.0
288,33.0
