Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
9000,1,1.0,1.0,9000,12,24,912.0,1,11066.991538603048,1007.0672100682904,762.4489126914136,1510.6241808588838,172.27672634093014,933.5644444882963,1661.928998543625,6349.985511283997,1974.4468649559733,13985.980620794633,56418.59449523266
,2,0.067,0.075,603,,,528.0,2,10234.231831102892,940.8127883532712,712.5023930097568,1411.7506683465278,161.06344829507077,871.3947598662592,1553.8526342211562,5931.204374387699,1845.944641306979,13488.074843183687,54934.717570873436
,,,,,,,384.0,3,9734.778624536497,895.9636413461814,678.8649409792532,1344.4759072556465,153.92772590225118,830.6277535567266,1479.4226852066258,5650.998017583608,1758.2367743719512,13243.685245619048,54426.3056267014
,,,,,,,792.0,4,9505.820359457379,870.4811714557894,659.4979231435088,1305.7419539002904,148.83078133595149,807.1867249287453,1437.619563157369,5487.968864533955,1709.2835463151916,13343.063588197201,54860.069785419604
,,,,,,,576.0,5,9454.152786364302,859.268884704017,650.3240725897351,1288.4136063465785,146.7920035094316,795.9757981936239,1419.2669729894026,5412.56788124849,1687.8665090403592,13708.12688746388,56282.4127244723
,,,,,,,984.0,6,9665.888527079063,866.4039762733267,655.4206562307205,1299.6260665283921,148.83078133595149,802.0908491400537,1431.5020331013802,5456.381966130584,1703.1643928080966,14454.478521520208,58968.72424695267
,,,,,,,552.0,7,10226.12711375496,896.982940141797,678.8649409792532,1344.4759072556465,153.92772590225118,830.6277535567266,1482.4814502346203,5638.770831104884,1765.3757867968955,15520.26054243488,62735.41115079859
,,,,,,,1392.0000000000002,8,10980.878916781256,954.063672696275,721.6762435635305,1430.0983304622227,163.10222612159066,882.6056866013806,1577.3031661024468,5996.416035607561,1879.5999855960013,16220.979264082871,65804.04038526547
,,,,,,,384.0,9,11612.03378025157,1005.028612477059,761.4295959632165,1507.5662371729347,172.27672634093014,930.5069190150814,1661.928998543625,6324.512206119988,1978.52630062737,16737.13820665715,67592.5609745849
,,,,,,,696.0000000000001,10,12394.139004327142,1046.8198630973018,793.0284145373258,1570.763740015884,179.41244873374973,970.2547501668757,1730.2414175021668,6599.623901891278,2057.0554373017553,17259.38153755254,69351.82770203732
,,,,,,,960.0,11,13262.356850224507,1106.958492038627,837.8783505779973,1660.4634214703926,189.60633786634915,1025.2902086847446,1828.1218983979877,6971.5341572858,2175.3590717722577,17737.006020759785,71277.53881597462
,,,,,,,600.0,12,13843.870319938727,1156.904133023795,875.5930695212891,1734.8733844951555,197.76144917242868,1072.1722659407071,1910.7085541538365,7287.403141319503,2272.245668967928,17931.706447035347,72187.43479542535
,,,,,,,,13,14110.312902752037,1182.386602914187,894.9600873570336,1773.6073378505116,202.85839373872838,1095.6132945686884,1952.5116762030934,7450.432294369157,2322.2187559425365,18012.831624650164,72376.0717667749
,,,,,,,,14,14084.985661039746,1192.5795908703437,903.1146211826102,1788.8970562802574,203.87778265198833,1104.7858709883333,1968.82508968573,7514.625023382458,2340.5762164638218,18054.408278177758,72115.81327154397
,,,,,,,,15,14005.964666897395,1193.5988896659594,904.1339379108073,1790.9356854042235,204.89717156524827,1105.8050461460716,1970.8642663710598,7522.77648103494,2343.635793217369,18174.067915159616,71970.55271606625
,,,,,,,,16,14080.933302365778,1198.695383644038,907.1918880953986,1798.0708873381047,204.89717156524827,1110.9009219347631,1980.040561455043,7551.30658281863,2354.8542413137097,18526.962437784074,72723.08309374945
,,,,,,,,17,14400.056547940656,1216.0234631695043,920.4430055619605,1823.5537513876811,207.95533830502808,1126.1885493008378,2008.5890350496575,7656.256600094344,2389.5294445205814,19768.17765529079,75642.41675730866
,,,,,,,,18,15841.683146204308,1281.2585860889078,969.3702085154202,1921.407949338054,219.16861635088745,1186.3198836073984,2117.684987714791,8061.791618305357,2520.071386005274,21808.475872303465,81477.04906899716
,,,,,,,,19,16999.644637290294,1393.3814536066325,1054.9928136839746,2090.614166627241,238.53700570282635,1290.2757496967065,2303.2500660797846,8770.968434071348,2740.360912260692,21771.969542376795,83025.48624023538
,,,,,,,,20,16660.259598345583,1391.3428560154011,1053.9734969557776,2087.5562229412917,238.53700570282635,1289.2565745389682,2299.1717127091256,8765.873773038547,2735.2616176714464,21265.95124700437,81888.6206428507
,,,,,,,,21,16199.30379918187,1368.9182825118562,1035.6257958482302,2052.899527833868,234.45945004978657,1267.8538962264636,2261.446944030528,8618.128603087298,2689.367966368234,20726.46881586583,80385.57739519927
,,,,,,,,22,15561.057308032116,1327.1270318916133,1005.046294002318,1991.7406541148848,227.32372765696698,1230.144415390146,2194.154113414651,8359.319822620973,2609.818970776,19793.529273295422,78019.04084554139
,,,,,,,,23,14539.862922192508,1266.9884029502884,959.1770412334495,1900.00234353641,217.12983852436756,1173.0706065568004,2094.2344558335008,7974.163448541168,2492.5351952233464,18370.79647087555,74355.24683515885
,,,,,,,,24,13310.985154312106,1177.2901089361087,890.8828204442452,1765.452821354647,201.83900482546844,1090.517418779997,1946.3941461471045,7405.599277280502,2317.1194613532907,17004.85129278605,70618.82254703745
,,,,,,,,25,12319.170368858757,1069.2444366008467,809.3374821884792,1603.3818059993416,183.4900043867895,990.638253321642,1764.90742115277,6737.179749776923,2097.8497940157217,15299.1944334345,57450.54969143897
,,,,,,,,26,11432.716908928543,992.7970269296709,752.2557454094429,1490.2378896192229,170.23794851441025,920.3151674376983,1640.5176433476643,6260.319477106687,1949.9702509275933,14598.47571178651,55326.11406757729
