Period_Index,Rep_Period,Rep_Period_Index
1,11,3
2,2,1
3,2,1
4,34,4
5,7,2
6,7,2
7,7,2
8,34,4
9,315,11
10,7,2
11,11,3
12,2,1
13,2,1
14,2,1
15,2,1
16,11,3
17,7,2
18,2,1
19,11,3
20,34,4
21,7,2
22,7,2
23,2,1
24,2,1
25,34,4
26,11,3
27,2,1
28,11,3
29,2,1
30,34,4
31,7,2
32,2,1
33,11,3
34,34,4
35,315,11
36,125,6
37,94,5
38,34,4
39,315,11
40,94,5
41,315,11
42,11,3
43,2,1
44,2,1
45,315,11
46,315,11
47,315,11
48,94,5
49,34,4
50,34,4
51,34,4
52,11,3
53,94,5
54,34,4
55,7,2
56,2,1
57,34,4
58,94,5
59,34,4
60,7,2
61,11,3
62,2,1
63,11,3
64,94,5
65,34,4
66,2,1
67,2,1
68,34,4
69,34,4
70,94,5
71,7,2
72,2,1
73,34,4
74,125,6
75,125,6
76,125,6
77,125,6
78,125,6
79,125,6
80,125,6
81,34,4
82,34,4
83,11,3
84,34,4
85,94,5
86,34,4
87,94,5
88,2,1
89,125,6
90,321,12
91,315,11
92,94,5
93,34,4
94,94,5
95,34,4
96,94,5
97,94,5
98,94,5
99,2,1
100,94,5
101,125,6
102,125,6
103,125,6
104,94,5
105,7,2
106,2,1
107,94,5
108,34,4
109,125,6
110,94,5
111,34,4
112,7,2
113,2,1
114,2,1
115,125,6
116,94,5
117,2,1
118,34,4
119,94,5
120,125,6
121,34,4
122,125,6
123,125,6
124,125,6
125,125,6
126,125,6
127,125,6
128,2,1
129,321,12
130,94,5
131,94,5
132,94,5
133,321,12
134,321,12
135,321,12
136,125,6
137,34,4
138,125,6
139,125,6
140,125,6
141,34,4
142,315,11
143,125,6
144,125,6
145,125,6
146,125,6
147,125,6
148,125,6
149,247,9
150,185,7
151,125,6
152,94,5
153,34,4
154,268,10
155,247,9
156,34,4
157,234,8
158,234,8
159,125,6
160,185,7
161,125,6
162,125,6
163,247,9
164,268,10
165,125,6
166,125,6
167,125,6
168,125,6
169,125,6
170,125,6
171,247,9
172,185,7
173,185,7
174,234,8
175,234,8
176,268,10
177,268,10
178,268,10
179,185,7
180,268,10
181,185,7
182,185,7
183,234,8
184,234,8
185,185,7
186,185,7
187,234,8
188,185,7
189,234,8
190,234,8
191,234,8
192,234,8
193,234,8
194,234,8
195,234,8
196,247,9
197,185,7
198,185,7
199,185,7
200,234,8
201,247,9
202,234,8
203,234,8
204,268,10
205,268,10
206,185,7
207,247,9
208,185,7
209,234,8
210,234,8
211,234,8
212,234,8
213,234,8
214,234,8
215,185,7
216,185,7
217,268,10
218,185,7
219,234,8
220,234,8
221,234,8
222,247,9
223,247,9
224,185,7
225,234,8
226,234,8
227,234,8
228,234,8
229,185,7
230,234,8
231,234,8
232,234,8
233,234,8
234,234,8
235,234,8
236,234,8
237,234,8
238,234,8
239,234,8
240,185,7
241,234,8
242,234,8
243,268,10
244,185,7
245,234,8
246,234,8
247,247,9
248,321,12
249,234,8
250,234,8
251,268,10
252,234,8
253,268,10
254,234,8
255,234,8
256,234,8
257,234,8
258,268,10
259,234,8
260,234,8
261,2,1
262,185,7
263,268,10
264,234,8
265,268,10
266,268,10
267,234,8
268,268,10
269,247,9
270,234,8
271,247,9
272,315,11
273,234,8
274,268,10
275,315,11
276,315,11
277,315,11
278,315,11
279,268,10
280,315,11
281,315,11
282,247,9
283,268,10
284,268,10
285,268,10
286,315,11
287,2,1
288,2,1
289,268,10
290,234,8
291,268,10
292,247,9
293,268,10
294,268,10
295,268,10
296,315,11
297,315,11
298,315,11
299,315,11
300,247,9
301,7,2
302,268,10
303,2,1
304,315,11
305,315,11
306,7,2
307,2,1
308,268,10
309,321,12
310,321,12
311,321,12
312,321,12
313,321,12
314,315,11
315,315,11
316,11,3
317,321,12
318,321,12
319,315,11
320,315,11
321,321,12
322,321,12
323,321,12
324,321,12
325,321,12
326,321,12
327,315,11
328,2,1
329,321,12
330,321,12
331,315,11
332,321,12
333,321,12
334,315,11
335,321,12
336,315,11
337,315,11
338,315,11
339,7,2
340,34,4
341,315,11
342,315,11
343,11,3
344,2,1
345,321,12
346,315,11
347,315,11
348,315,11
349,315,11
350,7,2
351,7,2
352,7,2
353,2,1
354,11,3
355,2,1
356,2,1
357,7,2
358,315,11
359,247,9
360,7,2
361,2,1
362,34,4
363,11,3
364,2,1
365,7,2
