Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,1053.3348209444623,1200.0,760.0,1283.0905605539665,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,4668.230899847888,6094.583545971143,2069.6106444526827,350.0,1320.0,-0.0
t2,-0.0,-1600.0,1200.0,760.0,1255.763418791992,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,4247.735080136277,5820.567026986545,1990.1345260340738,350.0,1320.0,300.0
t3,-0.0,-1600.0,1200.0,-30.30224996765924,1292.3241268421202,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,2608.904582751877,5205.9920180180625,2580.0,350.0,1320.0,300.0
t4,-0.0,877.7764617631697,1200.0,-75.81030630965981,1202.9480368339866,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,3855.8594426074083,5046.380209220083,2580.0,350.0,1320.0,300.0
t5,-0.0,-451.5070259324019,-1200.0,-100.04585023040228,1190.573373137619,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,4220.8449105057925,4962.407035186375,2580.0,350.0,1320.0,300.0
t6,-0.0,-590.2215992716873,-1200.0,-92.43973639213006,1615.647123391165,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,4295.546804470997,5013.945168134698,2580.0,350.0,1320.0,-0.0
t7,-0.0,-1600.0,-1200.0,377.36969212577435,1620.1310039570888,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,6102.290416767333,5226.197461782211,2191.734629631022,350.0,1320.0,-0.0
t8,-0.0,-1600.0,-845.4319802070249,251.9463672197839,1623.7993497469047,1000.0,2600.0,-3200.0,3798.9228317666066,4300.0,1510.0,5024.057986453966,5829.529182377971,2580.0,350.0,1320.0,-0.0
t9,-0.0,-1600.0,-1200.0,331.69521559697955,2512.3228172476656,1000.0,2600.0,-3200.0,1004.4184268183478,4300.0,1510.0,6261.514458838955,6433.450607730933,2580.0,350.0,1320.0,300.0
t10,-0.0,-1600.0,-1200.0,439.13694346565984,3195.099691101682,1000.0,2288.2350000608017,-3200.0,-1613.8773315969472,3275.219515202862,1510.0,6950.0,6862.988452038015,2580.0,350.0,1320.0,300.0
t11,-0.0,-1600.0,-1200.0,534.8007666675012,3195.099691101682,1000.0,2266.370851234996,26.915363196745503,-1838.0321258024373,4300.0,1510.0,6695.824815041327,7038.826989627557,2580.0,350.0,1320.0,-300.0
t12,-0.0,-1600.0,-1200.0,517.1105379344976,3195.099691101682,1000.0,2263.756513334053,-2092.8255941186917,-2285.0763858396076,4300.0,1510.0,6894.156358572005,7284.08297655789,2580.0,350.0,1320.0,-300.0
t13,-0.0,-1600.0,-1200.0,548.0989775060958,3195.099691101682,1000.0,2600.0,-2406.9995641975647,-2393.7435501092923,4300.0,1510.0,6681.369471752041,7047.226831242858,2580.0,350.0,1320.0,-300.0
t14,-0.0,-1600.0,-1200.0,633.4306684081814,2104.52128384824,1000.0,1164.2685120308174,-2232.7489531912474,-1647.8702539012497,3270.8183753165895,1510.0,6950.0,6926.176485311473,2580.0,350.0,1320.0,-300.0
t15,-0.0,-1600.0,-1200.0,617.8882277053725,3195.099691101682,1000.0,2281.3070374725057,-2222.024306772784,1013.5357643845822,2505.591973672141,1510.0,6950.0,7045.126652407807,2580.0,350.0,1320.0,-300.0
t16,-0.0,-1600.0,-1200.0,487.78863395428124,2184.6796601925485,1000.0,2270.0008608276466,-1513.434052696779,-1418.866083999228,4300.0,1510.0,6950.0,7423.723084996484,2580.0,350.0,1320.0,-300.0
t17,-0.0,-1600.0,-1200.0,582.3737844976285,3195.099691101682,1000.0,2428.0028753992688,-3200.0,1080.9112566446577,4300.0,1510.0,6950.0,7192.55774454449,2580.0,350.0,1320.0,-300.0
t18,-0.0,-846.4847319265148,1200.0,760.0,2014.5153333063458,1000.0,2600.0,-3200.0,1060.9869262351567,4300.0,1510.0,4773.178459162414,7021.789758975465,2580.0,175.5680175837228,1320.0,-300.0
t19,-0.0,-0.0,-0.0,560.2319975689771,1830.672683450017,1000.0,2600.0,-3200.0,2475.267063427516,4300.0,1510.0,6950.0,7401.729361749458,2580.0,350.0,1320.0,-300.0
t20,-0.0,-1586.6689120615993,-0.0,697.6555488339325,1805.4533268812363,1000.0,2600.0,-3200.0,3109.4701548090493,4300.0,-0.0,6950.0,7531.828141562038,2580.0,350.0,1320.0,-300.0
t21,-0.0,-1600.0,-652.6166369380708,611.6436982239425,1745.6331719852603,1000.0,2600.0,-2543.260141842441,716.6059337625592,4300.0,1376.6839388748945,6728.912046427949,7390.383928108031,2580.0,350.0,1320.0,-300.0
