Time,Weight
1,97.0
2,97.0
3,97.0
4,97.0
5,97.0
6,97.0
7,97.0
8,97.0
9,97.0
10,97.0
11,97.0
12,97.0
13,97.0
14,97.0
15,97.0
16,97.0
17,97.0
18,97.0
19,97.0
20,97.0
21,97.0
22,97.0
23,97.0
24,97.0
25,166.0
26,166.0
27,166.0
28,166.0
29,166.0
30,166.0
31,166.0
32,166.0
33,166.0
34,166.0
35,166.0
36,166.0
37,166.0
38,166.0
39,166.0
40,166.0
41,166.0
42,166.0
43,166.0
44,166.0
45,166.0
46,166.0
47,166.0
48,166.0
49,102.0
50,102.0
51,102.0
52,102.0
53,102.0
54,102.0
55,102.0
56,102.0
57,102.0
58,102.0
59,102.0
60,102.0
61,102.0
62,102.0
63,102.0
64,102.0
65,102.0
66,102.0
67,102.0
68,102.0
69,102.0
70,102.0
71,102.0
72,102.0
