Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,162521.49002890952,61262.44036318132,93190.33875215158,100997.94536379197,184052.77933997253,162728.12851826393,339355.2930879335,153701.69917068325,467814.7859304648,357573.159255415,291135.4705375383,285096.3927080108,131573.93233806358,5486.154425643756,98471.5389874887,63207.49854294832,2.9581690473504607e6
t1,-0.0,28.16,15.06,19.759999999999998,17.543393795315033,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t2,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t3,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t4,-0.0,28.16,15.06,19.759999999999998,17.543393795315033,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t5,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t6,-0.0,28.16,15.06,19.759999999999998,17.543393795315033,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t7,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t8,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t9,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t10,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t11,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t12,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t13,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t14,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t15,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.38255684986124,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t16,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,9.81,447.76851798774806
t17,-0.0,28.16,15.06,19.759999999999998,17.543393795315037,25.4,24.7,43.2,32.824999999999996,54.18,56.323,44.382556849861245,36.84266729963587,18.497900042935893,1.68,19.404,4.5462242033682205,442.5047421911163
t18,0.0,20.320807495759958,-0.0,19.759999999999998,6.857268973477014,25.4,15.717678544706583,43.2,24.87275533712309,54.18,9.148110164931502,44.382556849861245,36.204428810202316,18.497900042935893,1.4533329788371114,19.404,9.81,349.2088391978347
t19,0.0,28.16,0.3855087204372724,19.759999999999998,7.240028798508476,25.4,14.798708274366412,43.2,29.43425159949619,54.18,4.462072406056943,44.382556849861245,36.84266729963587,18.497900042935893,0.8771025237662428,9.376198000068474,9.81,346.80699451513306
t20,0.0,18.041165391117193,2.970226414595088,19.759999999999998,8.523156966816746,25.4,16.86263637434061,43.2,23.919256331135013,54.18,29.19136926550029,44.382556849861245,36.84266729963587,18.497900042935893,1.308654746389405,7.289200453135735,9.81,360.17879013546303
t21,0.0,11.92398977224754,0.7216559443126674,19.759999999999998,8.364015579204342,25.4,16.967845977299728,43.2,19.99550788242136,54.18,34.35889223898491,44.382556849861245,36.84266729963587,18.497900042935893,1.1202603348498135,8.74387597553125,9.81,354.2691678972846
t22,0.0,6.281520103196018,-0.0,19.759999999999998,7.403050887821761,25.4,21.57085850749025,43.2,17.038606261424025,54.18,41.708122322038705,44.382556849861245,36.84266729963587,18.486147643726184,0.10064391028943663,12.390514871247381,9.81,358.5546886567309
t23,0.0,13.361040761372099,0.2342520474847149,19.759999999999998,6.507679733308689,25.4,17.988596878685414,43.2,20.314252027836375,54.18,33.25782093509723,44.382556849861245,36.06582010337085,17.658545077014423,-0.0,11.358478054961074,9.81,353.4790424689922
t24,-0.0,1.1833593607032147,15.06,19.759999999999998,5.579298086784881,25.4,14.348932496346787,43.2,9.502376034175397,54.18,56.323,41.375305632429644,32.86704678787352,18.497900042935893,0.06383812579488969,15.620024827634081,9.81,362.77108139467833
t25,0.0,9.540540134562134,-0.0,-0.0,3.579009160876343,25.4,11.381424501368084,43.2,17.172049062639108,54.18,56.323,31.123374647823297,27.802994781786516,18.497900042935893,-0.0,8.25406735092806,-0.0,306.45435968291946
t26,0.0,-0.0,-0.0,19.759999999999998,3.0478213549821804,25.4,8.545171109811758,43.2,15.935673332247832,54.18,56.323,36.09255763303847,27.087761794423034,18.330798091118393,-0.0,19.404,-0.0,327.30678331562166
t27,0.0,-0.0,3.684759875448895,19.759999999999998,2.1031387683479257,25.4,9.787919455062234,43.2,16.359928291741184,54.18,56.323,24.56986152036368,23.41086981836137,16.82234045675252,-0.0,19.404,9.81,324.81581818607776
t28,0.0,-0.0,8.988198848917287,19.759999999999998,0.5955039698986858,25.4,7.707064081227248,43.2,12.043170981056562,54.18,56.323,17.60531950515037,22.771379662793432,15.312999800691351,-0.0,17.156990214668042,9.81,310.85362706440293
t29,0.0,2.5852093129269424,15.06,19.759999999999998,0.7189533631714746,25.4,2.1150546565013455,43.2,3.205160966935908,54.18,56.323,11.065133779230576,22.641060206416864,12.749804567747871,-0.0,12.671040985440655,9.81,291.4844178383716
t30,0.0,-0.0,10.780258584110612,19.759999999999998,3.273856883769758,25.4,12.26638163823762,43.2,12.76483617982616,54.18,56.323,20.698784682735557,23.915943671013853,16.166470487201796,-0.0,17.857080370538466,9.81,326.39661249743386
t31,0.0,-0.0,-0.0,4.801665773623234,4.031690122193984,25.4,11.719829553997519,39.01408315195101,12.913760649676128,54.18,56.323,24.37270084764262,24.458934904971162,15.368456898220153,-0.0,8.066033807076515,9.81,290.4601557093523
t32,0.0,28.16,10.405011718227694,-0.0,3.951969587031718,25.4,11.304918975781034,43.2,32.824999999999996,54.18,0.18847060092755388,37.88963987032805,28.834692328919562,16.2053619312943,-0.0,3.200163117979862,-0.0,295.74522813048975
t33,0.0,28.16,15.06,19.759999999999998,17.0453909904827,7.913464800545152,24.7,35.79645761775324,32.75474636192044,54.18,56.323,40.149463415289006,32.63431408480885,14.496306145242663,-0.0,13.004483674832905,9.81,401.78762709087493
t34,0.0,28.16,15.06,19.759999999999998,17.543393795315037,7.2470950598880695,24.7,43.2,32.824999999999996,54.18,56.323,41.52823211494859,35.51797618330102,12.273876427207593,-0.0,19.404,9.81,417.5325735806603
