Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.0479085744252542e8,2.3813399125437666e7,1.2181458543064886e8,1.5973840931400424e8,4.421057093589445e8,0.0,124912.29202686071,4.415913268027996e6,0.0,2.0154220345585253e7,0.0,1.1080693815824294e6,0.0,0.0,0.0,6.031688858686518e7,7.139118620410315e6,1.9435546829337083e7,0.0,430102.657426546,8.572207756040348e6,1.928889743415001e6,4.24903470330304e6,7.898794570787013e6,68776.68214964285,46055.09986450861,81629.32049655129,7770.853421090553,51889.35126819704,97020.20150069198,404638.33213374583,122290.51992804225,835025.5933051287,3.0806945450324854e6,672473.1640111972,261306.5507975362,190222.10238263212,341103.0121795051,57679.46072652793,221128.73794314417,453929.7016123818,1.7294969087794316e6,563489.2244927873,6.140465323991706e6,1.3169241915837508e7,4.293573475076827e6,1.1209265595032995e9
t1,12221.05206548346,1502.9099307159345,6178.538366183267,10133.789052962635,31205.183245288325,-0.0,-0.0,151.07884346922822,-0.0,1995.6278289352645,-0.0,87.31012968276761,-0.0,-0.0,-0.0,-0.0,295.21737278817363,1790.13848,0.0,27.40257,831.7764196184972,143.4785,354.0108000000001,438.796700260338,9.65561730006199,7.34023968218998,14.483425950092979,-0.0,8.86740364291407,16.40469673939103,58.77118081109158,-0.0,-0.0,416.92319881464346,-0.0,46.05669798976227,34.8516288479577,69.00777064573441,1.5108920669504617,42.19288104431243,78.04910229808706,279.6630705116609,15.493509574462564,536.1104680212154,1761.8079741036752,70.29453117997527,70823.79459461206
t2,13805.83206548346,1225.7736720554265,5651.46901868109,11424.129052962635,31813.889734768596,-0.0,19.34223081413821,125.49532906940013,-0.0,2385.9816483954637,0.0,174.62025936553522,-0.0,-0.0,-0.0,2797.800720221639,206.60657278817365,1977.5138857826273,0.0,27.415229999999998,451.8443803815028,189.6113,434.71999999999997,636.1474419831557,7.216489393825256,5.486004692244709,10.82473409073788,0.5451221922121654,-0.0,-0.0,-0.0,6.509400295239387,46.59413476578957,-0.0,42.79297741046188,31.428333339126397,23.782178416016798,47.08976790577162,1.8358072863586443,-0.0,-0.0,-0.0,19.383028657280907,84.8124461612606,1866.660097546519,97.59386085671014,75640.74692576237
t3,14726.7118199895,979.2476441941247,6230.578610353188,12714.469052962635,31813.889734768596,-0.0,2.970966653051628,386.37609137503716,-0.0,2987.916690604223,-0.0,134.84381087111743,-0.0,-0.0,-0.0,5489.510883753075,485.02541303316616,1964.2535315652547,0.0,32.700779999999995,612.62432,213.00721999999996,467.9531999999999,834.0301194486992,-0.0,-0.0,-0.0,-0.0,1.0269485049395897,1.8998547341382408,6.806386479960724,-0.0,-0.0,84.33171130103304,-0.0,-0.0,-0.0,-0.0,1.9835104638063423,0.7829702416159527,1.4483515458463594,5.189687370710865,21.15116475235869,99.78761346265526,240.9642097135019,109.94575613605016,80651.42805427828
t4,16311.4918199895,1117.9257039485497,7120.355412039616,14004.809052962635,35012.0277347686,-0.0,16.827604638995314,233.6789926248455,0.0,2040.2362631944227,-0.0,31.68912079223321,0.0,-0.0,-0.0,5489.510883753075,29.384972788173656,2154.550817347882,0.0,21.183344999999996,317.45078038150274,220.29327333333336,453.6531999999999,1016.4992466787908,1.5461132643990234,1.175361614262523,2.3191698965985346,-0.0,2.4468484416325698,4.5266696170202545,-0.0,3.2026631905408336,-0.0,103.99139155814842,20.863996076207243,1.058182313514403,0.8007386298573757,1.5854979965912113,0.18287378908050944,1.7523788711106913,3.2415799630435864,11.615126620054195,-0.0,118.78219519928547,-0.0,125.19013583980373,85995.84914712328
t5,17896.2718199895,1325.7657039485496,7928.900269118929,15295.149052962635,35012.0277347686,-0.0,22.85235209609902,294.8094385417081,-0.0,2532.1477281022426,-0.0,118.99925047500082,-0.0,0.0,-0.0,8188.969069052989,0.0,2143.968853130509,0.0,27.472199999999997,250.25398038150274,204.84244666666675,486.8291999999999,1074.4291408001534,2.5625606870361226,1.9480690937162362,6.163010927152717,0.44452583346544977,2.353372059522969,4.353738310117492,15.597627038949458,8.510824613687086,41.253461219154616,281.40197200326895,55.53552645151398,-0.0,1.2119384504184385,2.3996918763274175,0.27678416938602934,2.250195061856457,4.1624487407967425,14.91475444845882,1.1241893098709324,128.86866833033378,34.91725893509478,-0.0,93413.93885759522
t6,19481.051819989498,1533.6057039485495,8889.977664843225,15329.606702931787,35012.0277347686,-0.0,22.85235209609902,393.5826192381114,-0.0,2987.916690604223,-0.0,15.844560396116606,-0.0,-0.0,-0.0,8420.238574721905,278.23418544391114,2095.2577187536726,0.0,28.519814999999998,613.35296,166.68220000000002,472.5291999999999,1007.7530377086523,7.150333973742895,5.435713071875975,6.881659930060158,0.7958382232042358,6.566633241192453,12.148271496206036,-0.0,0.43282328986783725,-0.0,-0.0,-0.0,-0.0,2.0210787939789157,4.001825638632308,0.6444505424725899,4.199183796859002,7.767720942907676,27.83305157661671,-0.0,85.35504721645825,120.89671651464882,-0.0,97041.16388869307
t7,21065.831819989497,1741.4457039485494,9512.789476123166,16245.165744991475,35012.0277347686,-0.0,3.5101212819608065,422.55733163666133,-0.0,2563.716762777807,0.0,103.15469007888422,-0.0,-0.0,-0.0,5326.126690848181,0.0,1845.9108243768364,0.0,34.840320000000006,250.25398038150274,143.89040000000003,505.7051999999999,816.473502082695,11.010903844530585,-0.0,23.398015696856035,1.94630103389941,10.112054551099519,18.707300919534106,67.02045044145403,23.241124110681195,71.76681201846856,-0.0,149.92479576962285,-0.0,6.213936502612125,12.303869837766353,1.6020211499874912,8.492267455273495,15.709139431916176,56.2884906971333,11.462956884134691,196.36405826876535,445.4665240685167,80.67785541522062,96805.10918138329
t8,22650.611819989495,1851.949658224544,10370.662513522237,16964.854526247324,35012.0277347686,-0.0,22.85235209609902,134.94281240210722,-0.0,2987.916690604223,-0.0,-0.0,-0.0,-0.0,-0.0,2270.6540214228685,278.17052884401033,1800.12157,0.0,46.43371500000001,317.4507803815028,143.94532,491.40519999999987,565.6372992955588,26.045444318706853,5.058697094264012,1.285199443284938,1.1543335651340692,23.919285598812415,44.25067835780297,158.53170955212897,13.784100807189184,331.3,1116.2528762544744,-0.0,10.536351925637007,14.186914218152879,28.09071928339361,3.4229007612972424,18.144697239498,33.564366688448686,120.26677529257009,33.26047689136695,305.84702892746037,1066.134406081843,237.6960214740037,99502.36952657402
