region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.552433487543336e7,0.0,0.0,0.0,6.592099404086186e7,2.4912687358644653e7,0.0,0.0,9.552433487543336e7,5.6797387599999994e7,3.872694727543336e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.465679782984732e8,0.0,0.0,0.0,1.9613259761432916e8,2.669829258404873e8,0.0,0.0,1.465679782984732e8,1.295391149e8,1.7028863398473203e7
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.234195037932949e6,0.0,0.0,0.0,3.614135042018026e6,4.289155140030197e6,0.0,0.0,3.234195037932949e6,3.3676233e6,-133428.26206705067
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7425326480013277e7,0.0,0.0,0.0,8.997543022597167e7,1.145304145029521e8,0.0,0.0,2.7425326480013277e7,4.30715296e7,-1.5646203119986724e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6310550162145752e7,0.0,0.0,0.0,1.7569502072154112e7,2.271997607705489e7,0.0,0.0,1.6310550162145752e7,1.4608994600000001e7,1.701555562145751e6
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819965576523012e7,0.0,0.0,0.0,3.9304562968069755e7,0.0,0.0,0.0,6.819965576523012e7,3.0430972e7,3.776868376523012e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.126717202600409e7,0.0,0.0,0.0,5.460889363841519e7,0.0,0.0,0.0,7.126717202600409e7,8.02164678e7,-8.949295773995906e6
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.9607026e7,0.0,0.0,7.33703262552e6,0.0,0.0,0.0,0.0,0.0,7.643104709940015e7,0.0,0.0,0.0,5.528364935960604e7,0.0,0.0,0.0,7.643104709940015e7,4.694405862552e7,2.948698847388015e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,8.575415396063067e6,0.0,0.0,1.0953297292829549e7,7.7847955112828e7,0.0,0.0,0.0,0.0,3.9337361781796604e7,0.0,0.0,0.0,5.803930601992416e7,0.0,0.0,0.0,3.9337361781796604e7,9.737666780172062e7,-5.8039306019924015e7
