Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,6.727598203508149e7,0.0,0.0,6.727598203508149e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,0.0,1.9434388762617597e8,0.0,1.9434388762617597e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,0.0,3.5277545949385017e6,0.0,3.5277545949385017e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,0.0,9.109521833459105e7,0.0,9.109521833459105e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,0.0,1.734032431965743e7,0.0,1.734032431965743e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,0.0,0.0,3.965343362094813e7,3.965343362094813e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,0.0,0.0,5.2274883288913995e7,5.2274883288913995e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,5.931237411758429e7,0.0,0.0,5.931237411758429e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,3.1582474874313798e7,0.0,0.0,3.1582474874313798e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.423673020115066e9,0.0,0.0,1.423673020115066e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,1.2637056512906314e8,0.0,0.0,1.2637056512906314e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.1353423936673431e8,0.0,0.0,1.1353423936673431e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,0.0,5.653896925463244e7,0.0,5.653896925463244e7
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,0.0,6.846174113271458e6,0.0,6.846174113271458e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,0.0,6.554847555259908e6,0.0,6.554847555259908e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0,2.069999695291013e-9,0.0,2.069999695291013e-9
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,0.0,2.5756180993801263e8,0.0,2.5756180993801263e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,0.0,1.548400655831396e7,0.0,1.548400655831396e7
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0,0.0,0.0,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,0.0,4.0785718121617205e7,0.0,4.0785718121617205e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0,2.069999695291013e-9,0.0,2.069999695291013e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,0.0,5.09792343864414e8,0.0,5.09792343864414e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,0.0,8.279998781164052e-9,0.0,8.279998781164052e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,0.0,1.0873763777781159e8,0.0,1.0873763777781159e8
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,0.0,1.2206582780684004e7,0.0,1.2206582780684004e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,0.0,3.612449319343238e6,0.0,3.612449319343238e6
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,0.0,1.102088368957699e8,0.0,1.102088368957699e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,0.0,4.1199401833993614e8,0.0,4.1199401833993614e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,0.0,0.0,0.0,0.0
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,0.0,2.3612017526836243e8,0.0,2.3612017526836243e8
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,0.0,3.2060487709171236e7,0.0,3.2060487709171236e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,0.0,7.6895644987149e7,0.0,7.6895644987149e7
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,0.0,0.0,0.0,0.0
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,0.0,-1.6559997562328104e-8,0.0,-1.6559997562328104e-8
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,0.0,0.0,2.4594069178793782e8,2.4594069178793782e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,0.0,0.0,1.4898453516472244e9,1.4898453516472244e9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,0.0,0.0,0.0,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,0.0,0.0,-5.709954462947316e-8,-5.709954462947316e-8
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,0.0,0.0,1.9168482160793686e8,1.9168482160793686e8
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,0.0,0.0,9.210950627131199e8,9.210950627131199e8
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,0.0,0.0,0.0,0.0
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,0.0,0.0,3.7171235326560454e9,3.7171235326560454e9
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_1,11,1,0.0,0.0,2.6793936907452935e8,2.6793936907452935e8
PJM_Rest,PJM_Rest_natural_gas_fired_combined_cycle_2,11,2,0.0,0.0,3.0445064408249197e9,3.0445064408249197e9
PJM_Rest,PJM_Rest_natural_gas_fired_combustion_turbine_1,11,1,0.0,0.0,7.719627166550475e7,7.719627166550475e7
