region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.499520323726745e7,0.0,0.0,0.0,6.632901444261215e7,2.5213593451137017e7,0.0,0.0,9.499520323726745e7,5.6797387599999994e7,3.8197815637267455e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210561761802712e8,0.0,0.0,0.0,1.9720120826393333e8,2.7220945898430187e8,0.0,0.0,1.4210561761802712e8,1.295391149e8,1.2566502718027115e7
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1714097612649333e6,0.0,0.0,0.0,3.6324634359054603e6,4.374488935262099e6,0.0,0.0,3.1714097612649333e6,3.3676233e6,-196213.53873506654
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2999974772613287e7,0.0,0.0,0.0,9.044917320097494e7,1.1859736580417639e8,0.0,0.0,2.2999974772613287e7,4.30715296e7,-2.0071554827386715e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5871544826691596e7,0.0,0.0,0.0,1.7656227431949794e7,2.3288194800278522e7,0.0,0.0,1.5871544826691596e7,1.4608994600000001e7,1.2625502266915943e6
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78542695469942e7,0.0,0.0,0.0,3.938896739267292e7,0.0,0.0,0.0,6.78542695469942e7,3.0430972e7,3.7423297546994194e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07727882201845e7,0.0,0.0,0.0,5.482786475701842e7,0.0,0.0,0.0,7.07727882201845e7,8.02164678e7,-9.443679579815492e6
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.9607026e7,0.0,0.0,7.34560416288e6,0.0,0.0,0.0,0.0,0.0,7.593284537122765e7,0.0,0.0,0.0,5.5508328082964376e7,0.0,0.0,0.0,7.593284537122765e7,4.695263016288e7,2.898021520834765e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,8.552953968280964e6,0.0,0.0,1.0924607522741936e7,7.764404939619617e7,0.0,0.0,0.0,0.0,3.899906597499262e7,0.0,0.0,0.0,5.812254491222635e7,0.0,0.0,0.0,3.899906597499262e7,9.712161088721907e7,-5.812254491222645e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,11,0.0,0.0,0.0,1.163506911e8,0.0,0.0,1.6665872993103707e8,1.2343856596892152e9,0.0,0.0,0.0,0.0,7.957211911714752e8,0.0,0.0,0.0,1.3323646247365966e9,0.0,0.0,0.0,7.957211911714752e8,1.5173950807202523e9,-7.216738895487771e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,12,0.0,0.0,0.0,1.0686073200000001e7,0.0,0.0,1.1664095542560013e7,7.84593104120448e7,0.0,0.0,0.0,0.0,3.591966921940175e7,0.0,0.0,0.0,1.1826568896580446e8,0.0,0.0,0.0,3.591966921940175e7,1.0080947915460481e8,-6.488980993520306e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,1.2862240797525133e-9,1.0636405251002635e-8,0.0,0.0,0.0,0.0,3.278564727841361e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.278564727841361e-9,1.1922629330755149e-8,-8.644064602913789e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,14,0.0,0.0,0.0,2.0929068382267123e8,0.0,0.0,2.361395315681741e7,5.546917596536416e7,0.0,0.0,0.0,0.0,1.4179531941292995e8,0.0,0.0,0.0,1.0480150686949345e8,4.17769866624291e7,0.0,0.0,1.4179531941292995e8,2.883738129448528e8,-1.4657849353192288e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,15,0.0,0.0,0.0,8.2950752e6,0.0,0.0,1.1257422739199998e7,6.728485064463353e7,0.0,0.0,0.0,0.0,2.4496889428963482e7,0.0,0.0,0.0,6.2829209796507075e7,0.0,0.0,0.0,2.4496889428963482e7,8.683734858383353e7,-6.234045915487005e7
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,16,0.0,0.0,0.0,741143.0,0.0,0.0,469471.96440000035,2.692504286280003e6,0.0,0.0,0.0,0.0,881281.2440040156,0.0,0.0,0.0,6.638877833713651e6,0.0,0.0,0.0,881281.2440040156,3.9031192506800033e6,-3.0218380066759875e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,0.0,2.61054e6,0.0,0.0,174420.5966999999,3.4085888609219976e6,0.0,0.0,0.0,0.0,2.6204928526153835e6,0.0,0.0,0.0,6.356372393981155e6,0.0,0.0,0.0,2.6204928526153835e6,6.193549457621997e6,-3.573056605006614e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,0.0,2.6501822958380217e-10,0.0,0.0,9.294609526477872e-12,5.420724562554824e-11,0.0,0.0,0.0,0.0,5.2817303200026404e-11,0.0,0.0,0.0,2.007321880146377e-9,0.0,0.0,0.0,5.2817303200026404e-11,3.285200847358283e-10,-2.7570278153580186e-10
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,2.74177092e7,0.0,0.0,2.964677284800001e7,1.857013210072441e8,0.0,0.0,0.0,0.0,8.99667969018943e7,0.0,0.0,0.0,2.4976305926749957e8,0.0,0.0,0.0,8.99667969018943e7,2.4276580305524412e8,-1.5279900615334982e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,23,0.0,0.0,0.0,6.1666756e6,0.0,0.0,333542.2297200004,1.1269074590575196e7,0.0,0.0,0.0,0.0,3.742496263765971e6,0.0,0.0,0.0,1.5015164121782154e7,0.0,0.0,0.0,3.742496263765971e6,1.7769292420295194e7,-1.4026796156529222e7
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,25,0.0,0.0,0.0,5.22172e6,0.0,0.0,4.0548463199999994e6,2.487612786624001e7,0.0,0.0,0.0,0.0,1.5695683086402395e6,0.0,0.0,0.0,3.955076156254941e7,0.0,0.0,0.0,1.5695683086402395e6,3.415269418624001e7,-3.2583125877599772e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,26,0.0,0.0,0.0,2.6501822958380217e-10,0.0,0.0,4.5628536037054356e-10,2.5199444365427277e-9,0.0,0.0,0.0,0.0,3.4298254593505425e-11,0.0,0.0,0.0,2.007321880146377e-9,0.0,0.0,0.0,3.4298254593505425e-11,3.2412480264970736e-9,-3.206949771903568e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,27,0.0,0.0,0.0,4.22005884e7,0.0,0.0,7.022269281987341e7,4.3565224629042494e8,0.0,0.0,0.0,0.0,2.5634298091103053e8,0.0,0.0,0.0,4.943562689878944e8,0.0,0.0,0.0,2.5634298091103053e8,5.480755275102984e8,-2.9173254659926784e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,28,0.0,0.0,0.0,1.0600729183352087e-9,0.0,0.0,2.9486200418348684e-9,1.692496453061596e-8,0.0,0.0,0.0,0.0,7.979539560801802e-9,0.0,0.0,0.0,8.029287520585507e-9,0.0,0.0,0.0,7.979539560801802e-9,2.0933657490786038e-8,-1.2954117929984236e-8
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,30,0.0,0.0,0.0,8.2615155e6,0.0,0.0,1.6567655490278272e7,9.539680395501482e7,0.0,0.0,0.0,0.0,6.997818295977692e7,0.0,0.0,0.0,1.0544515538015406e8,0.0,0.0,0.0,6.997818295977692e7,1.202259749452931e8,-5.0247791985516176e7
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,32,0.0,0.0,0.0,1.3214422e6,0.0,0.0,521518.1378400002,6.9503691886776e6,0.0,0.0,0.0,0.0,1.357368766031588e6,0.0,0.0,0.0,1.1836977924791574e7,0.0,0.0,0.0,1.357368766031588e6,8.7933295265176e6,-7.435960760486012e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,33,0.0,0.0,0.0,391071.2,0.0,0.0,105054.61535999991,745676.604,0.0,0.0,0.0,0.0,273428.36858509184,0.0,0.0,0.0,3.5030674526829487e6,0.0,0.0,0.0,273428.36858509184,1.24180241936e6,-968374.0507749082
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,34,0.0,0.0,0.0,1.41098334e7,0.0,0.0,2.1355362874574956e7,1.0964631167563312e8,0.0,0.0,0.0,0.0,6.950420707733293e7,0.0,0.0,0.0,1.0687180785080317e8,0.0,0.0,0.0,6.950420707733293e7,1.4511150795020807e8,-7.560730087287514e7
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,35,0.0,0.0,0.0,3.13019028e7,0.0,0.0,4.458312003256012e7,3.030144203742394e8,0.0,0.0,0.0,0.0,1.7871464068907797e8,0.0,0.0,0.0,3.9951919286969566e8,0.0,0.0,0.0,1.7871464068907797e8,3.788994432067995e8,-2.0018480251772153e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,36,0.0,0.0,0.0,0.0,0.0,0.0,-2.4401073407685136e-9,-2.4095385588562758e-8,0.0,0.0,0.0,0.0,-6.0895495398768675e-9,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-6.0895495398768675e-9,-2.653549292933127e-8,2.0445943389454402e-8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,37,0.0,0.0,0.0,2.0708275e7,0.0,0.0,3.7724323734000005e7,2.1871198000818014e8,0.0,0.0,0.0,0.0,1.0334076438899566e8,0.0,0.0,0.0,2.2897065890318784e8,0.0,0.0,0.0,1.0334076438899566e8,2.7714457874218017e8,-1.7380381435318452e8
