Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.0297034545643812e8,2.3740648706415445e7,1.2179702744258189e8,1.6083252192724556e8,4.4258790751787466e8,0.0,512515.88265018334,4.72359292341352e6,0.0,1.9959801070408147e7,0.0,201782.07107941693,0.0,0.0,1.2710032401849444e6,6.132321891953785e7,7.146764273774309e6,1.9699948272206746e7,0.0,433350.3252860893,8.684469640485516e6,1.9225474788400014e6,4.1266204845739687e6,7.914868637655213e6,60034.27666396945,45584.72855946531,99665.91526065678,9749.17066024199,51793.47359220155,99386.26781043987,406761.18538502866,132631.40295967943,851796.4752037667,3.450563789598144e6,751576.5680048893,269033.46238594427,184618.7456768981,347566.1164517174,67882.77687269672,212469.36233274496,448989.61979986896,1.9161135032775356e6,553050.0603346372,7.031032477428295e6,1.2590902490765486e7,3.90233153481743e6,1.1233324676744933e9
t1,11094.116018360064,1502.9099307159345,6276.475017700565,10186.054360348058,31019.91652398237,-0.0,-0.0,116.33476529333385,-0.0,1907.377749819275,-0.0,26.932216409263287,-0.0,-0.0,-0.0,-0.0,295.21737278817557,1790.13848,0.0,27.40257,727.1017599999999,143.4785,355.82213333333306,438.79670026033796,9.65561730006199,7.34023968218998,14.483425950092979,-0.0,-0.0,16.404696739391035,58.77118081109158,-0.0,-0.0,-0.0,31.378445411234168,46.05669798976227,34.8516288479577,69.00777064573441,5.106491381145542,42.19288104431243,78.04910229808706,279.6630705116609,15.493509574462564,516.1702242579748,2159.5404278433225,260.7913028823407,69553.03081218153
t2,12678.896018360065,1225.7736720554265,5864.589500393649,11476.394360348058,31019.91652398237,-0.0,75.69610344578997,43.20589159385091,-0.0,1984.2895921063455,0.0,4.887509972191444,-0.0,-0.0,-0.0,2219.952244282343,206.60657278817555,1977.5138857826244,0.0,27.415229999999998,815.42912,189.6113,438.34266666666633,636.1474419831557,7.216489393825256,5.486004692244709,10.82473409073788,0.5451221922121654,2.885941017593817,-0.0,-0.0,6.509400295239387,46.59413476578957,205.83109010081955,74.17142282169607,31.428333339126397,23.782178416016798,47.08976790577162,5.431406600553725,-0.0,-0.0,-0.0,19.383028657280907,-0.0,292.16621308564913,288.0906325590756,71952.10353369433
t3,14263.676018360065,948.6374133949184,6356.49864252432,12766.734360348059,31799.01495159737,-0.0,11.626921489273334,463.63438331244924,-0.0,2134.5590676888673,-0.0,31.819726381454732,-0.0,-0.0,110.04695723597173,5376.903131572845,117.99577278817556,1964.253531565248,0.0,22.71290048935111,883.4355200000005,213.00721999999996,473.3871999999996,834.0301194486992,4.260701924536377,3.2390029936526537,6.391052886804562,0.7391013542563101,-0.0,-0.0,-0.0,-0.0,16.91645938038379,-0.0,15.141968525332985,19.72325756270245,14.924814028152374,29.551793630022296,-0.0,0.7829702416159527,1.4483515458463594,5.189687370710865,21.15116475235869,14.975167301394658,343.741899735997,300.4425278384156,79570.59375926924
t4,15848.456018360066,1018.0799999999991,7173.762806893276,14057.074360348059,34997.152951597374,-0.0,65.85507709726902,626.2297943385524,0.0,2156.357160483122,-0.0,-0.0,0.0,-0.0,110.04695723597173,5376.903131572845,396.39339416653434,1794.5213,0.0,28.00478048935111,410.2243199999995,220.29327333333336,520.8631999999996,1016.4992466787909,1.5461132643990236,2.025446765573628,3.996519121333197,0.26820332137534075,1.4198999366929803,2.6268148828820137,-0.0,3.2026631905408336,40.94861355661918,103.99139155814844,36.00596460154023,1.91285312670691,-0.0,-0.0,0.1828737890805093,1.7523788711106913,3.2415799630435864,11.615126620054195,-0.0,33.96974903802486,-0.0,-0.0,86065.42396420166
t5,17433.236018360065,1225.9199999999992,8041.017189076789,15347.414360348059,34997.152951597374,-0.0,89.43301446808833,657.6078389544288,-0.0,2741.916226927391,-0.0,26.932216409263287,-0.0,-0.0,110.04695723597173,8093.955648997643,674.7092975776693,1795.7387500000002,0.0,32.929348391480886,613.11008,204.84244666666675,520.8631999999996,1074.4291408001536,4.108673951435146,1.948069093716236,6.163010927152717,0.7127291548407906,2.353372059522969,6.980553192999507,15.597627038949458,5.308161423146252,65.28561539539001,281.40197200326895,55.535526451513974,2.4562568807077825,0.41119982056106286,0.8141938797362065,0.27678416938602923,2.250195061856457,4.1624487407967425,14.91475444845882,1.1241893098709324,-0.0,34.91725893509478,7.852773390687033,94195.83005114013
t6,19018.016018360064,1433.759999999999,8870.764909838701,16637.75436034806,34997.152951597374,-0.0,89.43301446808833,576.043260274296,-0.0,2209.4762583121556,-0.0,31.819726381454732,-0.0,-0.0,110.04695723597173,8343.997369986,952.9434830215805,1920.1737917950347,0.0,32.61267629361066,883.4355200000006,166.68220000000002,473.38719999999955,1007.7530377086526,4.5877732867067715,5.435713071875975,6.881659930060158,0.03624628535839003,6.566633241192453,-0.0,-0.0,14.81140608846742,77.42934810988476,-0.0,62.90692184226128,4.583724437597007,-0.0,-0.0,0.4615767533920806,4.199183796859002,7.767720942907676,27.83305157661671,5.525477057596458,-0.0,120.89671651464882,-0.0,98105.17588855648
t7,20602.796018360063,1641.599999999999,9586.465660293445,17672.607552214497,34997.152951597374,-0.0,89.43301446808833,404.12390833690296,-0.0,2821.711061631503,0.0,31.819726381454732,-0.0,-0.0,110.04695723597173,5274.0216841072,0.0,1843.9730735900694,0.0,37.56889419574044,477.4211199999995,143.89040000000003,378.4352,816.4735020826954,15.598677131237359,-0.0,23.398015696856035,1.94630103389941,10.112054551099519,18.707300919534106,67.02045044145403,9.457023303492011,268.99445053413126,-0.0,212.83171761188413,10.124618438362845,4.192857708633209,8.302044199134045,1.4191473609069818,8.492267455273495,15.709139431916176,56.2884906971333,16.98843394173115,111.0090110523071,445.4665240685167,80.67785541522062,98316.27710548772
t8,22187.57601836006,1849.439999999999,10365.840435436388,17672.607552214497,34997.152951597374,-0.0,-0.0,257.80594373481836,-0.0,2788.2926647840072,-0.0,-0.0,-0.0,-0.0,110.04695723597173,2244.2772910228646,278.17052884401033,1839.8097949208357,0.0,47.79800209787022,613.75776,143.94532,330.9592,565.6372992955588,6.654393493125811,5.058697094264012,39.06816647806028,1.1543335651340692,23.919285598812415,44.25067835780297,158.53170955212897,40.6,197.2276385156627,1116.2528762544744,-0.0,18.74811723729294,12.165835424173963,24.088893644761303,3.240026972216733,18.144697239498,33.564366688448686,120.26677529257009,38.78595394896341,319.76666044856677,1066.134406081843,237.6960214740037,99818.43725290606
t9,23772.35601836006,2057.279999999999,11376.202635436388,18962.947552214497,34997.152951597374,-0.0,75.69610344578997,281.99689918033437,0.0,1543.1346519512633,-0.0,26.932216409263287,-0.0,-0.0,110.04695723597173,-0.0,233.62431650389044,2038.9606662516019,0.0,63.3,817.5340800000004,166.87442,330.902,440.4898992955588,-0.0,14.9,20.703609203596216,3.4,17.80810790104381,23.450006342848773,118.02818181080707,26.815899192810818,-0.0,2102.772707893796,181.96836319277955,30.445316691440283,19.631631705312856,41.61506665240153,5.261522851037499,27.8911793851114,33.55806336389426,181.5688304036799,60.3909350847843,438.7199474705592,1776.260498243086,332.5507051012156,102753.1719403722
t10,21659.192046073687,2265.119999999999,12386.564835436388,20253.287552214497,38052.672000000006,-0.0,89.43301446808833,261.52167449124966,-0.0,2991.19311240669,-0.0,31.819726381454732,-0.0,-0.0,110.04695723597173,-0.0,511.6314094134528,2441.669177582368,0.0,63.3,410.2243199999995,189.30924000000005,330.902,441.022131914242,5.7975938642691895,4.407354519265863,-0.0,1.0057050580875122,3.7770461723942086,-0.0,34.016597525465954,38.825200768796996,100.39187692279472,1474.4101298522987,266.9729468165066,22.79034181676656,15.86010367298666,34.14727389659822,3.938599340817041,20.368320559332645,52.35684488444026,248.92802874314123,44.55438471486368,657.937665307084,2467.262535471803,506.53740151289287,108493.19514903871
t11,23243.972046073686,2472.959999999999,13396.927035436387,20514.32,41250.810000000005,-0.0,89.43301446808833,345.6103714828948,-0.0,2836.064666246336,-0.0,31.819726381454732,-0.0,-0.0,110.04695723597173,4721.83538515453,789.6565636903383,3047.935328913134,0.0,63.3,614.4864,234.6182400000001,330.902,567.2431673200613,-0.0,8.442217580539804,11.727498440309004,1.9264120653580759,-0.0,-0.0,-0.0,28.20441846974623,-0.0,640.1799302067066,124.1631992642418,35.521459926565036,25.493886001038867,53.222590124870095,6.138775792678188,32.0313918478393,73.931390674535,189.05436078401797,70.89241932791992,731.9526024998163,3113.2308464792254,708.0108000191389,120516.06510190744
