Period_Index,Rep_Period,Rep_Period_Index
1,2,1
2,2,1
3,2,1
4,163,2
5,163,2
6,2,1
7,2,1
8,163,2
9,170,3
10,2,1
11,170,3
12,2,1
13,2,1
14,2,1
15,2,1
16,2,1
17,2,1
18,2,1
19,163,2
20,163,2
21,163,2
22,2,1
23,2,1
24,2,1
25,163,2
26,170,3
27,2,1
28,2,1
29,2,1
30,163,2
31,2,1
32,2,1
33,163,2
34,163,2
35,170,3
36,163,2
37,2,1
38,163,2
39,170,3
40,163,2
41,170,3
42,2,1
43,2,1
44,2,1
45,170,3
46,170,3
47,170,3
48,2,1
49,163,2
50,163,2
51,163,2
52,2,1
53,2,1
54,163,2
55,2,1
56,2,1
57,163,2
58,2,1
59,163,2
60,2,1
61,163,2
62,2,1
63,163,2
64,2,1
65,163,2
66,2,1
67,2,1
68,2,1
69,163,2
70,2,1
71,2,1
72,2,1
73,163,2
74,163,2
75,170,3
76,170,3
77,170,3
78,170,3
79,170,3
80,170,3
81,163,2
82,163,2
83,163,2
84,163,2
85,2,1
86,163,2
87,2,1
88,2,1
89,170,3
90,163,2
91,170,3
92,2,1
93,163,2
94,2,1
95,163,2
96,163,2
97,163,2
98,2,1
99,2,1
100,2,1
101,163,2
102,163,2
103,170,3
104,163,2
105,2,1
106,2,1
107,2,1
108,163,2
109,170,3
110,170,3
111,163,2
112,2,1
113,2,1
114,2,1
115,170,3
116,163,2
117,2,1
118,163,2
119,163,2
120,170,3
121,163,2
122,170,3
123,170,3
124,170,3
125,170,3
126,170,3
127,170,3
128,2,1
129,163,2
130,2,1
131,2,1
132,163,2
133,163,2
134,163,2
135,163,2
136,163,2
137,163,2
138,170,3
139,163,2
140,163,2
141,163,2
142,170,3
143,170,3
144,170,3
145,163,2
146,163,2
147,170,3
148,163,2
149,163,2
150,170,3
151,170,3
152,2,1
153,163,2
154,163,2
155,163,2
156,163,2
157,170,3
158,170,3
159,170,3
160,163,2
161,170,3
162,170,3
163,163,2
164,163,2
165,170,3
166,170,3
167,170,3
168,170,3
169,170,3
170,170,3
171,163,2
172,163,2
173,163,2
174,170,3
175,170,3
176,163,2
177,2,1
178,163,2
179,170,3
180,163,2
181,163,2
182,163,2
183,170,3
184,170,3
185,163,2
186,170,3
187,170,3
188,163,2
189,170,3
190,170,3
191,170,3
192,170,3
193,170,3
194,170,3
195,170,3
196,170,3
197,170,3
198,163,2
199,163,2
200,170,3
201,163,2
202,170,3
203,170,3
204,170,3
205,163,2
206,163,2
207,163,2
208,170,3
209,170,3
210,170,3
211,170,3
212,170,3
213,170,3
214,170,3
215,170,3
216,170,3
217,2,1
218,170,3
219,170,3
220,170,3
221,170,3
222,163,2
223,163,2
224,170,3
225,170,3
226,170,3
227,170,3
228,170,3
229,170,3
230,170,3
231,170,3
232,170,3
233,170,3
234,170,3
235,170,3
236,170,3
237,170,3
238,170,3
239,170,3
240,163,2
241,170,3
242,170,3
243,2,1
244,163,2
245,170,3
246,170,3
247,170,3
248,163,2
249,170,3
250,170,3
251,2,1
252,170,3
253,163,2
254,170,3
255,170,3
256,170,3
257,170,3
258,163,2
259,170,3
260,170,3
261,2,1
262,163,2
263,170,3
264,170,3
265,170,3
266,163,2
267,170,3
268,2,1
269,163,2
270,170,3
271,163,2
272,170,3
273,170,3
274,163,2
275,170,3
276,170,3
277,170,3
278,170,3
279,2,1
280,170,3
281,170,3
282,163,2
283,2,1
284,163,2
285,2,1
286,170,3
287,2,1
288,2,1
289,163,2
290,170,3
291,2,1
292,163,2
293,163,2
294,2,1
295,163,2
296,170,3
297,170,3
298,170,3
299,170,3
300,163,2
301,2,1
302,2,1
303,2,1
304,170,3
305,170,3
306,2,1
307,2,1
308,163,2
309,163,2
310,163,2
311,163,2
312,2,1
313,163,2
314,170,3
315,170,3
316,2,1
317,163,2
318,163,2
319,170,3
320,170,3
321,163,2
322,163,2
323,163,2
324,163,2
325,163,2
326,163,2
327,170,3
328,2,1
329,163,2
330,163,2
331,170,3
332,163,2
333,163,2
334,170,3
335,163,2
336,170,3
337,170,3
338,170,3
339,2,1
340,163,2
341,170,3
342,170,3
343,170,3
344,2,1
345,163,2
346,163,2
347,163,2
348,170,3
349,170,3
350,2,1
351,163,2
352,2,1
353,2,1
354,163,2
355,2,1
356,2,1
357,2,1
358,170,3
359,163,2
360,2,1
361,2,1
362,163,2
363,163,2
364,2,1
365,2,1
