Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,8.51440430297802e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,1.5848250524137858e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,3.368406801493491e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,4.4627867888661005e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,1.7117133497661933e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7.257945072864723e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,7.631690909487508e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,7.19349020422372e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,5.924733697256246e6
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,7.844109724055918e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,3.5827046043378904e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,3.2392062277639215e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,1.3823355144600803e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,3.540833365666839e6
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,888864.7422207287
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,3.5234898177633607e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,-1.2601606675380674e-8
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,9.29005184250641e7
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,3.864535084947583e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,6.138791600736065e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,0.0
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,2.899035326632923e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,7.699624035282144e-9
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,7.402720084286112e7
