BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0949816174696326e8,4.341046724355837e6,-5.788401885385058e6,2.878058826131401e6,-2.878058826131402e6,0.0,0.0,9.257889092427598e6,-146977.6783616562,-1.1716171800000001e8,3.410453987721662e7,1.7365529134597378e6,-2.136238187753823e6,189536.80840716732,-189536.80840716726,0.0,0.0,-2.331356235833608e7,-136559.24458646425,-1.0254732999999998e7,7.779407262464873e6,166983.76876443767,-197287.06139465675,139224.07494647204,-139224.074946472,0.0,0.0,146378.68271837707,-131796.65255302764,-7.763686e6,1.7879832805180673e7,0.0,4.4565240386873484e-11,285543.0887189663,-285543.08871896635,0.0,0.0,-1.896463290952893e6,-600157.514227785,-1.5383212e7,2.2317371327537093e7,2.618279229452548e6,-3.093430091508208e6,33186.81996209715,-33186.81996209714,0.0,0.0,-1.99389751098679e7,-146475.35561354135,-1.7567700000000005e6,4.454845177023548e7,4.209246401149195e6,-5.321613562270192e6,180259.7190976913,-180259.7190976913,0.0,0.0,-3.357548889479281e7,-357496.71432168176,-9.503098999999996e6,1.7967745123826183e7,53929.71111905029,-63716.57740908587,309229.49799818447,-309229.4979981843,0.0,0.0,-442635.45709454315,-585132.8004416107,-1.6930190000000007e7,2.4139738600476783e7,206080.08415384885,-243478.36029518972,1.1409478226810887e6,-1.1409478226810885e6,0.0,0.0,4.0688550153372444e7,-139292.47770790235,-6.4651598000000015e7,4.269444962508523e6,0.0,0.0,387600.2727680569,-387600.2727680567,0.0,0.0,1.6028111400412606e7,-175095.3629211271,-2.0122460999999996e7,1.5244393376321825e8,4.034089084766371e6,-5.127322076996676e6,3.3425414635879034e6,-3.3425414635879034e6,0.0,0.0,2.2437516052307608e6,-79375.3762187235,-1.5351507699999994e8,5.677638592434675e8,1.4193754762385873e7,-1.7329227070824523e7,1.1511385108347997e7,-1.1511385108347997e7,0.0,0.0,1.0802444176882418e7,-264219.1119112725,-5.751666120000001e8
t1,14962.421331569818,0.0,-0.0,94.03042056033316,-814.254334285262,0.0,0.0,-1620.6268524904826,-19.703516301916245,-12601.86704905249,3167.7379141271394,240.0,-0.0,6.750462012360777,-29.792006989238022,0.0,0.0,-2282.741514820605,-16.163402090015634,-1085.7914522396416,1954.21485,0.0,-0.0,5.122062213835634,-22.57868342902846,0.0,0.0,-1099.6296680085743,-14.779665208454237,-822.3488955677785,3263.5521529296784,0.0,-0.0,10.121049278516724,-44.65470879437935,0.0,0.0,-1507.3343665286748,-92.59167930833074,-1629.0924475768093,4309.44583056497,0.0,-898.1350141199296,1.1691978784612702,-5.155088312417298,0.0,0.0,-3200.0,-21.6,-185.72492601108343,2730.0306415490113,0.0,-0.0,6.193149055400447,-27.315151081840508,0.0,0.0,-1659.41831840211,-44.043478388365976,-1005.4468427320954,792.2438079497782,0.0,-0.0,11.456861378488382,-50.529699332457184,0.0,0.0,1117.9918409811517,-76.25271315315109,-1794.9100978238102,2429.4388,0.0,-0.0,41.04789922318756,-181.0465217310766,0.0,0.0,4560.533485396847,-15.049760501809592,-6834.923902387149,351.7025999999999,0.0,-0.0,13.975802576994631,-61.659683251385275,0.0,0.0,1861.2253938724489,-29.387962845183417,-2135.856150352875,15211.421542372602,0.0,-0.0,109.05218733998585,-522.1645671794131,0.0,0.0,1265.0314972908304,-10.600735019294921,-16052.739924804711,60427.96304227642,0.0,-0.0,450.1326055591516,-4889.9171911634185,0.0,0.0,2564.9685027091696,-41.76023501929492,-58511.38672436202
t2,13804.627830236659,0.0,-1190.5458332023368,52.66592885951238,-477.90081243614816,0.0,0.0,-410.7805038988014,-5.340146550684418,-11772.7264630082,3396.5515184203364,0.13564428087945402,-0.0,3.7638624168150194,-21.65536173631225,0.0,0.0,-2350.2889878081514,-16.34578026708201,-1012.1608953064853,1954.21485,0.0,-0.0,2.8554817048501873,-16.408417453640585,0.0,0.0,-1158.7478510869062,-15.56370525183353,-766.3503579124695,3359.942959103699,0.0,4.547473508864641e-13,5.6429968459215445,-32.457064472613055,0.0,0.0,-1720.085693612918,-94.90739693955177,-1518.1358009245378,3470.0565858764407,760.1814759511084,-825.964517507101,0.6518304435961015,-10.051281781636437,0.0,0.0,-3200.0,-21.6,-173.27409298240744,2734.451041722107,0.0,-0.0,3.452841251485938,-19.85258615166531,0.0,0.0,-1736.6784020694986,-44.33789905158919,-937.0349957008394,791.0425816676584,0.0,-0.0,6.387476637318887,-36.72468656739528,0.0,0.0,981.445886942186,-68.70124266358589,-1673.450016016184,2429.4388,0.0,-0.0,22.885317098629805,-131.5845908915257,0.0,0.0,4062.859833220217,-13.586960171792617,-6370.012399255528,351.7025999999999,0.0,-0.0,7.7921772102152795,-44.81671224658844,0.0,0.0,1702.275718313872,-25.56673506528059,-1991.3870482122181,14933.116905762558,0.0,-0.0,63.01978982221808,-480.5956747729875,0.0,0.0,1020.0,-14.607,-15520.934020811788,53900.54347807961,0.0,-0.0,260.05596751478146,-0.0,0.0,0.0,2810.0,-45.7665,-56924.832945594404
t3,12256.485314331352,0.0,-903.2857639525056,26.30439497227259,-62.53733996209992,0.0,0.0,0.0,-0.0,-11316.966605389018,3575.733075369347,0.0,-240.0,1.885899582165205,-22.372144188175337,0.0,0.0,-2325.7287325628254,-20.913306995329275,-968.6047912051816,1881.820767084217,0.0,-0.0,1.4310339171979551,-19.991235616035176,0.0,0.0,-1110.3100349424844,-19.784491140979497,-733.166039301916,3374.0292394450476,0.0,-0.0,2.8275837115521787,-36.40621551299322,0.0,0.0,-1793.0837650026656,-94.56065610045047,-1452.80618654049,4089.476959062358,441.9767431828793,-1144.1692502753301,0.32665507910586333,-0.0,0.0,0.0,-3200.0,-21.6,-166.01110704901313,2695.790087745667,0.0,-0.0,1.7302438270514846,-30.658020127941302,0.0,0.0,-1724.9437698326883,-44.27218511106305,-897.6463565010254,788.359152360913,0.0,-0.0,3.200824513875684,-46.67112052380101,0.0,0.0,925.7115826502595,-68.78072764084163,-1601.8197113604044,2429.4388,0.0,-0.0,11.46796690813132,-118.10805535766792,0.0,0.0,3788.3547196904037,-14.496570574978332,-6096.656860665889,351.7025999999999,0.0,-0.0,3.904517380391937,-37.41609991200984,0.0,0.0,1610.0,-20.991,-1907.2000174683822,14885.640905762557,0.0,-126.24755464542159,32.08916762601632,-539.1366805592259,0.0,0.0,1020.0,-14.607,-15257.738838183926,53319.18910533788,0.0,-0.0,137.68629361953748,-159.22584432383144,0.0,0.0,2810.0,-45.7665,-56061.883054633596
t4,11576.99414928248,0.0,-477.3492425058222,35.999696061229116,-21.951173382306234,0.0,0.0,0.0,-0.0,-11113.69342945558,3355.954437065209,0.0,-240.0,2.574248938708246,-4.018367051688301,0.0,0.0,-2149.6122940340356,-21.182436056613646,-943.7155888615795,1886.7433039818761,0.0,-0.0,1.9536788464711523,-0.0,0.0,0.0,-1153.3646866882543,-20.83243605661365,-714.4998600834797,3436.245675206051,0.0,-0.0,3.859799785613391,-3.145472930143427,0.0,0.0,-1926.1455517856862,-95.33947195480025,-1415.474978321034,3235.387065877995,866.9850528351325,-719.160940623077,0.44594320719366365,-0.1962919244561557,0.0,0.0,-3200.0,-21.6,-161.8608293727878,2707.491911207581,0.0,-389.538870547074,2.361986595106909,-0.0,0.0,0.0,-1404.0340720980948,-42.475090803749325,-873.8058643537695,791.0134589574304,0.0,-0.0,4.369517838702884,-2.7801591652355975,0.0,0.0,833.9196242300918,-66.2275447937903,-1560.294897067199,2429.4388,0.0,-0.0,15.655089445029999,-98.16574804410322,0.0,0.0,3600.8057258618946,-13.640717046074531,-5934.093150216748,351.7025999999999,0.0,-0.0,5.329899966332973,-47.26111281236338,0.0,0.0,1568.4312545140842,-20.891235010833803,-1857.31140665722,14933.116905762558,0.0,-742.5589076891009,44.45811615143262,-0.0,0.0,0.0,1020.0,-14.607,-15240.409114224889,53754.652942840825,0.0,-0.0,175.049122364514,-391.18299083414,0.0,0.0,2810.0,-45.7665,-56302.75257437122
t5,11460.296196961186,0.0,-1025.3034856190252,34.45192157854372,-0.0,0.0,0.0,607.8735901205453,-5.349287593060799,-11071.968935448189,3516.285219137499,0.0,-240.0,2.4988910303571927,-15.606887140077651,0.0,0.0,-2310.723799281386,-21.182436056613646,-931.2709876897785,1892.2160275612832,0.0,-71.49421471132702,1.8979798831804884,-11.826617584047588,0.0,0.0,-1084.793968618215,-20.832436056613645,-705.1667704742615,3345.3982558435255,0.0,-0.0,3.7475259905851854,-23.392171059630606,0.0,0.0,-1833.604764608374,-95.33947195480025,-1396.8093742113062,4293.308710504103,336.9366469242042,-1249.2093465340054,0.3496796403731078,-0.0,0.0,0.0,-3200.0,-21.6,-159.78569053467513,2672.757509959412,0.0,-0.0,2.2938081579455893,-4.486623829499686,0.0,0.0,-1761.7373796250104,-46.423424814285795,-862.4038898485602,788.4387646458116,0.0,-0.0,4.24346403670428,-18.34124699075037,0.0,0.0,830.2427914131636,-64.01316282700287,-1540.5706102779263,2429.4388,0.0,-0.0,15.20303986520563,-0.0,0.0,0.0,3424.4524391590103,-12.658952270434256,-5856.435326753782,351.7025999999999,0.0,-0.0,5.17500054796038,-0.0,0.0,0.0,1498.2910914402669,-20.722898619456643,-1834.4457933687709,14980.592905762558,0.0,-261.3157523735116,43.84240953865684,-79.69684126275229,0.0,0.0,1020.0,-14.607,-15688.81572166495,54874.921701869855,0.0,-0.0,190.19979805684363,-88.35260728747949,0.0,0.0,2810.0,-45.7665,-57741.002392639224
t6,11304.092240429389,0.0,-151.63798292437383,76.23124905041212,-84.24564588278201,0.0,0.0,229.1056745078604,-2.0161299356691718,-11371.529405244835,3435.339510789843,240.0,-0.0,5.330369518826111,-0.0,0.0,0.0,-2723.748371235355,-17.354120602335456,-939.5673884709792,1549.6555493985175,50.94338258192277,-0.0,4.045647600280664,-0.0,0.0,0.0,-876.2516287646451,-17.00412060233546,-711.3888302137403,2943.379174244147,0.0,-0.0,7.992421609979164,-0.0,0.0,0.0,-1447.6952215352785,-94.42326403438814,-1409.2531102844582,3481.5668620772367,743.7218146969482,-842.4241787612614,0.9234412288384066,-1.364679288030096,0.0,0.0,-3200.0,-21.6,-160.82325995373148,2583.8090739486697,0.0,-0.0,4.891017800857448,-6.534614823778526,0.0,0.0,-1669.7417937776077,-42.763991341720526,-869.6596918064207,780.1509522101846,0.0,-0.0,9.048069664760277,-0.0,0.0,0.0,829.8192841166083,-64.9521310683355,-1554.0661749232181,2429.4388,0.0,-0.0,32.41731004716586,-59.979250624978626,0.0,0.0,3514.1996010898824,-13.046439680508259,-5903.030020831561,351.7025999999999,0.0,-0.0,11.036556953159801,-4.17558629386711,0.0,0.0,1514.3124555985346,-20.76134989343648,-1852.1146763643908,15607.25578009212,0.0,-0.0,101.78051758689314,-63.28251150954294,0.0,0.0,1320.0,-9.702,-16956.05178616947,59714.77397186303,0.0,-0.0,407.80322103529784,-566.8190318677572,0.0,0.0,2510.0,-40.8615,-62024.89666103058
t7,12045.738315882283,0.0,-289.8213701861331,213.66074745007379,-0.0,0.0,0.0,366.984253339374,-3.2294614293864914,-12333.33248505621,3679.773736947283,149.26410220702658,-0.0,16.07048589225077,-3.4632992358654966,0.0,0.0,-2834.645689291425,-17.653543361086847,-989.3457931581834,1521.8115701769352,0.0,-0.0,12.200286758360104,-2.6328142150201987,0.0,0.0,-765.3543107085752,-17.30354336108685,-748.7211886506129,2959.621778048506,0.0,-0.0,24.09777248223207,-5.194948853798244,0.0,0.0,-1400.424527921929,-94.18454703164072,-1483.9155267233698,2519.3666018466956,1228.3418511174282,-357.80414234078137,2.7846522309672257,-1.9651475481271428,0.0,0.0,-3200.0,-21.6,-169.1238153061821,2761.8763472534183,0.0,-0.0,14.74789276828113,-0.0,0.0,0.0,-1817.8256109114918,-43.53103928294895,-915.267589827258,852.1729537630049,0.0,-0.0,27.282805985705686,-9.308878258754673,0.0,0.0,833.654754199129,-64.60959146479547,-1639.1920442242895,2651.7448,0.0,-0.0,97.74761244176355,-0.0,0.0,0.0,3466.7417290785247,-12.927203298592573,-6203.306938221695,427.5425999999999,0.0,-0.0,33.27636078857876,-4.861994218674542,0.0,0.0,1520.8694022163936,-20.777086565319344,-1956.0492822209783,16960.934088812784,493.1673780618535,-0.0,322.12525850885027,-0.0,0.0,0.0,1320.0,-9.702,-19086.524725383486,59255.55049221656,5985.928721205221,-0.0,1273.6164765568315,-0.0,0.0,0.0,2510.0,-40.8615,-68984.23418997861
t8,14099.820963564982,0.0,-847.1065575467862,393.38236681312424,-47.58521382926663,0.0,0.0,296.21189247116837,-2.606664653746282,-13892.116786819473,3731.399217281599,36.82257780937001,-0.0,26.14319132313586,-0.0,0.0,0.0,-2686.135717249639,-17.252566436574025,-1090.976702727892,1727.853735307312,9.56932074974442,-0.0,19.84072852397628,-0.0,0.0,0.0,-913.8642827503611,-16.902566436574027,-826.4969353940977,3207.926401498795,0.0,-0.0,39.19872640517464,-0.0,0.0,0.0,-1516.0056028245885,-94.76823145989916,-1636.351293619481,3529.932300546884,731.4609743249815,-854.6850191332278,4.528815821134716,-2.8745761296325485,0.0,0.0,-3200.0,-21.6,-186.76249543013978,2767.8275795618656,0.0,-0.0,23.987420638616126,-0.0,0.0,0.0,-1738.13275871744,-44.089226203597335,-1009.5930152794442,1024.7009464692808,0.0,-0.0,44.37512212348691,-0.0,0.0,0.0,804.9830810563349,-65.65348718000033,-1808.405662469102,3162.4858,0.0,-0.0,158.98704092338477,-0.0,0.0,0.0,3535.2686950766465,-13.534132443498843,-6843.207403556532,601.7825999999999,0.0,-0.0,29.762543907930038,-40.6,0.0,0.0,1587.6746929378792,-20.93741926305091,-2157.6824175827583,17990.427142202738,463.36806446702667,-0.0,506.09707988699427,-0.0,0.0,0.0,1023.9083514440208,-14.54309845389026,-19969.25753954689,61110.539099360474,6722.149254491511,-0.0,1986.2836673975735,-0.0,0.0,0.0,2806.091648555979,-45.70259845389026,-72579.36107135165
