Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.8362971372603732e8,2.3937838614814483e7,1.184724620913549e8,1.6980432427800933e8,4.3647279672758216e8,0.0,1.0608418491084084e7,1.3430160676952745e6,-2.0500010577961806e-10,2.9174979855922412e7,2.2804564388452288e7,611343.9625428418,2.36159633201423e6,0.0,2.1806351728306346e7,1.215838891540023e8,6.995732595155844e6,1.8839023689014178e7,0.0,373649.9302500003,8.825099506584967e6,1.6610354534775717e6,3.8961683431286425e6,7.679436093138907e6,58243.249656888416,47123.52520249618,92187.80032905885,9396.476821317434,54836.66692558308,89540.74913641867,372654.72641259205,135449.01585921552,921612.7651982305,3.4232625314476285e6,904811.275961855,243369.58794097678,154077.15076079106,326009.70457361976,50540.845522308715,211346.38250685862,357818.465624393,2.023951459964229e6,522300.5851000042,7.461642374055587e6,1.714932601925657e7,4.190388862533602e6,1.2296813312493587e9
t1,14360.12763672609,1718.0935846388859,8653.199538106237,15303.646427951247,42317.10618013857,-0.0,-0.0,-0.0,-0.0,826.2842129903352,-0.0,-0.0,-0.0,-0.0,-0.0,10437.943292048958,554.598403186227,1986.14793,0.0,30.738480000000003,739.00288,137.84920000000002,356.97375999999986,448.37570813935804,10.15518810833456,7.720015449703311,15.232782162501834,1.7616142636906882,9.326193160715409,17.253457347323504,61.81193578185268,21.035746795835866,154.26149660919276,-0.0,19.540807787845267,44.19563977002319,33.44334485953098,66.2193058970314,7.637837074349647,40.48795186985347,74.89529558342859,268.3624502142851,91.4315836181856,788.6320320720786,186.13559804708848,453.150188470913,100242.77769886967
t2,15391.140328279314,1717.9369515200874,8653.199538106237,15303.646427951247,42317.10618013857,-0.0,-0.0,-0.0,-4.18367562815547e-13,759.887356106533,-0.0,-0.0,-0.0,-0.0,-0.0,10437.943292048958,652.2185855092418,2222.8202100000003,0.0,41.23362,869.9961600000001,137.84920000000002,410.73031999999984,619.2085575114866,6.079774911223763,4.621869702920103,9.119662366835641,-0.0,5.583466755205493,10.329413497130163,37.00597688311198,12.593819458963504,-0.0,159.22584432383144,47.45611268212258,30.379553647636758,22.98855485752379,45.51835806600609,-0.0,27.83093337518401,51.482129503545536,184.4691353201299,62.8489759186848,525.3176437305019,286.9657212380385,-0.0,101064.73367341029
t3,16173.385799862184,1925.7769515200873,8653.199538106237,15303.646427951247,42317.10618013857,-0.0,-0.0,-0.0,-4.18367562815547e-13,1332.1135629001856,-0.0,0.0,-0.0,-0.0,116.14775027378786,10437.943292048958,838.4495678322567,2281.9644931863077,0.0,50.43111000000002,933.7926400000002,160.64100000000002,511.96287999999976,790.0414068836151,1.1315652115707797,0.8602204924696233,4.842820747499596,0.1962919244561557,1.0391925412384717,-0.0,-0.0,2.8067076544529783,18.270130797292428,88.35260728747949,-0.0,14.841518741279607,8.190002369137051,16.21656788390109,0.13036315464970766,3.447431288261214,18.34124699075037,114.83502375370529,39.12450519157743,-0.0,336.2994075700965,11.223167692295247,102506.75137199556
t4,16586.770243872226,2133.6169515200872,8990.540200000003,15303.646427951247,42317.10618013857,-0.0,-0.0,-0.0,-4.18367562815547e-13,1051.3665708439246,-0.0,-0.0,0.0,-0.0,799.3019453477608,10437.943292048958,936.0697501552715,2543.2054763726146,0.0,54.37470000000003,981.8828800000002,172.03690000000003,565.7194399999996,959.111491349541,2.767935170688429,2.1041956144519176,4.1519027560326425,0.2838600949489799,2.5419812792036596,-0.0,9.960149802180386,-0.0,45.216790336557196,208.51814638794997,-0.0,11.761030669181903,8.899706093625909,17.621812730838005,0.29244626689439135,4.306629145402935,19.93060566421766,22.36421535245168,-0.0,17.51145661216786,-0.0,25.271690371218135,104236.1970039482
t5,17474.683062418302,2341.4569515200874,8990.540200000003,15303.646427951247,42317.10618013857,-0.0,-0.0,65.77467753442086,-4.18367562815547e-13,1834.4036838680313,-0.0,-0.0,-0.0,-0.0,1039.7124375313915,10437.943292048958,945.0791324782865,2626.981894248411,0.0,53.064390000000046,1097.16992,160.64100000000005,571.9999999999998,1003.0341758154668,-0.0,-0.0,-0.0,0.6335397353220877,3.354033892881641,3.4248035365954377,22.22979130115443,4.17558629386711,-0.0,276.74760791946244,27.179040284668083,1.4209697301498734,1.075264007210727,2.129070417825229,0.29244626689439135,1.3017608601708575,2.408019173576129,25.297613718683262,0.9994142540932696,26.873815224629617,33.61772923785167,32.54457166509377,106728.9425030733
t6,17606.00155563081,2064.320692859579,8990.540200000003,15303.646427951247,42317.10618013857,-0.0,-0.0,10.401435597548282,-4.18367562815547e-13,1801.0406514838828,-0.0,-0.0,-0.0,-0.0,1039.7124375313915,10437.943292048958,865.4777148013014,2508.6616121242077,0.0,46.50018000000006,1097.16992,160.64100000000002,530.8045599999998,921.8094602813927,3.4632992358654966,2.6328142150201987,5.194948853798244,-0.0,-0.0,9.308878258754673,-0.0,7.173976988578528,-0.0,-0.0,47.58521382926663,3.2880400131104883,2.488097392471192,4.9265431740061505,0.4847479430247899,3.012197730131421,5.57201411617717,19.965464442024945,4.861994218674542,65.37182130197982,151.34952632485476,4.124001288125328,106042.58089977477
t7,17856.986862212,1891.9602977013499,8990.540200000003,15303.646427951247,42317.10618013857,-0.0,0.0,10.401435597548282,-0.0,795.0662764401973,0.0,-0.0,-0.0,-0.0,503.6609396380724,3931.4990298693697,697.2654971243163,2188.24463,0.0,35.99238,1097.16992,137.84920000000002,442.13311999999974,715.4373447473185,11.32849763038,8.611970137380712,16.992746445569995,-0.0,10.403722313614283,19.246886280186423,68.95355955634356,30.640150651508524,218.80681565074025,954.9423687562929,187.26103735929635,8.030028274981259,6.076414013450584,12.031569210668225,1.3042526258648728,7.356368184798267,13.60793382169643,48.75951732744494,9.810187125648756,168.69026416008984,470.02363412539336,78.10892520816938,99265.9465902795
t8,18590.581141047518,1849.439999999999,8990.540200000003,15303.646427951247,38052.672000000006,-0.0,-0.0,-0.0,-0.0,786.3102176025697,-0.0,-0.0,-0.0,-0.0,-2.0117160239069915e-14,638.9454923785967,535.0290460029792,1986.14793,0.0,30.738479999999996,1097.16992,137.84920000000002,373.13275999999996,500.1587999999996,27.8995835541441,21.209377293711587,41.849375331216145,-0.0,25.622066529316008,47.40082307923461,169.81736316374446,-0.0,525.1022345392103,2323.483655780267,378.74390406316934,17.60213367435302,13.319735381095994,26.373666730196717,2.9584923173670394,16.125444607712666,29.82911914613515,106.88275464342883,29.612881685087316,368.4919251586141,1087.7660144989927,232.42321148815404,94364.87537764806
