Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,6.500401714478268e6,778027.6955160755,3.862549540271532e6,4.0753276343473415e6,4.0263925779643543e6,0.0,2.075598659419693e6,125531.2767826788,2.52831497048338e6,3.2889319717405196e6,1.1469354830279415e7,2.1629824987834296e6,0.0,0.0,2.137124660149218e6,8.822163038123839e6,56768.0191571188,43486.10194305117,87395.29984142835,9808.996135986625,55647.7036154864,91694.74173195285,344963.0030034571,115937.54722132048,936449.7355083636,4.395303739163928e6,842396.5273577174,124066.09714548658,90395.48885952182,166669.958240847,21064.998019738247,109514.27557255515,217317.35978764723,814090.7453304051,270184.3641041285,2.2695801575564477e6,7.322285778221073e6,1.9764845657575713e6,7.221420627161497e7
t1,0.0,0.0,0.0,0.0,0.0,-0.0,265.82095301906384,-0.0,64.80921900197472,1011.9044201525621,3720.7168702311146,1040.1124669267592,0.0,-0.0,0.0,0.0,3.9827929577948096,3.0277354628134003,5.974189436692213,0.6908926559439974,3.6576670020564563,6.766683953804445,24.24220407474085,8.250071126860675,61.01397993893736,284.0507246223224,52.979933857328305,2.7676690545659675,2.094326751022234,4.146859841824511,0.4783052225172728,2.5354820533439906,4.690177424683937,16.805695148446702,5.725731450133956,48.03820740104849,166.08188093682924,41.05048670300485,6852.41562640819
t2,250.55382551823513,0.0,0.0,0.0,0.0,-0.0,789.5329456365105,74.22363497891978,354.1208183267613,1060.5068705730048,3204.4217087746633,1040.1124669267592,-0.0,-0.0,0.0,0.0,2.096981953428952,1.5941342401067031,3.1454729301434274,0.36376217559481816,1.9257997531490372,3.562729543325719,12.76377280837112,4.3437483321028285,33.14698009068132,159.22584432383144,27.915304894277313,1.6668804633860672,1.261347464743484,2.497523915778117,0.28806826800128343,1.5270414983369007,2.8247470939931683,10.121544290258685,3.448428878112451,29.872809731536762,100.83012319095002,24.750623965235068,7202.645940540199
t3,1830.0,0.0,1166.7,0.0,0.0,-0.0,737.5481337983307,74.22363497891978,674.6105984482482,937.4408135541937,1663.016689574869,827.4145252088551,-0.0,-0.0,0.0,0.0,1.1315652115707802,0.8602204924696236,1.6973478173561698,0.1962919244561557,1.0391925412384713,1.922506201291172,6.887537231652758,2.34395650968233,18.270130797292428,88.35260728747949,15.081227279977345,0.7543343705944248,0.5708134247283315,1.130235894196009,0.13036315464970766,0.6910512858130133,1.278318312584512,4.580429676478562,1.560560870709607,13.819036828723895,49.33368633205801,11.223167692295247,8133.808976700715
t4,1198.2135495863108,201.0870144048362,1166.7,77.27522903701934,0.0,0.0,653.1877050143448,6.174583152492542,928.1001923080555,1081.2752584661596,1871.3614641564086,1040.1124669267592,-0.0,-0.0,446.8619972357811,0.0,1.6363699591176493,1.2439751219822945,2.4545549386764733,0.28386009494897996,1.5027887379651879,2.7801591652355975,9.960149802180386,3.3896234867437016,26.946659539264765,120.16553910047047,21.951173382306234,0.9378789795905967,0.7097037244888577,1.4052448469369174,0.16208311224468366,0.8591978571417211,1.5893586734672864,5.694939642849613,1.9402764795892713,17.51145661216786,54.883583264043544,14.048522678922886,8962.406559488503
t5,1164.9786863798709,240.0,0.0,0.0,0.0,-0.0,648.3434233482991,74.22363497891978,883.8671518980593,911.3042494118192,3952.309955690287,0.0,-0.0,-0.0,145.9299945613735,0.0,2.0158002797979155,1.5324196004586192,3.0237004196968726,0.3496796403731078,1.851245154916453,3.4248035365954377,12.269641498974046,4.17558629386711,34.480050926195084,156.58206881899196,27.179040284668083,0.48309075055927714,0.3655602827218692,0.7238255708883129,0.0,0.4425630030291364,0.8186605001088423,2.9333983662315837,0.9994142540932696,9.362358612461756,33.61772923785167,7.272881293875633,8324.860614594983
t6,824.194361538523,240.0,833.7594501804629,0.0,0.0,-0.0,424.6143062393046,40.19910906570612,550.5777212799615,803.2231932287226,3016.8318990429325,0.0,-0.0,-0.0,0.0,0.0,3.4632992358654966,2.6328142150201987,5.194948853798244,0.6007763980583004,3.1805809308968844,5.8840747221592355,21.080183614222133,7.173976988578528,63.28251150954294,290.07142394829475,47.58521382926663,1.8670702829606147,1.412833385260465,2.797472756180921,0.32266483078010627,1.7104368699605637,3.163994942601042,11.337126432943732,3.8625799645812724,38.4980060773502,117.7317970870031,28.64603522114549,7394.899862672085
t7,1830.0,0.0,1166.7,0.0,0.0,-0.0,671.6305097082508,0.0,576.0244988629427,756.863572730631,1047.1268175721798,558.8012236068773,0.0,0.0,0.0,0.0,11.32849763038,8.611970137380712,16.992746445569995,1.9651475481271428,10.403722313614283,19.246886280186427,68.95355955634356,23.466173662929997,218.80681565074025,954.9423687562929,158.1646643347978,4.7419882618707705,3.5883166209793917,7.105026036662075,0.8195046828400828,4.3441704546668465,8.035919705519259,28.794052885419994,9.810187125648758,103.31844285811003,318.6741078005386,73.98492392004405,8663.245815149545
t8,1830.0,240.0,1166.7,0.0,0.0,-0.0,414.92588403924356,22.801500665524145,0.0,1063.3852110968564,0.0,0.0,0.0,-0.0,0.0,0.0,16.5710859237641,12.597407156330874,24.85662888564615,2.8745761296325485,15.218344215701727,28.15393679904819,100.86380360740088,0.0,306.29541888847,1368.541287023974,239.0680805331396,9.57210539937176,7.243321367645409,14.342097519528492,1.6542396915021667,8.769076422914399,16.22118532443872,58.12323731598388,19.80269455943856,199.80166099852428,617.7423803735994,154.31428627998466,7960.439450217663
