Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,1562.578700129049,1200.0,760.0,1256.1152370162647,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,4677.487433499329,6155.695551839032,2087.577004508479,350.0,1320.0,-0.0
t2,-0.0,-875.0378903120102,1200.0,760.0,1267.1452255759493,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,4250.5774756579285,5877.521582081994,2006.8856432442471,350.0,1320.0,288.67729101371077
t3,-0.0,-1600.0,-178.41877289596778,760.0,1328.1638894105674,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,4220.631320360262,5260.502103171586,1805.7407041454246,350.0,1320.0,300.0
t4,-0.0,-1600.0,1200.0,-60.1870044022589,1140.3770422064879,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,3830.194760247747,5092.549038274976,2580.0,350.0,1320.0,300.0
t5,-0.0,-1600.0,1200.0,-88.79047521113968,1266.0095325701575,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,1659.9912983002282,5021.656487016526,2580.0,350.0,1320.0,300.0
t6,-0.0,962.5660827081692,-1200.0,-72.68456196228729,1617.769010516265,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,4128.338042103466,5066.723753746025,2580.0,350.0,1320.0,-0.0
t7,-0.0,-1600.0,-1200.0,210.3777446107568,1613.5510373154978,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,5307.4205224684865,5281.661260587317,2375.1804407105205,350.0,1320.0,-300.0
t8,-0.0,-1600.0,-738.3760092365992,270.0963251155674,1521.0979156808767,1000.0,2600.0,-3200.0,3786.0765442040747,4300.0,1510.0,4611.994388868355,5890.715263092585,2580.0,350.0,1320.0,-91.77364179251555
t9,-0.0,-1600.0,-1200.0,351.20030040694724,2890.0341604378928,1000.0,2600.0,-3200.0,984.9757090162391,4300.0,1510.0,6259.057968140205,6499.516368973556,2580.0,350.0,1320.0,300.0
t10,-0.0,-1600.0,-1200.0,459.4288761612824,3028.319097713591,1000.0,2053.4179299353254,-2095.26379552161,-3042.4563675081677,4300.0,1510.0,6950.0,6963.735242527627,2580.0,350.0,1320.0,300.0
t11,-0.0,-1600.0,-1200.0,555.5997791116574,1030.9540317710678,1000.0,1127.7949295189487,-559.8509978092759,-3786.0765442040747,4300.0,1510.0,6950.0,7143.602195162572,2580.0,350.0,1320.0,-300.0
t12,-0.0,-1600.0,-1200.0,538.1893185157755,2678.8199220343786,1000.0,1738.9383074290731,-2477.3347497344434,-1972.777539030636,4300.0,1510.0,6400.99928110285,7494.26250133121,2580.0,350.0,1320.0,-300.0
t13,-0.0,-1600.0,-1200.0,569.160272578804,3202.958463594621,1000.0,2271.362209998101,-2383.372853417159,-1045.245162092073,4300.0,1510.0,6672.068269261921,7076.439469618219,2580.0,350.0,1320.0,-300.0
t14,-0.0,-1600.0,-1200.0,672.3519399503325,3202.958463594621,1000.0,2209.8947421878865,-1246.0087406097527,-2641.4353085881635,4300.0,1510.0,4065.9928073787996,7040.141780939223,2580.0,350.0,1320.0,-300.0
t15,-0.0,-1600.0,-1200.0,511.2952745598584,3202.958463594621,1000.0,2280.7450771150175,-3200.0,-920.5438050897964,3702.993765911495,1510.0,6950.0,7323.2236513490025,2580.0,350.0,1320.0,-300.0
t16,-0.0,-1600.0,-1200.0,664.1950133361785,3202.958463594621,1000.0,2240.260091293802,-2780.15549121381,-951.2154402294655,4112.311324869988,1510.0,6950.0,7011.886493654644,2580.0,350.0,1320.0,-300.0
t17,-0.0,-1600.0,-1200.0,556.8701075128592,2638.4177442555383,1000.0,2411.196369655478,-3200.0,630.0417772767889,4234.340271210127,1510.0,6950.0,7335.425865389484,2580.0,350.0,1320.0,-300.0
t18,-0.0,-782.4367827099423,1200.0,760.0,1839.3537155259787,1000.0,2600.0,-3200.0,1043.961870585289,4300.0,1510.0,4731.677425550379,7115.223430349213,2580.0,196.76919672499153,1320.0,-300.0
t19,-0.0,-0.0,-0.0,739.0390816385103,1820.8962342703048,1000.0,2600.0,-3200.0,1086.4169715484404,4300.0,1510.0,6737.605071997852,7261.613126011805,2580.0,280.44460819179966,1320.0,-300.0
t20,-0.0,-982.1847977179259,-0.0,705.601978995846,1798.3029485149818,1000.0,2600.0,-3200.0,1146.775808816323,4300.0,1510.0,6950.0,7587.287055783511,2580.0,350.0,1320.0,-300.0
t21,-0.0,-1600.0,-297.09982337812494,633.8681870802889,1749.222850923827,1000.0,2600.0,-1877.4066377105576,954.8621908092952,4300.0,1510.0,6218.371553439805,7453.980404212238,2580.0,350.0,1320.0,-300.0
t22,-0.0,-1600.0,-372.50993636465654,566.5563529822587,1869.7788438298367,1000.0,2600.0,-2772.8669449700624,791.3074574280674,4300.0,1510.0,5695.953455394326,7377.133776958935,2580.0,350.0,1320.0,-300.0
t23,-0.0,-1360.8660648031134,-0.0,481.6958454149585,1920.500365191029,1000.0,2600.0,-2945.0899009411514,2414.9913117127635,4300.0,1510.0,4561.296063106286,6875.928888375704,2580.0,350.0,1320.0,-300.0
t24,-0.0,-251.37929118063929,-0.0,-0.0,1899.7442395580777,1000.0,2600.0,-1511.266586388055,-0.0,4300.0,1510.0,5177.634700525151,6356.462498753782,2580.0,350.0,990.1188102707629,221.10406400103653
t25,-0.0,-0.0,-0.0,158.54606021670233,739.3018243875315,1000.0,1762.985755206253,-3200.0,3064.807292957166,4300.0,86.47730128887157,3696.9629422468047,5284.843593461576,1980.4792581600736,-0.0,462.84686913578963,-0.0
t26,-0.0,-0.0,-0.0,232.68369447808612,785.4166398367332,1000.0,1883.9755471683914,-3200.0,2138.747076297367,4300.0,1510.0,2838.2725175429514,5132.685583444663,1335.8844423338287,-0.0,-0.0,-0.0
t27,-0.0,-0.0,-0.0,526.1050583290704,308.14196246343295,1000.0,1113.9199640892953,-3200.0,1762.7896083982203,4300.0,1510.0,2752.16043560493,4605.48706840494,1915.750183400503,-0.0,919.3126027858739,-0.0
t28,-0.0,-0.0,-0.0,-0.0,576.6994267234351,1000.0,1421.809300301738,-3200.0,1826.2171500396048,4300.0,1510.0,2329.4646261419653,4508.6543360053965,1618.6138155522276,-0.0,193.14424371307717,-0.0
t29,-0.0,-0.0,-0.0,288.1106133360581,815.9522844401014,1000.0,1721.7143155833264,-3200.0,1514.481261089858,4300.0,1510.0,1886.5712342185648,4534.604955751644,1143.7231588014874,-0.0,-0.0,-0.0
t30,-0.0,498.27857120231255,-0.0,-0.0,672.0509820107883,1000.0,1537.521718363887,-3200.0,1496.3311717897734,4300.0,1302.9068477037538,2675.748873812668,4761.034420288731,1648.4510162655813,-0.0,144.22229052522735,-0.0
t31,-0.0,-1600.0,-790.9431636198638,79.5417044540322,1075.6142208570632,1000.0,1623.222737278875,-3200.0,623.8669782689027,4300.0,1510.0,4781.19224878517,5622.939954361251,2580.0,350.0,1320.0,-0.0
t32,-0.0,-1600.0,-1200.0,419.52899758272144,2220.000598730596,1000.0,2600.0,-1826.7923851386777,-1508.9784891879076,4300.0,1510.0,6950.0,6641.854700997019,2580.0,350.0,1320.0,-0.0
t33,-0.0,-1600.0,-1200.0,-600.6000488029574,3202.958463594621,1000.0,2600.0,-2284.143093103543,-1818.821695768142,4300.0,1510.0,6950.0,7140.914123801986,2580.0,350.0,223.34121985092082,-0.0
t34,-0.0,-1600.0,-1200.0,-760.0,3202.958463594621,1000.0,2600.0,-2507.8408615890858,27.608060023088683,4300.0,1510.0,6950.0,7353.594677708723,2580.0,350.0,-138.53065004163142,-0.0
t35,-0.0,-1600.0,-1200.0,-760.0,3202.958463594621,1000.0,2567.0111708778554,-3200.0,377.7188812200508,4300.0,1510.0,6950.0,7892.618508040379,2580.0,350.0,-132.57158966657823,-300.0
t36,-0.0,-1600.0,-1200.0,287.55262191858617,3202.958463594621,1000.0,2590.227097521246,-3004.9195681730002,-47.31887422305135,4300.0,1510.0,6950.0,7963.155619685162,2580.0,350.0,752.1733795215757,-300.0
t37,-0.0,-1600.0,-1200.0,760.0,3202.958463594621,1000.0,2513.5102080679826,-2570.760386931125,-1005.5698474813462,4300.0,1510.0,6950.0,8070.5944226345255,2580.0,350.0,1239.6855174051734,-300.0
t38,-0.0,-1600.0,-1200.0,760.0,3202.958463594621,1000.0,2600.0,-1869.0463967394871,-1037.3761405396933,4300.0,1510.0,6950.0,8093.964849520112,2580.0,334.7334192585422,1219.5613323283824,-300.0
t39,-0.0,-1600.0,-974.5770168541803,760.0,3202.958463594621,1000.0,2600.0,-933.2807418896066,-2285.378813276804,4300.0,1510.0,6950.0,8093.964849520112,2580.0,350.0,1231.8815691953944,-300.0
t40,-0.0,-1600.0,-801.8089345212775,760.0,3156.6336964843767,1000.0,2600.0,-976.5826920301386,-2870.1681936090386,4300.0,1510.0,6950.0,8093.964849520112,2580.0,-104.9454388714048,630.3545011444451,-300.0
t41,-0.0,-1600.0,-1075.0479232708908,-0.0,2656.4790832246217,1000.0,1820.2558701371968,-1259.4912827515,-3786.0765442040747,4300.0,1510.0,6950.0,7692.910831482619,2503.176277810026,-350.0,-387.96980039190447,-300.0
