Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,5.270313739121408e6,756219.8521105674,3.658698826378482e6,3.0890885322680166e6,3.969557147348497e6,3.6909367604287374e6,3.3476558418111536e6,772512.3529888412,9.276013464007888e6,3.715831590853865e6,2.6087345139793035e7,3.0503879210967068e6,1.1310070965637404e6,553402.6906551026,0.0,5.767615418963298e6,55054.36809466694,42144.118247216466,82191.3946486771,9398.040125372367,50543.241996552395,92820.19896001468,334642.02250013367,109221.54958626196,917437.7507386442,4.0245598524013655e6,764338.7333569133,124305.51914338501,92171.43194303344,184387.05907094583,21285.489851658047,111481.6589411337,219803.36499264796,778713.7875967697,273010.5312142409,2.467300020461113e6,7.523641395202086e6,1.9164162047052255e6,9.433145410816737e7
t1,-0.0,0.0,336.548925464977,0.0,0.0,1344.8284545789083,552.8669237009437,308.89296200485785,913.058150656972,845.4781211905755,4771.905702019445,1249.4932806208806,431.99063207459153,18.87738746057136,0.0,0.0,4.074020285778655,3.0970868499031607,6.111030428667981,0.7067178046758891,3.7414472012252946,6.921677322266794,24.797480617009867,8.439042020541496,59.160830315132166,276.0045387646198,55.93922728321915,3.124705482860058,2.3645002898823595,4.681815429855758,0.5400078267358825,2.862565761143611,5.295222378672246,18.97367305783649,6.464365537527605,52.54355383828086,211.9304692061413,45.7422668887221,11577.456784363423
t2,1830.0,0.0,1166.7,987.7981419620432,3693.0,223.74962155905564,921.9832925032348,-0.0,2446.8370051568972,671.1251576332579,2007.6392139813702,1249.4932806208806,305.8373885658069,226.9219284322851,-0.0,1637.2693619735928,3.142469108046601,2.3889178423415482,4.7137036620699,0.5451221922121654,2.885941017593817,5.33899088254856,19.127375744385684,6.509400295239387,46.59413476578957,205.83109010081955,42.79297741046188,1.8800919491968624,1.4226870286707805,2.8169834071020103,0.32491521940818263,1.2819792902229383,3.1860618602161592,11.416195912992357,3.889519082818341,32.2688923229799,104.85212344284368,27.29932967673487,17898.863294603118
t3,1830.0,122.89958157914577,0.0,1490.0,1402.1293214584534,-0.0,749.6282939865692,47.445958963946175,983.5552129256153,781.117749314785,7128.031019868216,-0.0,-0.0,37.75477492114271,-0.0,2534.9647935312787,1.1182328164897755,0.8500851513111048,1.6773492247346629,0.19397916204414473,1.0269485049395897,1.8998547341382408,6.806386479960724,2.316339405585963,16.916459380383795,84.33171130103304,15.141968525332986,0.8546708131925052,0.646739155620503,1.2805722083572264,0.14770317744769804,0.7829702416159527,1.4483515458463594,5.189687370710865,1.768136095077783,14.975167301394658,51.57568665034787,-0.0,17318.475705794717
t4,1830.0,0.0,0.0,1490.0,3693.0,1344.8284545789083,752.0321854472055,268.7347023377738,3470.489806748519,953.5636176444496,2794.13139536559,1249.4932806208806,0.0,-0.0,-0.0,1319.7312869568434,1.5461132643990234,1.175361614262523,2.3191698965985346,0.26820332137534075,1.4198999366929803,2.6268148828820137,9.410781247081811,3.2026631905408336,24.032154176235384,103.99139155814844,20.863996076207243,1.058182313514403,0.8007386298573757,1.5854979965912113,0.1828737890805093,0.9694086294947386,1.793228417197227,6.425439249343331,2.1891590479249317,18.994581736630202,57.4145815542423,15.24437970375356,19443.519349932223
t5,1181.3662700134391,240.0,497.2105247154861,1230.073594119938,3693.0,1344.8284545789083,690.3026265886955,185.7034840701244,1046.1755766435888,894.0371873283093,6462.344037544613,-0.0,120.19466820218707,226.9219284322851,-0.0,0.0,2.5625606870361226,1.948069093716236,3.8438410305541826,0.44452583346544977,2.353372059522969,4.3537383101174925,15.597627038949458,5.308161423146252,41.253461219154616,177.41058044512053,34.67153037530674,0.5434037540008724,0.41119982056106286,0.8141938797362065,0.0,0.4978161907457658,0.9208687777531565,3.299627828404626,1.1241893098709324,10.0864731310483,34.91725893509478,7.852773390687033,18162.373624771568
t6,1830.0,240.0,1166.7,487.42767959377994,0.0,1344.8284545789083,732.112089160227,47.445958963946175,1564.0233227213153,923.2297579588915,4472.9376717557425,253.70274184381253,-0.0,226.9219284322851,-0.0,1310.3373495128617,4.587773286706772,3.487643978159739,6.881659930060157,0.7958382232042358,4.213261181669484,7.794533186088544,27.924558831842745,9.503244665321168,77.42934810988476,334.61486225140965,62.90692184226132,2.1274675568892243,1.6098789734178527,3.187631758896102,0.36766637308656064,1.948988735002545,3.605272202110934,12.91829712815789,4.401287747725526,41.298825047385044,120.89671651464882,31.16930333754404,15363.33793538324
t7,1830.0,240.0,1166.7,0.0,0.0,0.0,231.10758811361268,268.7347023377738,970.7018230029663,952.9129158068961,3926.0335906565324,-0.0,431.99063207459153,122.89965794642825,0.0,0.0,11.010903844530587,8.370534045076823,16.516355766795876,0.0,10.112054551099519,18.707300919534106,67.02045044145403,22.808300820813358,191.56510242424648,800.7623552433136,149.92479576962285,5.540894000765837,4.192857708633209,8.302044199134045,0.9575706075149013,5.076053900030447,9.389770034854859,33.64512649122745,11.462956884134691,111.0090110523071,324.5698075538679,80.67785541522062,12032.703011612979
t8,1830.0,240.0,1166.7,824.7498661778678,0.0,1344.8284545789083,46.756285837116316,51.46021570223104,-0.0,902.8501371661475,-2.95184681012533e-13,-0.0,0.0,122.89965794642825,0.0,0.0,15.034540474176268,11.429319033940121,22.5518107112644,2.608032531234659,13.807231047712898,25.543377438268863,91.51125911067494,31.14297669650799,259.53318798153146,1116.2528762544744,209.52627295556314,10.536351925637007,7.972977715540755,15.786849445627258,1.8208796113097512,9.652429784224505,17.855227256532512,63.97828459543678,13.937106528392086,208.7576493962597,620.6678820133263,126.97893265436403,9427.130072570697
