Zone,1,2,3,4,5,6,7,8,9,10,11,Total
AnnualSum,2.1230971170514762e7,76338.91914096,0.0,2.9065817382431766e6,389359.0986969598,590728.3019301989,3.376082659339366e6,8.176247175106756e6,2.108731969475675e6,3.568756853726274e7,2.708424120090864e8,3.45385021578797e8
t1,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t2,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t3,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t4,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t5,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t6,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t7,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t8,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t9,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t10,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t11,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t12,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t13,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t14,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t15,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t16,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3264.381080409851,19844.358654612006,27108.490731249152
t17,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,3947.4952146051255,19844.358654612006,27791.604865444424
t18,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,4303.852224840295,31534.567880940645,39838.17110200824
t19,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,4303.852224840295,36851.493283168806,45155.0965042364
t20,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,4303.852224840295,36851.493283168806,45155.0965042364
t21,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,4303.852224840295,36851.493283168806,45155.0965042364
t22,2136.739941906398,8.447104246,0.0,331.80156829260005,44.447385696000005,67.43473766326468,284.5271862062534,932.1605229885201,194.19254922825792,4146.90211887919,32744.126459763793,40890.77957487028
