Time,Weight
1,40.0
2,40.0
3,40.0
4,40.0
5,40.0
6,40.0
7,40.0
8,40.0
9,40.0
10,40.0
11,40.0
12,40.0
13,40.0
14,40.0
15,40.0
16,40.0
17,40.0
18,40.0
19,40.0
20,40.0
21,40.0
22,40.0
23,40.0
24,40.0
25,26.0
26,26.0
27,26.0
28,26.0
29,26.0
30,26.0
31,26.0
32,26.0
33,26.0
34,26.0
35,26.0
36,26.0
37,26.0
38,26.0
39,26.0
40,26.0
41,26.0
42,26.0
43,26.0
44,26.0
45,26.0
46,26.0
47,26.0
48,26.0
49,25.0
50,25.0
51,25.0
52,25.0
53,25.0
54,25.0
55,25.0
56,25.0
57,25.0
58,25.0
59,25.0
60,25.0
61,25.0
62,25.0
63,25.0
64,25.0
65,25.0
66,25.0
67,25.0
68,25.0
69,25.0
70,25.0
71,25.0
72,25.0
73,32.0
74,32.0
75,32.0
76,32.0
77,32.0
78,32.0
79,32.0
80,32.0
81,32.0
82,32.0
83,32.0
84,32.0
85,32.0
86,32.0
87,32.0
88,32.0
89,32.0
90,32.0
91,32.0
92,32.0
93,32.0
94,32.0
95,32.0
96,32.0
97,23.0
98,23.0
99,23.0
100,23.0
101,23.0
102,23.0
103,23.0
104,23.0
105,23.0
106,23.0
107,23.0
108,23.0
109,23.0
110,23.0
111,23.0
112,23.0
113,23.0
114,23.0
115,23.0
116,23.0
117,23.0
118,23.0
119,23.0
120,23.0
121,32.0
122,32.0
123,32.0
124,32.0
125,32.0
126,32.0
127,32.0
128,32.0
129,32.0
130,32.0
131,32.0
132,32.0
133,32.0
134,32.0
135,32.0
136,32.0
137,32.0
138,32.0
139,32.0
140,32.0
141,32.0
142,32.0
143,32.0
144,32.0
145,26.0
146,26.0
147,26.0
148,26.0
149,26.0
150,26.0
151,26.0
152,26.0
153,26.0
154,26.0
155,26.0
156,26.0
157,26.0
158,26.0
159,26.0
160,26.0
161,26.0
162,26.0
163,26.0
164,26.0
165,26.0
166,26.0
167,26.0
168,26.0
169,27.0
170,27.0
171,27.0
172,27.0
173,27.0
174,27.0
175,27.0
176,27.0
177,27.0
178,27.0
179,27.0
180,27.0
181,27.0
182,27.0
183,27.0
184,27.0
185,27.0
186,27.0
187,27.0
188,27.0
189,27.0
190,27.0
191,27.0
192,27.0
193,28.0
194,28.0
195,28.0
196,28.0
197,28.0
198,28.0
199,28.0
200,28.0
201,28.0
202,28.0
203,28.0
204,28.0
205,28.0
206,28.0
207,28.0
208,28.0
209,28.0
210,28.0
211,28.0
212,28.0
213,28.0
214,28.0
215,28.0
216,28.0
217,52.0
218,52.0
219,52.0
220,52.0
221,52.0
222,52.0
223,52.0
224,52.0
225,52.0
226,52.0
227,52.0
228,52.0
229,52.0
230,52.0
231,52.0
232,52.0
233,52.0
234,52.0
235,52.0
236,52.0
237,52.0
238,52.0
239,52.0
240,52.0
241,23.0
242,23.0
243,23.0
244,23.0
245,23.0
246,23.0
247,23.0
248,23.0
249,23.0
250,23.0
251,23.0
252,23.0
253,23.0
254,23.0
255,23.0
256,23.0
257,23.0
258,23.0
259,23.0
260,23.0
261,23.0
262,23.0
263,23.0
264,23.0
265,31.0
266,31.0
267,31.0
268,31.0
269,31.0
270,31.0
271,31.0
272,31.0
273,31.0
274,31.0
275,31.0
276,31.0
277,31.0
278,31.0
279,31.0
280,31.0
281,31.0
282,31.0
283,31.0
284,31.0
285,31.0
286,31.0
287,31.0
288,31.0
