Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.8037737599999934e7
new_england_naturalgas,4.7985985640012217e8
new_england_uranium,2.789394147623152e8
middle_atlantic_naturalgas,1.4506221954739745e9
middle_atlantic_uranium,6.696967365159965e8
middle_atlantic_coal,0.0
east_north_central_coal,2.2162589789765835e9
east_north_central_naturalgas,1.237641372808534e9
east_north_central_uranium,4.025637200373425e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
