Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,3.744590855385644e10,3.870769089509105e9,2.5259214109177932e8,1.3527971606506255e8,6.38360010989817e8,1.3279067592283563e8,7.124192202700689e8,2.1722538940364556e9,8.820894419940339e8,2.623503856272592e8,5.8274878513227215e9,2.2519965968945988e10
cFix,1.7209653899466904e10,1.2303084572321506e9,1.578031376e8,1.028358259557369e8,3.960027015796559e8,8.02627958e7,1.304783673e8,9.430487741348232e8,6.61200112e7,2.23622135e7,2.413587357476782e9,1.166684425768776e10
cVar,2.5101509584949665e9,3.8380476628785753e8,1.3065214035559785e7,4.430867568e6,3.458853059772e7,7.482833610000001e6,8.050272239957586e7,1.214476030996993e8,1.0601758550861761e8,3.2714010586627193e7,5.474534698837476e8,1.1786433549175515e9
cFuel,1.707072870690592e10,2.164574745813959e9,7.452404773216534e7,2.2562217638207987e7,1.969703955978196e8,4.380800307030003e7,4.9478143464262635e8,1.0958036364561725e9,6.456032358578776e8,1.8566068714393848e8,2.7003499410956182e9,9.446090361857437e9
cNSE,6.158248309071406e8,9.208112017513788e7,7.199741724054206e6,5.45080490311767e6,1.0798383214621542e7,1.2370434425356057e6,6.656695927866726e6,1.1953880345760986e7,6.434860942753871e7,2.1613474396693524e7,1.6609708286657357e8,2.2838799448324025e8
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,3.508873046492392e7,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
