BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0714675674150431e8,3.1373358666153816e6,-4.1833599126020484e6,2.6834422451868057e6,-2.6834422451868053e6,152705.0085823182,0.0,1.1056924581620933e7,-148644.28572090564,-1.1716171800000001e8,1.6183847568784347e7,74943.78905014161,-99930.91468051671,186018.89444673317,-186018.8944467332,11939.870189144622,0.0,-5.828991855148606e6,-87075.45819452062,-1.0254733e7,3.561386672869539e6,0.0,0.0,142470.7080559724,-142470.7080559725,9039.477451273082,0.0,4.228931157469755e6,-35671.30779056432,-7.763685999999986e6,1.8797213866963916e7,0.0,0.0,279404.7204551389,-279404.7204551391,17907.766525077186,0.0,-3.210816238721842e6,-221093.39476715703,-1.5383212e7,8.606530109702064e6,0.0,0.0,32291.8432829227,-32291.843282922728,2051.4816625797775,0.0,-6.805871955663914e6,-45939.635700731415,-1.7567700000000002e6,2.1079746930087857e7,407371.96350836137,-543194.4854209599,172102.14057598132,-172102.14057598135,11039.296729463891,0.0,-1.1334280591964908e7,-117584.11293982688,-9.503099000000002e6,5.0807288941086635e7,7.892578971420095e-28,0.0,317501.3173542923,-317501.31735429214,19824.013840399646,0.0,-3.357390191536378e7,-323021.0395632141,-1.6930189999999996e7,2.410607978578444e7,0.0,0.0,1.1406431951731893e6,-1.1406431951731893e6,106714.11182013054,0.0,4.057392774354892e7,-135123.6411534161,-6.4651598000000015e7,6.667152139306249e6,0.0,0.0,379558.8205332584,-379558.82053325826,35843.24112221148,0.0,1.3554052747321606e7,-134587.12775006102,-2.0122460999999985e7,1.6114761200787905e8,1.4178741036802712e6,-1.8906097206773083e6,3.285809475089292e6,-3.2858094750892934e6,275451.21536745207,0.0,-7.347474987788706e6,-87775.6184607014,-1.53515077e8,5.766303732382962e8,1.077551442273244e6,-1.4368195497779124e6,1.0913531761617444e7,-1.0913531761617448e7,378752.89300703193,0.0,-1.3124986853094199e6,-170747.33848933084,-5.751666120000002e8
t1,10987.366192195996,0.0,-0.0,101.68149417194124,-1065.5189204335522,0.0,0.0,873.4556253140674,-7.686409502763794,-10889.297981745689,2078.034671076755,0.0,-0.0,7.198725768638713,-78.19838218947508,0.0,0.0,-1000.0,-12.7,-994.3350146559185,135.90855,0.0,-0.0,5.46158713978552,-42.54620590417786,0.0,0.0,657.1090688691177,-3.121268077128309,-752.8117320275968,1899.4267877119623,0.0,-0.0,10.792845858523739,-117.19757328421261,0.0,0.0,-287.6430065570356,-13.882882873494404,-1491.4961708557437,1192.1963952617941,0.0,-0.0,1.2467256314117716,-13.526249971643637,0.0,0.0,-1003.0077386154952,-6.770302235654593,-170.13883007041218,2292.5326000000005,0.0,-0.0,6.6040129623689054,-71.6801469087016,0.0,0.0,-1295.6781178901956,-10.050855461190112,-921.727492702282,5037.991683517816,0.0,-0.0,10.401687562317445,-132.59827178109796,0.0,0.0,-3254.0330277375906,-20.59713758250797,-1641.1649339789387,2429.4388,0.0,-0.0,43.77115367484636,-475.1034181226723,0.0,0.0,4284.399443905648,-14.138518164888637,-6268.3674612929335,661.6661,0.0,-0.0,14.903407558069102,-62.03608239916775,0.0,0.0,1345.397752711484,-9.80486089848151,-1950.1263169719039,15924.365067208257,0.0,-0.0,111.70438415341303,-779.8263270958785,0.0,0.0,-1320.0,-9.702,-13926.54112426579,59341.37463725901,0.0,-0.0,487.9350079707611,-4805.348262594221,0.0,0.0,1000.0,-12.7,-56011.261382635545
t2,10985.118898640525,0.0,-985.3019955853786,70.09230708719676,-0.0,0.0,0.0,0.0,-0.0,-10069.909210142343,1947.929035847083,0.0,-0.0,5.022561057243464,-0.0,0.0,0.0,-1011.3028418553932,-12.730517673009562,-928.9182373759238,135.88,0.0,-0.0,3.811604871012329,-0.0,0.0,0.0,566.4724936309394,-2.6675735189434064,-703.4965249830083,1876.6352677119626,0.0,-0.0,7.53068706917191,-0.0,0.0,0.0,-475.59883658544607,-14.69249158623828,-1393.8746266094502,1126.8912052617939,0.0,-0.0,0.870037411620348,-0.0,0.0,0.0,-962.2016763219974,-6.494861315173482,-159.06470503624334,2302.3512561760176,0.0,-0.0,4.608307132126513,-0.0,0.0,0.0,-1438.5575642448234,-8.055922359771012,-860.3460767035492,2522.163627525944,0.0,-0.0,8.52505274276472,-0.0,0.0,0.0,-971.7665612402998,-24.483248240738135,-1534.4388707876703,2429.4388,0.0,-0.0,30.543571657378042,-0.0,0.0,0.0,3406.125017427308,-11.138359529780859,-5854.969029554905,661.6661,0.0,-0.0,10.398919378057728,-45.71444158930797,0.0,0.0,1206.8299691897123,-9.97360807394469,-1823.2069389045175,15508.595110765604,0.0,-0.0,78.86302708876947,-781.2319114675985,0.0,0.0,-1365.0364667377403,-10.438346231162054,-13430.751413417871,53195.81447523594,0.0,-0.0,310.6832135436632,-0.0,0.0,0.0,1045.0364667377403,-13.436346231162053,-54538.09780928618
t3,10988.56289161,0.0,-1548.0520221801826,27.493863804673012,-98.73220469368101,0.0,0.0,211.06011229232251,-1.8573289881724382,-9578.475311844959,2085.5356199999997,0.0,-0.0,1.9729036296822806,-4.260701924536376,0.0,0.0,-1185.411100516593,-13.200609971394801,-884.6361112171583,135.88,0.0,-0.0,1.4968243069316078,-27.667920565289958,0.0,0.0,562.8688733383296,-2.2935343922980502,-670.2842426876731,1901.7976477119626,0.0,-0.0,2.9579214330918893,-6.391052886804562,0.0,0.0,-551.9829762937861,-18.929819749399094,-1327.4517202150648,1389.6286628323146,0.0,-0.0,0.3416823394918428,-0.7391013542563101,0.0,0.0,-1228.9185093196884,-8.295199937907897,-152.01753455995407,2279.5818161760176,0.0,-0.0,1.8099187465555424,-0.0,0.0,0.0,-1452.4864505880232,-8.809316482628363,-820.0959678519212,1810.4798766696488,0.0,-0.0,3.3482062799846,-0.0,0.0,0.0,-327.2874342259747,-25.601802586578323,-1460.93884613708,2429.4388,0.0,-0.0,11.99607385067159,-0.0,0.0,0.0,3147.1574853134134,-10.228119701534451,-5578.36423946255,661.6661,0.0,-0.0,4.084475500663746,-64.04914861039401,0.0,0.0,1145.0,-10.122,-1736.5794268902696,15556.071110765602,0.0,-702.4446877537039,31.891626681778455,-63.51059414617336,0.0,0.0,-1620.0,-14.607,-13187.400455547506,53631.76990918776,0.0,-0.0,135.90739795138091,-1016.7157901494348,0.0,0.0,1300.0,-17.605,-54033.35651698972
t4,10928.3376724473,0.0,-1830.0,36.1083757799608,-249.5992230805519,0.0,0.0,472.504454876396,-4.158039202912285,-9353.193240820194,2060.095516282586,0.0,-0.0,2.6042955779134265,-11.282102988620505,0.0,0.0,-1178.7592466426297,-13.182649965935099,-859.4758122633141,135.85145,0.0,-0.0,1.9761002441198987,-0.0,0.0,0.0,515.4162399881411,-2.0817706843262798,-651.1620195479346,1879.2284677119624,0.0,-0.0,3.904667893189746,-16.90422477992971,0.0,0.0,-557.9043725591687,-19.116309611392836,-1289.208228654661,1392.3264228323148,0.0,-0.0,0.4510771104558501,-1.9497594091072366,0.0,0.0,-1235.5042455138403,-8.339653657218422,-146.9838413626046,2302.4071561760175,0.0,-0.0,2.3893085661877187,-13.221558856162275,0.0,0.0,-1484.7958794433207,-9.826871180487064,-796.9521552622351,1810.4862766696488,0.0,-0.0,4.420043300079241,-7.238845616686801,0.0,0.0,-363.8146663037892,-24.19479767483211,-1419.6580103744195,2429.4388,0.0,-0.0,15.836220496425142,-25.93376222434641,0.0,0.0,3007.8577155982116,-9.768430461474098,-5417.430543408816,661.6661,0.0,-0.0,5.391822238465766,-22.19161115186627,0.0,0.0,1052.8072599001703,-9.444383360266256,-1688.2291876265035,15581.835580671253,0.0,-772.7370724327385,43.02673591286559,-24.032154176235384,0.0,0.0,-1527.8072599001703,-13.929383360266257,-13286.356446714708,53020.18799563819,0.0,-0.0,161.40597311239074,-0.0,0.0,0.0,1300.0,-17.605,-54463.988968750586
t5,10839.694831288552,0.0,-1830.0,42.52430376599377,-78.53026836753399,0.0,0.0,331.5843267293601,-2.917942075218369,-9302.355251341154,1857.9993162825858,0.0,-0.0,3.105964441036995,-0.0,0.0,0.0,-1000.0,-12.7,-848.4052807236227,135.8229,0.0,-0.0,2.359268914277299,-0.0,0.0,0.0,506.3270087537829,-2.4050532915804688,-642.1041243764796,1947.2538477119624,0.0,-0.0,4.6580349102903895,-2.3191698965985346,0.0,0.0,-659.4746857892446,-18.01872871666613,-1272.0992982197436,1274.7939828323147,0.0,-0.0,0.5384362137709697,-0.26820332137534075,0.0,0.0,-1122.5168628170306,-7.576988824014957,-144.9703640836648,2279.637716176018,0.0,-0.0,2.8511882502687347,-2.4468484416325698,0.0,0.0,-1484.7828269799943,-9.37585367662192,-785.8833753280373,1810.4926766696487,0.0,-0.0,5.274607087870649,-18.224656670183094,0.0,0.0,-372.2695746312793,-23.738335831097793,-1401.5347166249587,2429.4388,0.0,-0.0,18.897254867354086,-71.80622298917237,0.0,0.0,2976.132614734406,-9.66373762862354,-5342.998708983964,661.6661,0.0,-0.0,4.357547840351333,-0.0,0.0,0.0,1010.1834081582169,-9.131098049962894,-1667.0759579486057,15534.359580671255,0.0,-697.8805356418125,51.33993435020292,-44.05622216907316,0.0,0.0,-1185.183408158217,-8.711098049962894,-13649.868251002388,54676.434982818784,0.0,-0.0,212.32783938021532,-0.0,0.0,0.0,1000.0,-12.7,-55876.062822199
t6,10928.273590129804,0.0,-1830.0,94.07622517980536,-62.90692184226132,0.0,0.0,384.6332046060909,-3.3847722005336003,-9510.691325872906,1872.802242136135,0.0,-0.0,6.715240843595996,-11.367318549032014,0.0,0.0,-1000.0,-12.7,-855.450164430699,135.79435,0.0,-0.0,5.0975229515775915,-6.6110746861384975,0.0,0.0,515.3031802011377,-2.4476901059554037,-647.1362883606213,1922.1291577119628,0.0,-0.0,10.069291688956259,-0.0,0.0,0.0,-629.9906089106358,-19.038057871475168,-1283.1697826188079,1369.9540428323148,0.0,-0.0,1.1635045962907964,-0.0,0.0,0.0,-1215.9262041877337,-8.207501878267202,-146.9838413626046,2302.4630561760177,0.0,-0.0,6.162249916672029,-2.4468049257483107,0.0,0.0,-1504.6010175580948,-9.656591953064822,-791.9208916557816,1810.4990766696487,0.0,-0.0,11.399805388199479,-18.380358581198987,0.0,0.0,-365.9523638070664,-23.949247211649578,-1413.6169124579326,2429.4388,0.0,-0.0,40.842855960000634,-65.8512642460319,0.0,0.0,2991.5338096563023,-9.714561571865797,-5386.249639798405,661.6661,0.0,-0.0,13.904532413046693,-11.961498778617692,0.0,0.0,1027.837126967313,-9.26085288320975,-1682.1854077185326,15568.550032728106,0.0,-0.0,118.7281731572698,-82.55228626653965,0.0,0.0,-1202.837126967313,-8.84085288320975,-14393.047939768312,57381.57000389941,0.0,-0.0,455.51157876605845,-281.40197200326895,0.0,0.0,1000.0,-12.7,-58542.979610662194
t7,11062.179750531504,0.0,-1077.6114124181465,178.31735416922783,-100.95106872518599,0.0,0.0,0.0,-0.0,-10061.934623557396,2075.3635421361346,0.0,-0.0,16.551797845296424,-0.0,0.0,0.0,-1193.0515775467434,-13.221239259376215,-885.642523175312,136.1178,0.0,-0.0,12.563391753710032,-9.1712726749342,0.0,0.0,532.9098898517223,-2.135566242824866,-670.2842426876731,1842.3179477119622,0.0,-0.0,8.302044199134045,-10.72550096061434,0.0,0.0,-493.61267307546996,-18.830097659947562,-1327.4517202150648,1405.6939105010185,0.0,-0.0,0.9575706075149013,-1.2403640566696856,0.0,0.0,-1244.9899006624382,-8.403681829471457,-152.01753455995407,2314.8177000000005,0.0,-0.0,15.188108451129967,-12.48591884000487,0.0,0.0,-1489.0850455043799,-8.338876254824527,-820.0959678519212,2252.1387423492265,0.0,-0.0,28.097070954388965,-0.0,0.0,0.0,-786.5562770323065,-29.720141175985336,-1463.9593950953233,2432.2527999999998,0.0,-0.0,100.66557693268149,-39.231709552128976,0.0,0.0,3082.7807212581192,-10.173176380151794,-5566.29421225852,662.6261000000001,0.0,-0.0,34.27125770494805,-0.0,0.0,0.0,1052.5168485344009,-5.783702789779907,-1743.630503449569,15616.026032728105,0.0,-0.0,302.5741134765536,-0.0,0.0,0.0,-460.91198582290417,-3.3877030957983454,-15454.300457285955,60169.83948245818,0.0,-0.0,1125.3321627971814,-0.0,0.0,0.0,1000.0,-12.7,-62282.47164525536
t8,11913.784630732353,0.0,-1830.0,366.5444390143462,-0.0,0.0,0.0,357.3839079236508,-3.144978389728127,-10804.567999280624,2052.8431003455553,0.0,-0.0,25.570892399813275,-0.0,0.0,0.0,-1123.3792758686009,-13.033124044845222,-942.0015928319227,181.7018,0.0,-0.0,19.402296749480875,-0.0,0.0,0.0,513.6371724586303,-2.1868490536478618,-712.5544201544633,1890.26757,0.0,-0.0,38.33866015689166,-0.0,0.0,0.0,-497.1716336558434,-19.444631784038513,-1411.9899647170098,1461.7483005010188,0.0,-0.0,4.4289121425444105,-0.0,0.0,0.0,-1296.3486767602485,-8.750353568131677,-161.0781823151831,2377.180566666667,0.0,-0.0,23.459660831937406,-18.0,0.0,0.0,-1501.6723770440553,-9.552993816802392,-871.414856637747,1913.0848766696488,0.0,-0.0,43.39860469480138,-0.0,0.0,0.0,-373.99739062661,-24.889677936969612,-1557.5964128008702,2796.6657999999998,0.0,-0.0,155.48954370611173,-119.3,0.0,0.0,3096.548273573077,-10.061109302791154,-5919.342507976398,786.9461,0.0,-0.0,52.94049670374025,-38.326402651227006,0.0,0.0,1064.4172511417353,-9.529716795891755,-1856.4477283983567,17105.406032728108,0.0,-0.0,453.2603657613339,-77.42934810988476,0.0,0.0,-1318.788444063471,-10.407435800162133,-16152.04117051592,65936.74798189406,0.0,-0.0,620.6678820133263,-2293.8434640659034,0.0,0.0,1079.3711929217357,-13.997719004270378,-65328.94587375895
