Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-28.50065454184339,-29.497402888190635,-29.497402888190635,-28.50065454184339,-48.20164171525666,-28.50065454184339,-28.50065454184339,-28.50065454184339,-28.50065454184339,23.464361745461698,24.2444
t2,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,-50.66841119613873,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,23.464361745461698,24.2444
t3,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,-50.66841119613873,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,23.464361745461698,24.2444
t4,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,-50.66841119613873,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,23.464361745461698,24.2444
t5,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,-50.66841119613873,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,23.464361745461698,24.2444
t6,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,-50.66841119613873,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,23.8204,24.2444
t7,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,-50.66841119613873,-29.497402888190635,-29.497402888190635,-29.497402888190635,-29.497402888190635,23.8204,24.2444
t8,-30.794345357418926,-31.80125962758951,-31.80125962758951,-31.80125962758951,-50.66841119613873,-31.801259627589502,-31.801259627589502,-31.801259627589502,-30.794345357418926,23.8204,24.2444
t9,-30.794345357418926,-37.24515551463789,-37.24515551463789,-37.24515551463789,-50.66841119613873,-37.24515551463789,-37.24515551463789,-37.24515551463789,-30.794345357418926,21.609772826017256,24.2444
t10,-30.794345357418926,-46.995636079584486,-46.995636079584486,-46.995636079584486,-50.79515407530039,-46.995636079584486,-46.995636079584486,-46.995636079584486,-34.11300185921763,21.609772826017256,24.2444
t11,-30.794345357418926,-50.79515407530039,-50.79515407530039,-50.79515407530039,-50.79515407530039,-50.79515407530039,-50.79515407530039,-50.79515407530039,-34.11300185921763,21.609772826017256,21.445726720000003
