region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,5.6797387599999994e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0232937145367327e8,0.0,0.0,0.0,3.1295690578378916e7,0.0,0.0,0.0,1.0232937145367327e8,5.6797387599999994e7,4.553198385367328e7
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,1.295391149e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154819656442691e8,0.0,0.0,0.0,1.7144558966442716e8,0.0,0.0,0.0,3.154819656442691e8,1.295391149e8,1.859428507442691e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,3.3676233e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1723362288017e6,0.0,0.0,0.0,3.162012607721457e6,0.0,0.0,0.0,5.1723362288017e6,3.3676233e6,1.8047129288017005e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,5,0.0,0.0,0.0,4.30715296e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3194179041450946e8,0.0,0.0,0.0,8.177479045437744e7,0.0,0.0,0.0,1.3194179041450946e8,4.30715296e7,8.887026081450945e7
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,6,0.0,0.0,0.0,1.4608994600000001e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4557420832364425e7,0.0,0.0,0.0,1.3691360595421769e7,0.0,0.0,0.0,2.4557420832364425e7,1.4608994600000001e7,9.948426232364424e6
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7,0.0,0.0,0.0,3.0430972e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.521553950047327e7,0.0,0.0,0.0,2.4433577734210156e7,0.0,0.0,0.0,5.521553950047327e7,3.0430972e7,2.478456750047327e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8,0.0,0.0,0.0,8.02164678e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.686596365274832e7,0.0,0.0,0.0,4.4324776020038284e7,0.0,0.0,0.0,7.686596365274832e7,8.02164678e7,-3.3505041472516805e6
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,9,0.0,0.0,0.0,3.9607026e7,0.0,0.0,8.08073954352e6,0.0,0.0,0.0,0.0,0.0,1.01491270854396e8,0.0,0.0,0.0,5.5328891382860795e7,0.0,0.0,0.0,1.01491270854396e8,4.768776554352e7,5.3803505310876e7
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,10,0.0,0.0,0.0,6.940971310000001e7,0.0,0.0,8.865637260480018e7,6.301040801223178e8,0.0,0.0,0.0,0.0,4.5535824338879406e8,0.0,0.0,0.0,4.701566229175105e8,0.0,0.0,0.0,4.5535824338879406e8,7.881701658271179e8,-3.3281192243832386e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,11,0.0,0.0,0.0,1.163506911e8,0.0,0.0,1.733509433239066e8,1.2839526535523984e9,0.0,0.0,0.0,0.0,1.1588099875012515e9,0.0,0.0,0.0,1.32805761135943e9,0.0,0.0,0.0,1.1588099875012515e9,1.573654287976305e9,-4.1484430047505355e8
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,12,0.0,0.0,0.0,1.0686073200000001e7,0.0,0.0,1.1664095542560006e7,7.845931041204478e7,0.0,0.0,0.0,0.0,5.168056003825592e7,0.0,0.0,0.0,1.1788338227964771e8,0.0,0.0,0.0,5.168056003825592e7,1.008094791546048e8,-4.912891911634887e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,14,0.0,0.0,0.0,4.9173451111336654e8,0.0,0.0,6.05422582348299e7,1.4221376459361547e8,0.0,0.0,0.0,0.0,4.490523430025213e8,0.0,0.0,0.0,2.4543819093929416e8,0.0,0.0,0.0,4.490523430025213e8,6.94490533941812e8,-2.4543819093929076e8
