BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0069900249105813e8,3.6904334357141033e6,-4.801985437782146e6,2.73113581742437e6,-2.7311358174243695e6,0.0,0.0,1.776403732526471e7,-189769.81425476476,-1.1716171799999997e8,1.6556261418266414e7,102187.92834629603,-136258.56496420593,188085.96105198396,-188085.96105198414,0.0,0.0,-6.208255995946802e6,-59201.785701697205,-1.0254732999999994e7,1.4284140969000072e6,0.0,0.0,140644.8004639064,-140644.8004639064,0.0,0.0,6.365706960053666e6,-30435.056953671716,-7.763686e6,1.1302597814771933e7,0.0,0.0,279883.8872907506,-279883.8872907505,0.0,0.0,4.260169004774865e6,-179554.8195468016,-1.5383212000000004e7,7.394882641130949e6,0.0,0.0,31544.81824047404,-31544.81824047405,0.0,0.0,-5.599990680458974e6,-38121.960671970395,-1.7567699999999995e6,4.176574838058998e7,1.93253082291372e6,-2.405210893160798e6,168543.5868317288,-168543.58683172902,0.0,0.0,-3.157372999426373e7,-216239.31607915735,-9.503098999999998e6,5.31321150167081e7,0.0,0.0,310360.53979766526,-310360.5397976652,0.0,0.0,-3.5850081761021405e7,-351843.2556867222,-1.6930189999999993e7,2.4585686238831807e7,0.0,0.0,1.1280317456604922e6,-1.1280317456604922e6,34783.817308337224,0.0,4.016554411564755e7,-134416.1717877207,-6.4651598e7,6.7074109400293715e6,0.0,1.796261998378155e-13,380010.81334460794,-380010.8133446081,0.0,0.0,1.3543747791133892e7,-128697.73116326473,-2.0122460999999996e7,1.5780603103711018e8,2.441145504977507e6,-3.0961347350143357e6,3.314870992685596e6,-3.3148709926855983e6,24224.845138342756,0.0,-3.59047514604856e6,-69714.50616313065,-1.5351507699999994e8,5.750997072016418e8,1.8979867091137886e6,-2.4111989253844074e6,1.112248262325075e7,-1.1122482623250755e7,0.0,0.0,723328.3808647651,-143211.36623592983,-5.751666119999999e8
t1,10343.121275783451,0.0,-0.0,92.71425921442216,-852.5160132681716,0.0,0.0,1319.8411474284337,-11.614602097370218,-10891.546067060764,2148.2002446574693,0.0,-0.0,7.198725768638713,-29.97522481236755,0.0,0.0,-1146.9529439679698,-8.096772948713555,-970.3740286970569,135.90855000000067,0.0,-0.0,5.46158713978552,-51.89832637001301,0.0,0.0,646.9529439679698,-1.7467729487135557,-734.6779817890292,1895.5183607804147,0.0,-0.0,10.792845858523739,-117.19757328421261,0.0,0.0,-324.6644677545945,-8.87035302280879,-1455.5788125773227,704.8221828189537,0.0,-0.0,1.2467256314117716,-13.526249971643637,0.0,0.0,-522.9859675061183,-3.5301552806662984,-166.02653569193726,2298.8449454985525,0.0,-0.0,3.759937590189644,-71.6801469087016,0.0,0.0,-1319.8411474284337,-11.614602097370218,-899.4689866542368,5458.036213372203,0.0,-0.0,12.216899700939042,-132.59827178109796,0.0,0.0,-3715.2732085017933,-20.720499481414855,-1601.661133308837,2429.4388,0.0,-0.0,43.77115367484636,-475.1034181226723,0.0,0.0,4132.718690621049,-13.637971679049462,-6117.187254494174,661.6661,0.0,-0.0,14.903407558069102,-161.82522024962694,0.0,0.0,1397.295104827903,-8.850442675118279,-1903.188949461227,15250.814003914098,0.0,-32.7979110831498,111.70438415341303,-541.8270114715331,0.0,0.0,-1267.0901516864462,-12.01311261489538,-13508.790201211486,57342.50633731093,0.0,-0.0,487.9350079707611,-4805.348262594221,0.0,0.0,800.0,-11.254999999999999,-53813.83808268746
t2,10283.657795825127,0.0,-995.9344179467123,70.09230708719676,-481.9778475885388,0.0,0.0,1206.7698709039282,-10.619574863954568,-10071.988133417048,2342.6583946574688,0.0,-0.0,5.022561057243464,-60.73487634706772,0.0,0.0,-1371.7088334450928,-8.70361385030175,-906.5336320722505,135.88000000000068,0.0,-0.0,3.811604871012329,-9.72915752453153,0.0,0.0,560.4204670869776,-3.832233590502798,-686.5506808429564,1881.95465168257,0.0,-0.0,7.53068706917191,-0.0,0.0,0.0,-514.489530636507,-14.687673554106693,-1360.3081345611283,772.0280428189538,0.0,-0.0,0.870037411620348,-0.0,0.0,0.0,-613.5366331677798,-4.141372273882514,-155.22007478891175,2276.0866854985525,0.0,-0.0,4.608307132126513,-0.0,0.0,0.0,-1429.2596240688997,-11.865517481678408,-839.5698510801009,3261.286240004502,0.0,-0.0,8.52505274276472,-0.0,0.0,0.0,-1750.6217266576846,-21.68553715543011,-1497.5040289341518,2429.4388,0.0,-0.0,30.543571657378042,-0.0,0.0,0.0,3264.549790341795,-10.773014308127923,-5713.759147691045,661.6661,0.0,-0.0,10.398919378057728,-0.0,0.0,0.0,1114.9663713297093,-7.707011304450595,-1779.3243794033165,14927.816313262421,0.0,-0.0,78.86302708876947,-699.7035074365949,0.0,0.0,-1267.0901516864462,-12.01311261489538,-13027.872568613253,51299.04117276744,0.0,-0.0,310.6832135436632,-0.0,0.0,0.0,800.0,-11.254999999999999,-52398.4693863111
t3,10232.337397656254,0.0,-985.0673709066489,27.493863804673012,-57.934945935794865,0.0,0.0,366.8521332078363,-3.2282987722289596,-9580.45277905409,2132.0393446574685,0.0,-0.0,1.9729036296822806,-0.0,0.0,0.0,-1262.2854831257152,-8.40817080443943,-863.318594356997,135.88000000000068,0.0,-0.0,1.4968243069316078,-0.0,0.0,0.0,519.9707583805462,-3.209165746978984,-654.1384169404993,1907.11703168257,0.0,-0.0,2.9579214330918893,-6.391052886804562,0.0,0.0,-594.2683397207464,-13.930773875527537,-1295.4847866325836,728.050497180077,0.0,-0.0,0.3416823394918428,-0.7391013542563101,0.0,0.0,-575.4257185327752,-3.884123600096233,-148.34323603244096,2298.9008454985524,0.0,-0.0,1.8099187465555424,-3.9128895225334066,0.0,0.0,-1487.004990557047,-9.501154773384538,-800.291729392143,2039.5565803789254,0.0,-0.0,3.3482062799846,-7.238845616686801,0.0,0.0,-584.3810023124336,-25.511745827259805,-1425.773192902529,2429.4388,0.0,-0.0,11.99607385067159,-25.93376222434641,0.0,0.0,3038.3509460825085,-10.026558122072277,-5443.825499586761,661.6661,0.0,-0.0,4.084475500663746,-8.82573970082535,0.0,0.0,1045.2818482642729,-7.424788986035577,-1694.7818950780759,14975.292313262422,0.0,-601.8720701439136,31.891626681778455,-334.38725777402954,0.0,0.0,-1267.0901516864462,-12.01311261489538,-12791.821347724914,52005.59340191249,0.0,-0.0,135.90739795138091,-1016.7157901494344,0.0,0.0,800.0,-11.254999999999999,-51913.53000971445
t4,10433.17441081422,0.0,-1830.0,36.1083757799608,-0.0,0.0,0.0,722.1967435065611,-6.355331342857738,-9355.124198757885,2148.6684305074527,0.0,-0.0,2.6042955779134265,-0.0,0.0,0.0,-1303.9873645459438,-8.520765884274049,-838.7645956551484,135.85145000000068,0.0,-0.0,1.9761002441198987,-4.152716100749635,0.0,0.0,505.391074569497,-3.589098261662171,-635.4768104512057,1884.5478516825701,0.0,-0.0,3.904667893189746,-15.3187267833385,0.0,0.0,-599.4632032875891,-15.50833652807787,-1258.1622529767546,795.256357180077,0.0,-0.0,0.4510771104558501,-1.7668856200267273,0.0,0.0,-646.1478423851587,-4.361497936099821,-143.43120834924756,2291.5785600000004,0.0,-0.0,2.3893085661877187,-6.522133836894454,0.0,0.0,-1499.033309197002,-10.705616110724208,-777.7068094215672,2039.5629803789254,0.0,-0.0,4.420043300079241,-17.325771613854315,0.0,0.0,-617.3642958644956,-23.806945178900904,-1385.4860110217546,2429.4388,0.0,-0.0,15.836220496425142,-45.47527262772121,0.0,0.0,2896.5320029762943,-9.55855560982177,-5286.773195235177,661.6661,0.0,-0.0,5.391822238465766,-21.151164752358774,0.0,0.0,1008.9663459142829,-7.277711201518118,-1647.5953921988719,15022.76780326242,0.0,-833.1779480736172,43.02673591286559,-65.70434568513372,0.0,0.0,-1267.0901516864462,-12.01311261489538,-12887.808981115193,51377.11699679364,0.0,-0.0,161.40597311239074,-0.0,0.0,0.0,800.0,-11.254999999999999,-52327.26796990604
t5,10367.172558903492,0.0,-1981.3784419845197,42.52430376599377,-55.53552645151398,0.0,0.0,939.7627316286654,-8.269912038332256,-9304.275713823787,1942.9950305074528,0.0,-0.0,3.105964441036995,-5.12060296159658,0.0,0.0,-1105.0359586721434,-7.983597088414787,-827.960836226335,135.8229000000007,0.0,-0.0,2.359268914277299,-0.0,0.0,0.0,490.63194933267135,-2.17701613277728,-626.637102114172,1952.57323168257,0.0,-0.0,4.6580349102903895,-0.0,0.0,0.0,-700.7342564141824,-15.031680153215238,-1241.465330025463,862.462217180077,0.0,-0.0,0.5384362137709697,-0.0,0.0,0.0,-716.6965543758408,-4.837701742036925,-141.4663972759702,2314.3927200000007,0.0,-0.0,2.8511882502687347,-3.773271996215949,0.0,0.0,-1534.9622807830774,-11.603029513596962,-766.9053259573787,2039.5693803789254,0.0,-0.0,5.274607087870649,-6.980553192999507,0.0,0.0,-647.923441095561,-22.14103761633277,-1367.7989555619024,2429.4388,0.0,-0.0,18.897254867354086,-0.0,0.0,0.0,2774.957810379468,-9.157360774252243,-5214.13650447257,661.6661,0.0,-0.0,5.303158117669337,-0.0,0.0,0.0,967.0901516864462,-7.108112614895379,-1626.9512971892202,15070.243803262421,0.0,-519.8617845580669,51.33993435020292,-82.2020747757738,0.0,0.0,-1267.0901516864462,-12.01311261489538,-13240.41661397744,52786.86215899129,0.0,-0.0,212.32783938021532,-103.99139155814844,0.0,0.0,800.0,-11.254999999999999,-53683.94360681336
t6,10253.570038870415,0.0,-1830.0,94.07622517980536,-90.5031968253549,0.0,0.0,1095.1490434998916,-9.637311582799047,-9512.654799141957,2166.4742305074524,0.0,-0.0,6.715240843595996,-2.1274675568892243,0.0,0.0,-1327.6414161078155,-8.584631823491101,-834.8359558628526,135.7943500000007,0.0,-0.0,5.0975229515775915,-8.816730960773787,0.0,0.0,503.24840781239186,-3.7754986128943653,-631.5480511903019,1927.4485416825703,0.0,-0.0,10.069291688956259,-13.044670857212875,0.0,0.0,-654.2998682251487,-17.904072942278248,-1252.269221346887,929.668077180077,0.0,-0.0,1.1635045962907964,-0.7127291548407906,0.0,0.0,-781.413105808075,-5.274538464204506,-143.43120834924756,2337.2180600000006,0.0,-0.0,6.162249916672029,-0.0,0.0,0.0,-1558.3520174690734,-12.231248237026465,-772.7970442105724,2039.5757803789254,0.0,-0.0,11.399805388199479,-0.0,0.0,0.0,-648.2093031004472,-23.175956798207878,-1379.5903258684705,2429.4388,0.0,-0.0,40.842855960000634,-52.932967117874014,0.0,0.0,2848.395327004045,-9.399704579113347,-5256.344311267058,661.6661,0.0,-0.0,13.904532413046693,-16.884876663660407,0.0,0.0,990.2130840806772,-7.201760491092014,-1641.6970793389714,15117.719803262422,0.0,-0.0,118.7281731572698,-0.0,0.0,0.0,-1263.1952159526693,-11.949430415648127,-13961.303330051373,55219.035647865385,0.0,-0.0,455.51157876605845,-213.22855700398588,0.0,0.0,796.105064266223,-11.191317800752746,-56246.23241609292
t7,10248.338546871051,0.0,-305.5052820279921,230.60265118484347,-109.4240155416926,0.0,0.0,0.0,-0.0,-10064.01190048621,2000.631876158052,0.0,-0.0,16.551797845296424,-18.16123781827348,0.0,0.0,-1126.6796468335533,-8.042035046450593,-864.3007543050709,136.11780000000067,0.0,-0.0,12.563391753710032,-3.281364634709721,0.0,0.0,510.9801972534545,-2.2416074319560626,-654.1384169404993,1837.12953168257,0.0,-0.0,24.81839996592992,-0.0,0.0,0.0,-552.4092746744382,-14.053870341478339,-1295.4847866325836,862.5603371800771,0.0,-0.0,2.867625356055921,-0.0,0.0,0.0,-712.2768577141217,-4.807868789570321,-148.34323603244096,2360.4562200000005,0.0,-0.0,15.188108451129967,-4.213261181669484,0.0,0.0,-1562.3899541341666,-8.749383743151332,-800.291729392143,2040.3681803789254,0.0,-0.0,28.097070954388965,-7.794533186088544,0.0,0.0,-602.3363025566931,-29.613380111361682,-1428.7210354791712,2432.2527999999998,0.0,-0.0,100.66557693268149,-11.416195912992357,0.0,0.0,2920.180993017661,-9.63659727695828,-5432.046576760392,662.6261000000001,0.0,-0.0,34.27125770494805,-0.0,0.0,0.0,1010.1280719142972,-5.3621695379519565,-1701.6632600812932,15076.176037288762,0.0,-0.0,302.5741134765536,-0.0,0.0,0.0,-385.1972262724402,-2.8311996131024357,-14990.721724879772,58732.06068053973,0.0,-0.0,1125.3321627971814,-512.0254426965301,0.0,0.0,500.0,-6.35,-59839.01740064038
t8,11110.709761041526,0.0,-1418.568912707354,366.5444390143462,-0.0,0.0,0.0,754.7551501433386,-6.64184532126138,-10806.798592170599,2158.3366344264205,0.0,-0.0,25.570892399813275,-16.077245926402846,0.0,0.0,-1240.180083277769,-8.348486224849976,-919.3017113972118,181.70180000000084,0.0,-0.0,19.402296749480875,-14.9,0.0,0.0,512.2673640715877,-3.0810716410793377,-695.3903891799902,1879.7217899999998,0.0,-0.0,38.33866015689166,-0.0,0.0,0.0,-525.6974434310521,-14.375777275108469,-1377.9872294507313,812.7954600000002,0.0,-0.0,4.4289121425444105,-0.7958382232042358,0.0,0.0,-654.8235888325315,-4.420059224619588,-157.1848858621891,2392.5947800000004,0.0,-0.0,23.459660831937406,-0.0,0.0,0.0,-1554.562340699274,-11.120765588374617,-850.3713345442893,2142.1615803789255,0.0,-0.0,43.39860469480138,-0.0,0.0,0.0,-642.6869561226678,-22.769073595984906,-1520.104155355074,2796.6657999999998,0.0,-0.0,155.48954370611173,-5.189687370710864,0.0,0.0,2838.9830571849884,-9.368644088710461,-5776.580069431679,786.9461,0.0,-0.0,52.94049670374025,-0.0,0.0,0.0,979.034992649826,-7.156489220797067,-1811.765100132769,16565.556037288763,0.0,-0.0,468.29083737779115,-87.21112351928882,0.0,0.0,-1267.0901516864462,-12.01311261489538,-15667.532486845921,60240.30716540241,0.0,-0.0,1736.9207582678007,-0.0,0.0,0.0,800.0,-11.254999999999999,-62765.97292367021
