Fuel,AnnualSum
No_fuel,0.0
new_england_coal,0.0
new_england_naturalgas,0.0
new_england_uranium,1.7451469161496744e8
middle_atlantic_naturalgas,0.0
middle_atlantic_uranium,7.285453065519885e8
middle_atlantic_coal,0.0
east_north_central_coal,0.0
east_north_central_naturalgas,0.0
east_north_central_uranium,1.5120488856518579e9
new_england_naturalgas_ccs100,2.7132133214356273e8
middle_atlantic_naturalgas_ccs100,7.946236131833451e8
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,1.4025757714549863e9
None,0.0
