Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.0061969628723702e8,2.3202718199651625e7,1.1413070379066709e8,1.788793068045289e8,4.009539701135334e8,1.7052794616929255e7,2.0810898563794818e7,1.724481715384773e6,1.3409640851288056e7,2.4709184975181393e7,5.492318325395251e7,1.8489432200958233e7,0.0,0.0,0.0,4.3255519753605676e8,5.6401499937839275e6,1.925732368738935e7,0.0,328390.9682999999,8.573955722477924e6,1.539367695128e6,3.87810688408e6,7.571449500692802e6,47570.19430593874,38150.46807774242,90320.21598244066,7247.992002902825,56261.28803160564,87189.97249889483,268012.7330772818,99158.707583052,1.020067856187106e6,3.825122006037623e6,833929.3325010655,265539.4099208182,163243.39801637855,385966.8774904528,63179.52269427944,251409.9567094,296023.1997934388,1.0800847313247127e6,600003.8302885977,7.496389376712841e6,1.1404298047264008e7,3.029809540140812e6,1.5796589320176575e9
t1,15346.0829940162,1780.0461893764425,7305.970900692842,17198.78696054793,40183.76327944573,1123.2521996259138,1171.5194966103857,179.49209379845905,7.038533739409068,673.860089650659,10686.243471528616,1908.6172101591117,-0.0,-0.0,-0.0,40919.985628890085,0.0,1986.14793,0.0,30.738479999999996,739.00288,148.9979600000001,351.60839999999996,460.32337382848374,3.9827929577948096,3.0277354628134003,5.974189436692213,-0.0,-0.0,-0.0,-0.0,-0.0,61.01397993893736,-0.0,3.512606512010109,2.7676690545659675,2.094326751022234,24.70815514223887,0.7679110906038944,-0.0,-0.0,-0.0,-0.0,698.9318441301391,925.1821067209046,489.02039022392006,144422.46177933188
t2,16930.8629940162,1503.0562586605072,8152.7817255887,17198.78696054793,40183.76327944573,1447.7491471144583,1302.9993167982102,125.21896432384032,211.2197302556476,795.7887470494434,8294.929555784352,2766.5662693677664,-0.0,-0.0,-0.0,40919.985628890085,186.23098232301487,2222.8202100000003,0.0,31.94751000000025,791.1006400000001,194.30696000000012,406.70629999999994,631.1562232006123,6.079774911223762,4.621869702920104,9.119662366835641,0.36376217559481816,1.9257997531490372,3.562729543325719,12.76377280837112,4.3437483321028285,94.16096002961868,159.22584432383144,-0.0,4.434549517952035,3.355674215765718,27.205679058016987,1.0559793586051778,1.5270414983369007,2.8247470939931683,10.121544290258685,3.448428878112451,533.8337715917455,-0.0,-0.0,145181.95274281624
t3,18515.642994016198,1225.9199999999992,7622.557531884806,17198.78696054793,40183.76327944573,1857.8229533798255,1385.6711209245364,225.42887058577634,450.93620214042716,1251.4836622675866,7346.2534445772,2190.7268836994017,-0.0,-0.0,-0.0,40919.985628890085,0.0,2306.58077,0.0,30.738479999999996,910.3952000000003,219.48228800000012,509.2802,801.9890725727408,-0.0,-0.0,4.842820747499597,0.19629192445615573,2.9649922943875087,5.485235744616891,19.65131004002388,6.687704841785159,-0.0,88.35260728747949,15.081227279977345,5.188883888546459,3.926487640494049,28.335914952212995,1.1863425132548855,2.2180927841499143,4.10306540657768,14.701973966737246,5.008989748822058,329.1353722883273,49.33368633205801,11.223167692295247,145751.06971030595
t4,20100.422994016197,1225.9199999999992,7761.29889282238,17198.78696054793,40183.76327944573,1797.4370926643292,1439.021506464319,325.6387768477124,736.1725570182534,1521.5511295359697,5847.557774986667,1372.5849123346402,0.0,-0.0,-0.0,40919.985628890085,186.23098232301487,2188.2446299999997,0.0,34.78334999999974,962.4929600000004,221.8658160000001,564.3781,972.8219219448694,1.6363699591176493,1.2439751219822945,-0.0,0.4801520194051357,2.54198127920366,4.7026653665267695,-0.0,3.3896234867437016,-0.0,208.51814638794997,37.03240066228358,6.126762868137056,4.636191364982907,5.033004656911043,1.3484256254995692,3.0772906412916354,5.692424080044966,20.39691360958686,6.94926622841133,-0.0,104.21726959610154,25.271690371218135,146003.2538191675
t5,20609.474300597278,1225.9199999999992,6851.505472406629,17198.78696054793,40183.76327944573,2920.722721641322,1509.6910737096903,291.0640232882672,967.3233585929976,1363.8991346866173,4348.862105396134,1643.2704507280728,-0.0,-0.0,-0.0,40919.985628890085,0.0,2188.24463,0.0,35.38786499999987,947.3939200000001,201.4575440000001,572.0000000000006,1035.518633047473,-0.0,-0.0,3.0237004196968726,0.6335397353220877,3.3540338928816418,6.204962701831035,-0.0,7.565209780610812,34.480050926195084,276.74760791946244,-0.0,2.175304100744298,1.6460774319390588,5.756830227799356,0.24557027215677385,3.5198536443207717,6.511084580153808,23.330311975818443,7.948680482504599,9.362358612461756,137.83499883395322,32.54457166509377,145577.15584918117
t6,21240.60723559095,1225.9199999999992,7119.068472246615,17198.78696054793,38571.28134725046,3478.2406391604613,1308.530153949502,172.668576381443,687.5555569140944,1688.530991326069,2850.1664358056014,713.949546039322,-0.0,-0.0,-0.0,40919.985628890085,0.0,1986.14793,0.0,30.738479999999996,876.7968000000001,158.25747200000004,532.1459000000006,973.0679441500765,3.4632992358654966,2.6328142150201987,8.218649273495117,0.6007763980583005,3.180580930896884,5.884074722159235,21.080183614222133,-0.0,97.76256243573803,446.6534927672867,47.58521382926663,4.042374383704913,3.058910817199524,8.554302983980277,0.5682351029368802,3.703249015944435,6.850332428761681,24.54589411850349,-0.0,47.86036468981195,255.56679592095634,61.19060688623926,142785.44878402262
t7,21520.75571804309,1433.759999999999,7980.1780000000035,17198.78696054793,35920.830180138575,3478.2406391604613,564.3910215918814,54.27312947461873,371.8261809904056,1603.5082778022072,1351.4707662150684,464.6604523443754,-0.0,-0.0,-0.0,27843.167950605275,0.0,1986.14793,0.0,30.738479999999996,806.1996800000001,137.84920000000002,444.8158000000006,785.46985525268,14.791796866245496,11.244784352400911,22.18769529936824,2.5659239461854435,13.584303244511167,25.13096100234566,90.0337431705657,6.274179157917224,218.80681565074028,954.9423687562928,205.74987816406443,8.784362645575683,6.647227438178916,13.161805104864234,1.3877397857769629,8.047419470611281,14.88625213428094,53.339947003923484,9.810187125648758,151.178807547922,524.9072173894369,135.17553080628332,126469.70916822973
t8,20572.85393955039,1641.599999999999,8990.540200000003,16111.025336136181,31656.396000000008,3288.879268977514,-0.0,-0.0,-0.0,60.83722738671913,-0.0,-0.0,-0.0,-0.0,-0.0,9821.458354936902,0.0,1986.14793,0.0,30.738479999999996,739.00288,137.84920000000002,374.47410000000013,535.1750552526798,27.899583554144105,21.20937729371159,41.849375331216145,2.8745761296325485,25.62206652931601,47.40082307923462,169.81736316374443,-0.0,525.1022345392103,2323.483655780267,336.11298700420093,17.60213367435302,13.319735381095994,26.373666730196717,3.0419794772791295,16.125444607712666,29.82911914613515,106.8827546434288,-0.0,350.9804685464463,1142.6495977630364,278.2666493939727,101453.42156400874
