Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1.251241988639152e8
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,3.568735998824191e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,5.905738132420908e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,1.408370598998494e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,2.9262507043378912e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,7.346392998390421e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,7.510930617877239e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,1.1090847089058354e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,4.9761014968594927e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.2834216165999274e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,5.647591009905737e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,0.0
NENG_Rest,NENG_Rest_nuclear_1,1,1,0.0
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,5.604003323197941e7
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,2.0160531133521495e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,6.963625965433028e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,1.9338766231250793e7
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,-5.1813924628374216e-8
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,1.7475214546175846e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,7.269451330904816e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,1.9003676045252886e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,1.6065802451029597e7
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,5.099894556188091e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,5.075693609747585e7
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,1.2826359539750098e8
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,2.3072625396969784e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,464774.97340038203
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,1.273396538671767e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,3.160107544048378e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,-8.654516390737137e-9
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,1.7250688868211415e8
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_1,9,1,2.9789370135830715e7
NY_Z_K,NY_Z_K_natural_gas_fired_combined_cycle_2,9,2,7.311806853936762e7
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_1,9,1,-7.185985258615854e-9
NY_Z_K,NY_Z_K_natural_gas_fired_combustion_turbine_2,9,2,7.665851583582115e7
PJM_EMAC,PJM_EMAC_conventional_steam_coal_1,10,1,0.0
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_1,10,1,2.843082008966506e8
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_2,10,2,1.2705045158525963e9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combined_cycle_3,10,3,5.319284305818989e-9
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,1,1.1722369847344525e7
PJM_EMAC,PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2,-8.544915043354859e-8
PJM_EMAC,PJM_EMAC_natural_gas_steam_turbine_1,10,1,5.565633038126646e7
PJM_EMAC,PJM_EMAC_nuclear_1,10,1,1.6635561823905234e9
PJM_EMAC,PJM_EMAC_nuclear_2,10,2,-2.323041260366788e-9
PJM_Rest,PJM_Rest_conventional_steam_coal_1,11,1,5.159545568614413e9
