Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,-1600.0,-1200.0,342.9399699007712,948.5764620552873,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,1432.2514710903417,2969.9121896880497,2580.0,350.0,1320.0,-0.0
t2,-0.0,-1600.0,-1200.0,194.01673001879533,1177.3511880530596,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,2445.3212822188707,4110.49001925081,2580.0,350.0,1320.0,-0.0
t3,-0.0,-1600.0,-1200.0,109.7511744692032,1220.1768720415262,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,2815.3040021297575,5736.152974466919,2580.0,350.0,1320.0,-0.0
t4,-0.0,-1600.0,-1200.0,62.85984166442308,905.4967534051939,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,2993.3901058587103,5753.724346799589,2580.0,350.0,1320.0,-0.0
t5,-0.0,-1600.0,-1200.0,36.74117547655952,1181.362340265085,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,3434.8600209266306,5823.808952647316,2580.0,350.0,1320.0,-0.0
t6,-0.0,-1600.0,-1200.0,50.04927777510887,1282.5600153495407,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,3046.3379900250793,5716.76475240195,2580.0,350.0,1320.0,-0.0
t7,-0.0,-1600.0,-1200.0,163.42076833333533,1384.0932287392316,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,1662.338027974787,4489.692975845359,2580.0,350.0,1320.0,-0.0
t8,-0.0,-1600.0,-1200.0,378.4431351255986,1306.0465046440886,1000.0,2600.0,-3200.0,3250.0,4300.0,1510.0,1766.4710921756032,4222.779781373487,2580.0,350.0,1320.0,-0.0
t9,-0.0,-1600.0,-1200.0,524.9420377175192,2751.667884299053,1000.0,2600.0,-3200.0,1106.8849925823463,4300.0,1510.0,3138.9057508480555,5375.314460673213,2580.0,350.0,1320.0,-0.0
t10,-0.0,-1600.0,-1200.0,580.2521894214964,2818.9484428066844,1000.0,2301.7828296972857,-2437.8358578620364,-2270.1282755120974,4300.0,1510.0,4241.36806608749,7760.84896301156,2580.0,350.0,1320.0,-600.0
t11,-0.0,-1600.0,-1200.0,638.046625178339,2818.9484428066844,1000.0,2035.1287977731777,-1166.7544377878687,-2854.1325752257862,3858.224832165457,1510.0,5444.513587350732,6917.013400523319,2580.0,350.0,1320.0,-600.0
t12,-0.0,-1600.0,-1200.0,691.8140931549916,2818.9484428066844,1000.0,2393.9147923244495,-2568.8682666246596,-1083.300934521951,4300.0,1510.0,4905.025153204918,7554.172339251598,2580.0,350.0,1320.0,-600.0
t13,-0.0,-1600.0,-1200.0,657.5752983791007,2267.749700746029,1000.0,1488.554773030401,-2518.9574441702453,-3250.0,4300.0,1510.0,4779.308168418448,6537.127906287571,2580.0,350.0,1320.0,-600.0
t14,-0.0,-1600.0,-1200.0,649.0994140639519,146.13454624982523,1000.0,280.6284388255815,-2002.7348169288075,-3250.0,4300.0,1510.0,4689.81174588341,5921.1994107583505,2580.0,350.0,1320.0,-348.25548291039195
