Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,6.051400642869817e10,7.114204501133573e9,1.4943931332483416e9,6.444321123446498e8,1.4434156932133937e9,1.0441501817707899e9,1.925685876702918e9,2.5053002732643733e9,2.0627714720313292e9,440491.5,1.0214596392496058e10,3.1825547376278824e10
cFix,4.797037311043645e10,5.764048755002365e9,1.4926563987435236e9,6.12920604899865e8,1.2911286754009268e9,1.043153501704806e9,1.9239614920905797e9,1.6420650505307226e9,2.062693389660425e9,440491.5,7.407664384091247e9,2.472964036681198e10
cVar,2.883361543282568e9,2.9102061199714303e8,1.7367345048180588e6,9.980718143184708e6,4.9080833034969315e7,996680.0659839222,1.7243846123382333e6,1.925278100740534e8,78082.37090411341,0.0,6.805953038463833e8,1.6556203846328092e9
cFuel,9.42120285026522e9,1.0591351341340649e9,0.0,2.1530789301600017e7,1.0320618477749752e8,0.0,0.0,6.707074126595974e8,0.0,0.0,2.1263367045584276e9,5.440286624834028e9
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.235845335916363e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
