Constraint,CapRes_1,CapRes_2,CapRes_3
t1,0.0,0.0,0.0
t2,0.0,0.0,0.0
t3,0.0,0.0,0.0
t4,0.0,0.0,0.0
t5,0.0,0.0,0.0
t6,0.0,0.0,0.0
t7,0.0,0.0,0.0
t8,0.0,0.0,0.0
t9,0.0,0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,0.0,0.0,0.0
t15,0.0,0.0,0.0
t16,0.0,0.0,0.0
t17,0.0,0.0,0.46378957646878677
t18,0.0,2.466575685067326,4.519717136842106
t19,0.0,4.3383636169854976,109.89953638783933
t20,0.0,3.091509978947373,4.519717136842107
t21,0.0,3.0915099789473697,4.519717136842105
t22,0.0,1.9924331184205422,2.456222694889328
t23,0.0,0.0,0.46378957646878677
t24,0.0,0.0,0.0
t25,0.0,0.0,0.0
t26,0.0,0.0,0.0
t27,0.0,0.0,0.0
t28,0.0,0.0,0.0
t29,0.0,0.0,0.0
t30,0.0,0.0,0.0
t31,0.0,0.0,1.4282071578947373
t32,0.0,0.0,2.4633240768192226
t33,0.0,2.456222694889328,2.4633240768192226
t34,0.0,2.456222694889328,2.4633240768192226
t35,0.0,2.456222694889328,2.4633240768192226
t36,0.0,0.0,2.4633240768192226
t37,0.0,0.0,2.4633240768192226
t38,0.0,0.0,2.4633240768192226
t39,0.0,0.0,2.156915957540917
t40,0.0,0.0,2.055011026461942
t41,0.0,0.0,0.2527114211568183
t42,0.0,2.456222694889328,2.4633240768192226
t43,0.0,2.456222694889328,2.46332407681922
t44,0.0,2.456222694889328,2.463324076819222
t45,0.0,2.456222694889328,2.4633240768192226
t46,0.0,1.2797129060539871,1.2868142879838782
t47,0.0,0.0,0.0053257239866157805
t48,0.0,0.0,0.0
t49,0.0,0.0,0.0
t50,0.0,0.0,0.0
t51,0.0,0.0,0.0
t52,0.0,0.0,0.0
t53,0.0,0.0,0.0
t54,0.0,0.0,0.0
t55,0.0,0.0,0.0
t56,0.0,0.0,0.0
t57,0.0,0.0,0.0
t58,0.0,1.8739299441584445,0.0
t59,0.0,1.873929944158445,0.0
t60,-0.0,2.4987198504424883,0.0
t61,2.456222694889322,4.954942545331813,2.42446227785854e-16
t62,2.4562226948893287,4.954942545331813,2.4562226948893287
t63,2.4562226948893287,4.954942545331813,2.4562226948893287
t64,12.402151944177309,15.493661923124682,14.58509709621766
t65,242.30599112134576,244.80471097178827,243.89614614488121
t66,331.4738621403509,333.68801303517415,332.7794482082671
t67,303.7677271937595,305.9818780885828,243.89614614488121
t68,213.68803946613423,216.1867593165767,216.6697100534188
t69,2.4562226948893224,4.954942545331813,4.046377718424793
t70,2.4562226948893224,4.954942545331813,2.4562226948893287
t71,2.4562226948893287,4.954942545331813,-0.0
t72,0.0,1.873929944158445,0.0
t73,0.0,0.0,0.0
t74,0.0,0.0,0.0
t75,0.0,0.0,0.0
t76,0.0,0.0,0.0
t77,0.0,0.0,0.0
t78,0.0,0.0,0.0
t79,0.0,0.0,0.0
t80,0.0,0.0,0.0
t81,0.0,0.0,0.0
t82,0.0,0.0,0.0
t83,0.0,0.0,0.0
t84,0.0,0.0,0.0
t85,0.0,0.0,0.0
t86,0.0,0.0,0.0
t87,0.0,0.0,0.0
t88,0.0,0.0,0.0
t89,0.0,0.0,0.0
t90,0.0,0.0,0.0
t91,0.0,0.0,0.0
t92,0.0,0.0,0.0
t93,0.0,0.0,0.0
t94,0.0,0.0,0.0
t95,0.0,0.0,0.0
t96,0.0,0.0,0.0
