Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.2671597554980198e8,3.0067980341427103e7,1.516368487573831e8,1.7208739696719128e8,4.8996722499770087e8,0.0,0.0,0.0,0.0,2.9802151857438735e-11,0.0,0.0,0.0,0.0,3.0304984591695532e7,6.53120993251842e6,5.8244490784382345e6,2.0819154983579658e7,0.0,400199.7698612499,8.52177871885144e6,1.7088475464413657e6,3.527800188700257e6,6.983599722079917e6,26072.5291926509,19641.242867659028,36328.3099674329,4464.121220856755,25413.94303282738,45768.54115589571,154961.6623089328,50664.119903372186,344763.89806081186,1.8380026902902527e6,324905.16338447976,249100.64282920226,206139.06773427824,452722.613624504,45831.23483495689,231151.68058211412,446454.2103800419,1.7465577937723487e6,528681.6790401133,4.747761040707604e6,1.3885465218269162e7,4.492498610421409e6,1.1850008011592512e9
t1,15591.771165269958,2334.3187066974588,13303.133047805974,14492.228637413391,45698.36240039829,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,142.2060048959431,563.1060203787646,1916.7532800000051,0.0,38.543369999999996,761.30736,166.32521999999997,331.18491284109484,649.5076873840164,1.3467907852660375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,65.2739613685122,6.180863130871316,4.692352514491752,9.271294696306974,1.0773981604271086,5.6705166338268995,10.490455772579736,37.567172699102976,12.801191300864218,129.70827854531603,426.0377771319929,193.73658282922702,96892.60244865366
t2,16531.345123851595,2439.7482117756763,14313.495247805973,15602.783974567905,48896.50040039829,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,466.9937772177535,661.1904955483294,1906.7615633481382,0.0,51.614819999999995,803.6426013637994,210.4809,426.3657128410948,846.8584291068341,-0.0,1.1661578447667644,2.3161190528006577,0.2591461877259477,1.4091073957598401,2.62385515072522,9.37785266833273,3.19073743637573,22.809853045647795,-0.0,-0.0,7.576630556338599,5.751983289330446,11.364945834507898,1.3206970694535156,6.951037207650095,12.859418834152647,46.05062150068164,15.69196649627008,153.7751077536949,440.3644640284371,214.00432036421162,104116.64527954225
t3,18116.125123851594,2647.5882117756764,15323.857447805973,16758.80927355638,52094.63840039829,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,791.7815495395639,753.3624895930418,2100.327486696272,0.0,59.451359999999994,778.9429627275986,232.15272428571427,514.519525292367,1017.08925175351,0.5475133623526746,1.581115340444581,-0.0,0.2591461877259477,1.9105143697038685,3.557509516000307,-0.0,-0.0,31.087248520882056,-0.0,-0.0,8.211133346779567,6.23368150867898,12.316700020169352,-0.0,-0.0,13.936327239946952,49.90711781872882,17.006085807665023,-0.0,-0.0,223.18310784172886,111558.38300815679
t4,19700.905123851593,2853.367035375993,15323.857447805973,17996.30714120918,55217.86131831538,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1116.5693218613742,934.1240647711204,2272.033763960024,0.0,62.052989999999994,687.2894040913977,231.11512857142856,555.1401377436391,1215.5710166539693,1.3046854725457284,0.5738567571989459,1.139743281659018,0.127523723821988,0.6934102482820599,2.2248320689727152,4.614764755808191,-0.0,11.75922463682815,48.94481303439937,9.942887303075565,-0.0,-0.0,-0.0,0.13698618200361118,0.7209799052821642,8.715657619060917,17.116436992120185,5.832506642975289,14.164261652358222,41.49105688345269,139.5117255340183,118475.20924690492
t5,21285.685123851592,3061.207035375993,16334.219647805972,18971.257821473588,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1142.3410613509743,1040.8766610675966,2457.887846436579,0.0,59.419709999999995,663.075525455197,207.34065285714283,548.2847501949113,1414.6609484456997,1.253904724011353,1.524184548028603,1.887456584564458,0.21118395351770158,1.8417229955345622,2.138237529366728,7.642219317921826,2.6002024276867006,31.930418490982365,-0.0,16.522779005559187,0.4032108456369643,0.3061073162977871,0.6048162684554466,-0.0,-0.0,9.400006302022737,19.567145113537514,6.667596995292213,-0.0,-0.0,-0.0,124532.25797673367
t6,22870.46512385159,3108.601765234366,17344.581847805974,19317.215258614917,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1151.1853933901596,1058.9367393968487,2847.2995689131335,0.0,62.052989999999994,706.3013268189962,206.4403571428571,493.9533626461835,1489.1448830245663,3.4961303356643643,1.6993709898843878,5.262596189473728,0.5888219512697876,2.0534066127769677,5.9618222566066,21.307994361575442,7.24987027500926,-0.0,-0.0,46.451361030991926,-0.0,-0.0,-0.0,-0.0,-0.0,8.13968557149245,29.148874006020264,9.932616312240107,-0.0,-0.0,23.155906894328478,128062.12707362695
t7,24358.723646913633,3304.3199999999997,17344.581847805974,19317.215258614917,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1151.1853933901596,1058.4884275125023,3047.9353289131323,0.0,59.451359999999994,816.9668081827956,182.80318142857138,392.1459750974557,1439.0253850689767,-0.0,5.767727868922887,8.080208801423685,0.9040793064529997,6.969337841615152,-0.0,13.400053010919144,-0.0,93.49468560989689,376.4829294603238,71.30173342957363,4.09565730198459,3.109317814121329,6.143485952976886,0.7139219150248368,-0.0,12.722067472003475,41.70225881818151,14.21024140106335,82.52817030828547,234.17270548779874,83.05760873640814,130773.19880346509
t8,25684.417223584096,3512.16,17344.581847805974,19410.585011324183,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1151.1853933901596,969.4080967615223,3047.9353289131323,0.0,62.12262,860.5974095465948,182.01272571428564,337.81458754872784,1264.336875696848,7.301372994754199,4.101400033368175,19.070696572474745,2.1337842318852855,4.955858373653208,12.450762370001895,-0.0,0.853531125618872,58.38282079830904,-0.0,170.3745664830748,11.853964143721386,8.999225072412337,17.78094621558208,2.0662873278046447,7.117712698841096,20.119113454939964,88.85710544800378,30.278477818697123,-0.0,682.4917713993733,198.9739957479071,132416.82051259594
