Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,-0.0,652.2181524304976,1200.0,760.0,-783.037107132955,1000.0,-1228.2525397135396,-39.82720903702079,-3098.8851785457537,2150.0,1510.0,1580.2020021563449,-527.7420282968309,1929.7800238890377,350.0,1320.0,600.0
t2,-0.0,1600.0,-1200.0,760.0,-321.6372862742738,1000.0,-706.6655820121491,377.6987118573086,-3033.717639716032,2150.0,1510.0,-1758.0857272575283,-1372.7942486392292,1737.3502994332257,350.0,1320.0,600.0
t3,-0.0,1600.0,-1200.0,-162.39891970729818,-85.84005977343489,1000.0,-438.12065731531743,-1569.6923169460845,-742.7834133703085,2150.0,1510.0,2047.1815056109613,-2115.8014071845414,2580.0,350.0,1320.0,600.0
t4,-0.0,1600.0,-282.3843752958128,-217.35175315315146,-121.8770927625308,1000.0,-466.1031576814655,-1600.0,3250.0,-1820.1060180092647,1510.0,5642.5674740742,-2275.345216602128,2580.0,350.0,1320.0,600.0
t5,-0.0,-1600.0,1200.0,-238.07436634622758,89.68173956394455,1000.0,-235.3216457563308,-1600.0,-245.10943577894523,2150.0,1510.0,-2648.4273072544197,-2355.145632127478,2580.0,350.0,1320.0,600.0
t6,-0.0,-1600.0,1200.0,760.0,84.04868437435331,1000.0,-242.56751707194573,-702.9000777614092,-1235.9222667702934,2150.0,1510.0,-5284.895141223715,-1958.9889107854647,1592.9705846218783,350.0,1320.0,600.0
t7,-0.0,-1600.0,-1200.0,-75.8516426684337,270.4594137604167,1000.0,-73.31710231238866,-1600.0,-231.28681115972586,2150.0,1510.0,1220.4872732993463,-1887.2442361230662,2486.070048585187,350.0,1320.0,600.0
t8,-0.0,-1600.0,-1200.0,-152.2828054959148,-311.69156374119393,1000.0,-661.4137566034744,-1439.31771808433,-1157.8896151972215,2150.0,1510.0,-945.551222248478,-2135.2040547509423,2580.0,350.0,1320.0,600.0
t9,-0.0,-1600.0,-1200.0,-140.85874205506994,-335.4399113444856,1000.0,-704.4583966429411,-682.8510197179867,-1908.7830844540358,2150.0,1510.0,-508.68454902110767,-1971.7838365117916,2580.0,350.0,1320.0,600.0
t10,-0.0,-1600.0,-1200.0,-33.11364525830235,-416.64093020174596,1000.0,-848.3515309028666,-531.6936325509375,-2423.7298391713775,2150.0,1510.0,1448.826240948957,-1587.2090206864455,2580.0,350.0,1320.0,600.0
t11,-0.0,-1600.0,-1200.0,125.03788010157939,-665.7094164178798,1000.0,-1132.5336142068256,-835.7839016735761,711.9605584530846,-1891.9888454127772,1510.0,5642.5674740742,-1118.0452439039764,2580.0,350.0,1320.0,600.0
t12,-0.0,-1600.0,-1200.0,221.5674641934017,-807.3632061134475,1000.0,-1300.0,-1305.1291975478448,1968.5998189142201,-2150.0,1510.0,5642.5674740742,-262.2723367739887,2580.0,350.0,1320.0,600.0
t13,-0.0,-1600.0,-1200.0,246.1759871866437,-792.4083033026305,1000.0,-1300.0,-963.684277145436,1621.397296030861,-2150.0,1510.0,3771.427698911948,-222.03500272289668,2580.0,350.0,1320.0,600.0
t14,-0.0,-1600.0,-1200.0,240.89414495547848,-783.4202851367854,1000.0,-1300.0,-202.05082340556987,-689.9048879028869,-704.5885398391156,1510.0,5642.5674740742,-492.20043651397685,2580.0,350.0,1320.0,600.0
t15,-0.0,-1600.0,-1200.0,373.82450717534937,-735.9047899702653,1000.0,-1300.0,-1600.0,-1257.2382342220353,1255.1442036722547,1510.0,5642.5674740742,1237.8815375369281,2580.0,350.0,1320.0,600.0
t16,-0.0,-1600.0,-1200.0,404.1776117101879,-716.0475449983603,1000.0,-1300.0,-309.855943807539,159.82893186318233,-1411.808542472395,1510.0,5642.5674740742,318.2996944510611,2580.0,350.0,1320.0,600.0
t17,-0.0,-1600.0,-336.9695197511519,476.78213910834995,-312.96262980482925,1000.0,-888.9807740316757,-980.4338271948491,1854.8791042656062,-2150.0,1510.0,5642.5674740742,-156.4186694055709,2580.0,350.0,1320.0,290.3804568484451
t18,-0.0,-393.00983942876144,1200.0,760.0,128.80696256117017,1000.0,-517.7757686697472,-689.9203939573805,-2546.8145714652605,2150.0,1510.0,2328.414202651419,1542.7644581779143,2408.778524841029,350.0,1320.0,-600.0
