Time,Weight
1,87.0
2,87.0
3,87.0
4,87.0
5,87.0
6,87.0
7,87.0
8,87.0
9,87.0
10,87.0
11,87.0
12,87.0
13,87.0
14,87.0
15,87.0
16,87.0
17,87.0
18,87.0
19,87.0
20,87.0
21,87.0
22,87.0
23,87.0
24,87.0
25,94.0
26,94.0
27,94.0
28,94.0
29,94.0
30,94.0
31,94.0
32,94.0
33,94.0
34,94.0
35,94.0
36,94.0
37,94.0
38,94.0
39,94.0
40,94.0
41,94.0
42,94.0
43,94.0
44,94.0
45,94.0
46,94.0
47,94.0
48,94.0
49,102.0
50,102.0
51,102.0
52,102.0
53,102.0
54,102.0
55,102.0
56,102.0
57,102.0
58,102.0
59,102.0
60,102.0
61,102.0
62,102.0
63,102.0
64,102.0
65,102.0
66,102.0
67,102.0
68,102.0
69,102.0
70,102.0
71,102.0
72,102.0
73,82.0
74,82.0
75,82.0
76,82.0
77,82.0
78,82.0
79,82.0
80,82.0
81,82.0
82,82.0
83,82.0
84,82.0
85,82.0
86,82.0
87,82.0
88,82.0
89,82.0
90,82.0
91,82.0
92,82.0
93,82.0
94,82.0
95,82.0
96,82.0
