Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,4.2687180442609245e10,5.601808347776316e9,1.56985826791584e8,1.749564434e7,1.2721219832468176e9,4.560458419470099e8,3.136645037580365e9,9.010855320163587e8,3.0168035970815907e9,1.2009516758261314e8,6.241444724025779e9,2.163102141154068e10
cFix,2.604147455935883e10,3.855122039419985e9,1.495080624e8,1.69333925e7,8.384739573e8,4.261760936888492e8,2.632403875260296e9,6.836723580607077e8,2.2741545582999997e9,1.3949451999999998e7,3.3609801806743236e9,1.1790100589754663e10
cVar,2.1777210789656396e9,2.4570760799875748e8,1.7330612592000002e6,562251.8399999999,9.634822886023729e7,5.14038220824064e6,7.515419484928614e7,2.768980372627195e7,1.0519808010706472e8,1.6864668695074998e7,4.320628590056853e8,1.1712599404158092e9
cFuel,1.4332357475604774e10,1.500978700357573e9,5.744703132383996e6,2.912966126942251e-11,3.3729979708658046e8,2.4729366049920026e7,4.2908696747078323e8,1.897233702293791e8,6.374509586745261e8,8.928104688753814e7,2.448401684345771e9,8.669660881370209e9
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.2240789858917879e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
