Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_conventional_hydroelectric_1,1,1,1.0889303522695938e8
NY_Z_A,NY_Z_A_conventional_hydroelectric_1,2,1,3.324615977978984e8
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_conventional_hydroelectric_1,4,1,5.432439504964944e6
NY_Z_D,NY_Z_D_conventional_hydroelectric_1,5,1,1.384993834325435e8
NY_Z_F,NY_Z_F_conventional_hydroelectric_1,6,1,2.6200031936631665e7
PJM_EMAC,PJM_EMAC_conventional_hydroelectric_1,10,1,6.24193045872715e7
PJM_Rest,PJM_Rest_conventional_hydroelectric_1,11,1,8.614598840226625e7
NENG_Rest,NENG_Rest_conventional_steam_coal_1,1,1,1.0358423747139819e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,1,1,4.647487022348237e8
NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,1,2,1.2363325186895487e9
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1,5.2746323487638876e7
NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2,6.255786222792058e-9
NENG_Rest,NENG_Rest_nuclear_1,1,1,7.218983492386159e8
NY_Z_A,NY_Z_A_natural_gas_fired_combined_cycle_1,2,1,5.465923174249242e7
NY_Z_A,NY_Z_A_natural_gas_fired_combustion_turbine_1,2,1,1.9663784614782308e6
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,2,1,6.072617250453654e6
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,1.883513534158195e7
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_nuclear_1,3,1,0.0
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,1.689781113644764e8
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,7.02925937364864e6
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,0.0
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,1.9480935470938213e7
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,1.6469279948367171e7
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,4.4056147841432035e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,4.8699309642721854e7
NY_Z_F,NY_Z_F_natural_gas_fired_combustion_turbine_1,6,1,0.0
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,1,1.1035942827522442e8
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,2,2.0644396584361414e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,1,2.2114450239928737e6
NY_Z_G-I,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,2,445473.49272947636
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_1,8,1,1.2211500925210816e8
NY_Z_J,NY_Z_J_natural_gas_fired_combined_cycle_2,8,2,3.137634758172927e8
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1,-8.890034975293556e-9
NY_Z_J,NY_Z_J_natural_gas_fired_combustion_turbine_2,8,2,1.6552997570049208e8
