Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENG_Rest_conventional_hydroelectric_1,1,4.0728617207078254e6,1067.6,0.4354988315775736
NY_Z_A_conventional_hydroelectric_1,2,1.323031841612e7,2434.9,0.6202761187214612
NY_Z_B_conventional_hydroelectric_1,3,0.0,0.0,0.0
NY_Z_C&E_conventional_hydroelectric_1,4,214508.97642000008,63.3,0.38684559360730614
NY_Z_D_conventional_hydroelectric_1,5,5.561832341120001e6,809.6,0.7842297031963472
NY_Z_F_conventional_hydroelectric_1,6,1.0408324441000003e6,274.6,0.43268932648401837
PJM_EMAC_conventional_hydroelectric_1,10,2.4901282120000008e6,572.0,0.4969601598173517
PJM_Rest_conventional_hydroelectric_1,11,3.433908967870707e6,1507.8,0.25998059465745454
NENG_Rest_conventional_steam_coal_1,1,3.83688e6,438.0,1.0
NENG_Rest_natural_gas_fired_combined_cycle_1,1,1.7214829632000044e7,3721.9,0.5280000000000014
NENG_Rest_natural_gas_fired_combined_cycle_2,1,4.446576263196647e7,10513.3,0.4828170318028397
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1.9537848480000012e6,933.2,0.23900000000000013
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2.4664472035780206e-10,0.0,0.0
NENG_Rest_nuclear_1,1,2.673995007195446e7,3052.5057159765356,1.0000000000000002
NY_Z_A_natural_gas_fired_combined_cycle_1,2,2.185907328000004e6,444.8,0.561000000000001
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,78638.52000000009,47.0,0.19100000000000023
NY_Z_A_natural_gas_steam_turbine_1,2,232214.58000000013,45.0,0.5890780821917811
NY_Z_B_natural_gas_fired_combined_cycle_1,3,751187.5200000001,119.1,0.7200000000000002
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,0.0,0.0,0.0
NY_Z_B_nuclear_1,3,0.0,0.0,0.0
