Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,2.2153013181520092e8,3.084888721444654e7,1.5221510859703884e8,1.7268279342697185e8,4.731056395581641e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.714396093592715e6,2.8134527457644735e7,1.2403641678308027e7,6.524473286832099e6,2.0904585435018126e7,0.0,394942.7488019999,8.660684785022477e6,1.7922209549933344e6,3.5825379303999967e6,7.539240408635188e6,24040.12169591501,19557.512552667937,33128.00924785068,3994.2443019485754,20694.992183530172,34223.26908421119,129325.15730467407,49899.83896283559,403810.108186919,1.516230650276754e6,303790.3827267884,218558.0475709569,175666.60345212804,360463.59218510677,41260.92847872227,216579.063289732,441795.81587423134,1.8018282830818468e6,431671.160103027,5.108277451437378e6,1.4533996118027208e7,3.491862818108407e6,1.1723944655592036e9
t1,14107.19873030139,2574.8188510134923,13568.282347575694,14492.228637413391,44086.92041974927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,374.46940975714705,617.0448773381889,1964.8296002308218,0.0,27.40257,721.9608000000006,160.00026666666662,331.01640000000003,710.0178823966314,-0.0,3.5877658531483814,7.125701625003035,0.7972813006996402,-0.0,-0.0,-0.0,-0.0,-0.0,322.0939144561953,-0.0,6.180863130871316,25.952372403631234,51.27749713587562,5.958852878175146,5.670516633826885,10.49045577257975,37.56717269910317,31.66857705806136,238.64202435325797,1995.3621070989814,327.3242799849386,96805.89017482703
t2,15498.940904455034,2721.187868952062,13568.282347575694,14492.228637413391,47285.05841974927,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,192.12764940567854,1169.577438430765,845.3490209292613,553.6729707708438,2049.3729088821838,0.0,32.27034,664.1958400000005,197.8309933333333,426.19719999999995,907.3686241194491,1.5386804896228141,-0.0,-0.0,-0.0,1.4091073957598401,2.62385515072522,9.37785266833273,3.19073743637573,22.809853045647795,228.02210718617062,20.338793053232745,7.576630556338599,17.71965988222694,17.829920778927374,-0.0,6.951037207650081,12.859418834152661,46.050621500681835,25.88586784317197,262.70885356163683,1357.5789133190933,347.5920175199232,102995.72509144666
t3,17083.720904455033,2721.187868952062,14135.873271246846,14492.228637413391,50483.19641974927,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,261.86018000282456,2266.432477284096,1392.7047517390279,553.5912528036196,2337.473857533546,0.0,42.411,660.0195909497675,212.92483999999996,514.3750857142857,1105.2513015849927,-0.0,0.41495749567781653,0.8241516928045524,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.211133346779567,-0.0,18.781674964588827,0.110601403838334,7.533149859430786,13.936327239946966,49.907117818729006,-0.0,-0.0,488.82729099798416,-0.0,108851.79784424853
t4,18668.50090445503,2876.303180549232,14135.873271246846,15741.273442820202,53681.33441974927,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,2266.432477284096,1940.0604825487944,595.2343890927605,2424.939046184908,0.0,47.31675,723.2830218995343,235.46949999999995,555.0197714285714,1303.733066485452,0.7571721101930539,0.9888142528767627,-0.0,0.127523723821988,-0.0,1.2911777036976286,4.614764755808191,1.5701358495582274,-0.0,-0.0,9.942887303075565,-0.0,0.5966108716209909,-0.0,0.24758758584194518,-0.0,-0.0,-0.0,1.6276121361744853,14.164261652358222,-0.0,7.6536550149149605,115692.34375611314
t5,20253.28090445503,3051.483036233199,15146.235471246846,16718.621325557964,56664.332920524,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,2266.432477284096,1940.0604825487944,725.4066074146776,2506.589753503501,0.0,46.98759,853.9861328493013,235.27727999999993,548.188457142857,1468.069531849158,1.253904724011353,0.950327790829657,1.887456584564458,0.3387076773396896,1.1483127472525023,3.429415233064357,12.256984073730017,4.1703382772449284,20.171193854154215,83.42455804664552,16.522779005559187,0.4032108456369643,0.902718187918778,0.6048162684554466,-0.0,0.36991820700638933,0.6843486829618202,2.450708121417329,2.462702488491409,21.682328713419196,25.213609603091694,13.496641790477886,123092.7647809412
t6,21838.06090445503,3259.323036233199,16156.597671246845,17056.956743272767,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,2266.432477284096,1940.0604825487944,766.8863077693709,2568.1127704499386,0.0,51.924989999999994,917.7353237990682,212.37563999999995,493.8811428571427,1507.8000000000006,3.4961303356643643,2.6496987807140444,5.262596189473728,0.3776379977520861,3.20171936002947,3.8235847272398713,13.665775043653618,4.64966784732256,37.830034027709175,-0.0,46.451361030991926,-0.0,-0.0,2.364698375729705,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.876746250581533,126863.2849692916
t7,23273.78441202789,3467.1630362331994,17022.72375396128,17056.956743272767,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,2266.432477284096,1940.0604825487944,719.7127703907969,2611.423113488794,0.0,51.62747999999999,1048.9241947488351,166.73712,392.0978285714284,1422.9270356163868,-0.0,4.068356879038499,3.309512228948943,1.2817173042050858,4.9159312288381845,12.977387705076492,33.042185504380036,15.781144308025118,131.32471963760605,376.4829294603238,71.30173342957363,4.09565730198459,3.109317814121329,8.50818432870659,0.7139219150248368,3.757483763288615,6.951344962083937,-0.0,8.482519595624048,82.52817030828547,234.17270548779874,67.7784480926612,130210.64164880836
t8,24858.56441202789,3655.9275631799856,17022.72375396128,17266.123483357213,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,2266.432477284096,1940.0604825487944,687.9328774497384,2646.071814190569,0.0,52.206675000000004,1113.0781856986018,143.94532,337.7905142857143,1213.4850598162336,-0.0,7.2,14.3,1.229704925432286,11.602451760876239,-0.0,19.642132493460892,11.221886202410138,98.10006468713397,-0.0,71.30173342957363,11.853964143721386,-0.0,20.145644591311786,2.0662873278046447,7.117712698841096,9.674523526248427,47.154846629822266,24.55075601325782,237.25775519692866,682.4917713993733,-0.0,132176.74168323478
t9,26443.344412027887,3655.9275631799856,17583.96278949522,18556.463483357213,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,3171.7412080485096,1940.0604825487944,744.6820665414559,2877.632630353525,0.0,58.058760000000014,1244.6718566483687,144.0277,330.902,959.7022233755752,2.891061662575117,2.1911204179516677,4.351808607876228,1.71662057386599,6.125531632390637,10.70427381011975,-0.0,13.870456684838569,112.7098818154488,-0.0,-0.0,20.453922976140937,1.2037374937770746,33.04558283994111,3.5653627206117218,15.0075831872994,24.270783929896282,86.91564515435832,42.36213864095244,407.4321295285456,1195.4178583091812,-0.0,137390.9005049708
t10,27635.0979529669,3655.9275631799856,18083.8,19846.803483357213,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,4124.602452549924,1940.0604825487944,712.7387376659494,3047.935328913133,0.0,63.3,1309.311607598137,166.95680000000002,363.7729333333336,831.5990195535999,5.702262753642811,4.321714929076657,8.583406039693916,0.9603810953503683,-0.0,-0.0,17.13353086029679,-0.0,-0.0,-0.0,-0.0,28.609898938549172,7.395544933128279,33.04558283994111,4.987046603967285,22.490129941802365,38.11349542572677,136.48751740294045,-0.0,569.5453740491133,-0.0,128.06996474704107,140482.84004163573
t11,27870.18127518409,3720.0,18083.8,21137.143483357213,57241.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,453.9878294085031,5204.082387581126,1940.0604825487944,712.9658302002979,3047.935328913133,0.0,63.29999999999998,1309.3116075981372,193.77149000000003,349.1678666666672,829.1846185187608,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,54.66395303089143,-0.0,-0.0,-0.0,-0.0,31.092639285582614,54.02813771172023,193.4791418054846,-0.0,752.1219868231459,527.5166639043002,-0.0,143769.29472253786
