BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.0863326576861347e8,4.909167859206321e6,-6.449437502708092e6,1.8515684342479648e6,-1.8515684342479645e6,0.0,0.0,8.801011201485736e6,-259350.32659749902,-1.1563465700000001e8,1.3819765392062403e7,659873.9239128892,-860287.6928072245,116693.02016595511,-116693.02016595514,0.0,0.0,-3.28499312251567e6,-130604.50065239433,-1.0203754000000006e7,4.290249589180434e6,0.0,0.0,91151.77718308356,-91151.77718308356,0.0,0.0,3.5065202018900597e6,-71634.79107049498,-7.725135e6,2.7902680172873113e7,2.8230264128164565e6,-3.335333663535512e6,172477.27758531805,-172477.27758531767,0.0,0.0,-1.1523205153932756e7,-560361.7682212949,-1.5306805999999996e7,1.0053253924482455e7,106228.64993805459,-125506.43896273,20068.66212845309,-20068.662128453085,0.0,0.0,-8.214836367722695e6,-71135.76773507998,-1.748004e6,5.947427170954055e7,1.824291615593834e7,-2.204660546948955e7,103443.05934288555,-103443.05934288558,0.0,0.0,-4.576764155437499e7,-446595.8416143484,-9.456345e6,1.4537776111390255e7,5.860950308404103e6,-6.924563218813922e6,196527.43436719905,-196527.43436719914,0.0,0.0,4.036504938595855e6,-666899.1395762933,-1.6843768999999996e7,4.915025270405734e7,0.0,0.0,705789.0091452494,-705789.0091452494,0.0,0.0,1.5323480031871928e7,-131691.7359292868,-6.4342041e7,3.9637199050614405e6,2.205524651799351e-11,0.0,258093.9375832888,-258093.93758328873,0.0,0.0,1.6283831097034678e7,-230636.00209611453,-2.0016915000000004e7,1.4808834637520698e8,4.218988382597026e6,-5.480754706454789e6,2.367896446327238e6,-2.3678964463272383e6,0.0,0.0,6.242045866805518e6,-141614.9181547091,-1.5292701100000003e8,5.604938833045244e8,4.502014265589609e6,-5.852510761782972e6,7.7372974725441495e6,-7.737297472544153e6,0.0,0.0,1.4597282860862361e7,-380983.6691931951,-5.733596860000002e8
t1,15028.706015489968,725.5067964643958,-1370.1729658127756,60.420848736979465,-0.0,0.0,0.0,-3560.0,-39.019999999999996,-10845.440694878567,1607.73375,126.86126151549104,-166.66546080900673,4.313166320705562,-40.46140294757374,0.0,0.0,-525.4240459968119,-17.911,-988.4462680828046,340.80654999999996,0.0,-0.0,3.2718934303487797,-3.5877658531483814,0.0,0.0,419.5598762684317,-11.386,-748.6645538456321,3287.2240914285717,1172.1517938881864,-0.0,6.480244919940166,-0.0,0.0,0.0,-2906.2961895351036,-76.3773561351575,-1483.1825845664378,1664.5502815254142,48.5560137484693,-0.0,0.7400891426589296,-5.313561936057953,0.0,0.0,-1528.4147989829805,-10.8,-169.31802349750376,2063.0353800000003,3000.485204450145,-4291.188353538194,3.9537595151245344,-4.335217072554293,0.0,0.0,204.8706001247317,-59.797318588718554,-917.0240548905346,600.0734999999999,0.0,-2406.5448867406826,7.336495524632216,-0.0,0.0,0.0,3515.4925581481593,-85.47395417846033,-1630.883712753649,7317.26290659194,0.0,-0.0,26.248757841829608,-28.851617069068233,0.0,0.0,-1056.5698108310116,-16.671779454584282,-6241.418457079106,351.7025999999999,0.0,-0.0,8.938154154857415,-0.0,0.0,0.0,1606.781810804585,-30.871000000000002,-1936.5515649594422,15104.952958671956,0.0,-775.4219372531475,68.16155905988563,-954.1563431968164,0.0,0.0,720.0,-19.512,-14144.024237281876,57443.986313416855,0.0,-2940.0266722279525,284.96170723383074,-1266.144035829337,0.0,0.0,3110.0,-50.6715,-56582.10581259341
t2,12744.454808184828,121.78907646847807,-1973.8906858086934,40.60653058821736,-46.88066735910877,0.0,0.0,-829.815656622245,-39.019999999999996,-10017.243405451476,1811.5519000000002,240.0,-53.52672232449776,2.934447915090097,-3.5328138771691076,0.0,0.0,-1055.5553348205265,-17.911,-923.9604768928968,340.77799999999996,0.0,-0.0,2.225788619605458,-0.0,0.0,0.0,367.67319438021775,-11.386,-699.2909829998232,3264.432571428572,0.0,-1172.1517938881864,4.409770191001582,-56.59531170887753,0.0,0.0,-578.2721911788926,-76.3773561351575,-1385.4456887084593,1498.4330212079285,27.36574825062468,-21.190265497844617,0.5024450967523548,-0.0,0.0,0.0,-1336.079224717532,-10.8,-158.23172433992912,2052.0231350000004,4798.761822434728,-2492.911735553612,2.6896279695830354,-25.39888297177321,0.0,0.0,-3418.80571789795,-59.797318588718554,-856.5609303922575,600.0798999999998,0.0,-2406.5448867406826,4.992818212298132,-10.696328320309076,0.0,0.0,3421.7481072323862,-85.47395417846033,-1524.1056562052322,7723.607676206875,0.0,-0.0,17.8613014699114,-0.0,0.0,0.0,-1896.650958100854,-16.671779454584282,-5828.1462401213485,351.7025999999999,0.0,-0.0,6.081512631781592,-13.00726345124005,0.0,0.0,1495.757781725396,-30.870999999999995,-1809.6636309059375,14437.03923892346,0.0,-1490.0,46.87668225402666,-53.27832344340894,0.0,0.0,720.0,-19.512,-13641.125597734075,57441.33555075659,0.0,-3979.3650510056195,173.15131811611263,-1569.281225438725,0.0,0.0,3110.0,-50.6715,-55125.16909242837
t3,11210.198205685525,121.78907646847807,-1973.8906858086934,16.381918028036132,-7.203130550518911,0.0,0.0,197.53028944114482,-39.019999999999996,-9525.785673263972,1822.752240000001,293.34612085587236,-0.1806014686254077,1.1820161527936435,-0.0,0.0,0.0,-1219.5622800902063,-17.911,-879.6264954498353,340.77799999999996,0.0,-0.0,0.8966557150263501,-4.934796744488899,0.0,0.0,340.6855355004758,-11.386,-666.0393944710132,3300.1027514285715,0.0,-1172.1517938881864,1.7759058784660056,-0.0,0.0,0.0,-733.3976147687245,-76.3773561351575,-1319.9518925149684,1723.6007880240547,39.125706215220305,-0.0,0.20281418065562656,-1.960347103692213,0.0,0.0,-1600.0,-10.8,-150.16896131623844,2074.8372950000003,2122.7548266891704,-5168.918731299169,1.0835196257247337,-1.4091073957598401,0.0,0.0,1846.6939779538525,-59.797318588718554,-815.2444619851016,600.0862999999998,2406.5448867406826,-0.0,2.0105627710693916,-0.0,0.0,0.0,-1471.5906303684933,-85.47395417846033,-1451.5771649647982,8167.4387444246295,0.0,-0.0,7.193446179122947,-12.714802529408505,0.0,0.0,-2592.2781861312587,-16.671779454584282,-5552.9674224885,351.7025999999999,0.0,-0.0,1.314119311394942,-0.0,0.0,0.0,1401.9189084632098,-30.871000000000002,-1724.0646277746048,14320.125789476931,0.0,-1642.1321206847483,19.438849160582034,-0.0,0.0,0.0,720.0,-19.512,-13397.920517952763,57388.82693541392,0.0,-5133.0,77.12409432631989,-745.9921447755896,0.0,0.0,3110.0,-50.6715,-54646.28738496465
t4,8177.940482713787,121.78907646847807,-1973.8906858086934,21.283053917787228,-74.66566605831694,0.0,0.0,3056.732844953381,-39.019999999999996,-9290.169106186424,1982.600640000001,15.631287195282274,-277.89543512921546,1.5430402069506128,-1.3046854725457284,0.0,0.0,-848.2271135341948,-17.911,-854.4367332662777,340.74944999999997,0.0,-0.0,1.170467628819937,-1.1661578447667644,0.0,0.0,317.526780685524,-11.386,-646.8945404695771,3274.832017857143,1172.1517938881864,-0.0,2.3185454267953567,-0.0,0.0,0.0,-3091.2617893735774,-76.3773561351575,-1281.6632116633891,1793.657268024055,0.0,-35.657346629923104,0.2645099058255992,-1.3268514955642938,0.0,0.0,-1600.0,-10.8,-146.1375798043931,2097.662635,4797.916549663622,-2493.7570083247174,1.4143901535642238,-0.0,0.0,0.0,-3551.372316976323,-59.797318588718554,-792.0669309274288,600.0926999999999,0.0,-2406.5448867406826,2.624990528469632,-2.2248320689727157,0.0,0.0,3301.802201023642,-85.47395417846033,-1410.2762185639954,8167.4387444246295,0.0,-0.0,9.391256628302528,-0.0,0.0,0.0,-2768.4677618250703,-16.671779454584282,-5391.690459773277,351.7025999999999,0.0,-0.0,3.197747985732713,-1.570135849558195,0.0,0.0,1353.2671550466189,-30.871000000000002,-1675.7263671827934,15242.69415516024,0.0,-2321.252983174869,25.92348628918637,-154.09285040797096,0.0,0.0,720.0,-19.512,-13493.759807866585,57300.65309582694,0.0,-5133.0,90.43586991785206,-254.13774652678148,0.0,0.0,3110.0,-50.6715,-55063.279719218015
t5,11504.750722445548,121.78907646847807,-1973.8906858086934,22.365765781122114,-0.0,0.0,0.0,-399.4209574859116,-39.019999999999996,-9236.573921400543,1912.06419,53.52672232449776,-240.0,1.6571155696483175,-0.0,0.0,0.0,-865.9837899886338,-17.911,-843.3532379055122,340.7209,0.0,-0.0,1.2564351071274442,-0.9888142528767625,0.0,0.0,308.2234045620146,-11.386,-637.8259254162652,3342.857397857143,342.3008271579888,-829.8509667301978,2.4922728530199043,-1.9638949744635705,0.0,0.0,-1514.9242150617006,-76.3773561351575,-1264.53406496663,1743.564508024055,30.180378187566916,-18.375635560902552,0.28146841284891555,-0.7288300150976292,0.0,0.0,-1600.0,-10.8,-144.12188904847045,2120.4767950000005,2046.4164781454906,-5245.257079842849,1.5182309542588917,-1.194817222226088,0.0,0.0,1918.819736323454,-59.797318588718554,-780.9820247694113,600.0990999999999,1740.5510133833145,-665.9938733573681,2.822586212328548,-3.935973326921694,0.0,0.0,-196.93214313512226,-85.47395417846033,-1391.1367555977697,8161.102471278955,0.0,-0.0,10.092927439339155,-18.70980437248723,0.0,0.0,-2819.721931390705,-16.671779454584282,-5316.091883500517,351.7025999999999,0.0,-0.0,3.4352927800036244,-10.635457878394602,0.0,0.0,1339.9398961766042,-30.871000000000002,-1653.5713310782132,14873.38881243255,0.0,-1737.845995813842,27.689260915215186,-0.0,0.0,0.0,720.0,-19.512,-13863.720077533922,57403.997554238216,0.0,-3929.281451829919,108.63816764973721,-172.1807452210062,0.0,0.0,3110.0,-50.6715,-56470.502024837035
t6,8267.890407410989,121.78907646847807,-1973.8906858086934,53.08448891976121,-55.464559978526154,0.0,0.0,3068.476094319092,-39.019999999999996,-9442.8648213311,2135.54339,293.52672232449777,-0.0,3.818691195472815,-0.0,0.0,0.0,-1565.5790226904044,-17.911,-849.398780829566,340.69235,0.0,-0.0,2.8961831647567617,-0.0,0.0,0.0,310.66151172557073,-11.386,-642.8640448903275,3312.24505,1172.1517938881864,-0.0,5.739837980638975,-0.0,0.0,0.0,-3139.1492921218855,-76.3773561351575,-1274.6100336117825,1771.770648024055,15.55313793874792,-31.422514688186507,0.6524347508949877,-0.6239715990798873,0.0,0.0,-1600.0,-10.8,-145.12973442643178,2115.0801200000005,2145.1982933964105,-5146.475264591929,3.499705313529081,-2.127553149687401,0.0,0.0,1731.6503548396336,-59.797318588718554,-787.028337219239,600.1054999999999,2406.5448867406826,-0.0,6.499237323631281,-0.0,0.0,0.0,-1524.4508324146786,-85.47395417846033,-1403.2248374711753,7802.968119036006,0.0,-0.0,23.24750393613637,-0.0,0.0,0.0,-2453.132719338236,-16.671779454584282,-5356.4111241793225,351.7025999999999,0.0,-0.0,7.914687164270455,-2.6002024276867006,0.0,0.0,1341.5239056809078,-30.870999999999995,-1667.6699904174916,15424.963997780105,0.0,-1490.0,68.57020431086723,-96.25946522608243,0.0,0.0,720.0,-19.512,-14607.762736864888,57577.164354375025,0.0,-1626.4729628320556,244.5870018530074,-157.357536729354,0.0,0.0,3110.0,-50.6715,-59097.24935666662
t7,8703.513852957822,121.78907646847807,-1973.8906858086934,131.2034352716533,-0.0,0.0,0.0,3026.1199211860594,-39.019999999999996,-9969.715600075318,1943.92914,0.0,-293.52672232449777,9.463628184049275,-2.6496721494786364,0.0,0.0,-761.6940592349222,-17.911,-877.6113144751507,340.9358,0.0,-0.0,7.177674693159828,-2.0099585656683514,0.0,0.0,329.306630553897,-11.386,-664.0241466813884,3221.7720400000003,0.0,-1172.1517938881864,14.223694754400572,-3.9811077227653837,0.0,0.0,-667.5639719513833,-76.3773561351575,-1315.9215050569076,1771.4797880240549,18.440834340859624,-30.115179407609673,1.6180012214778365,-0.45448286254410886,0.0,0.0,-1600.0,-10.8,-150.16896131623844,2092.502096369312,5098.572106323488,-1525.157758618721,8.6734149921268,-2.4288333210756985,0.0,0.0,-4799.134682654587,-59.797318588718554,-813.2290245018257,600.7218999999999,855.7755436607397,-1550.769343079943,16.105147939920556,-4.5072005909396395,0.0,0.0,1618.7177310573634,-85.47395417846033,-1450.569824808681,7860.571330540706,0.0,-0.0,57.60969983405499,-16.125668119500496,0.0,0.0,-2359.6316477703685,-16.671779454584282,-5525.751935030306,352.4485999999999,0.0,-0.0,19.613996056326606,-0.0,0.0,0.0,1383.8800788139406,-30.870999999999995,-1725.0716748702675,14868.673455617914,0.0,-0.0,82.52817030828547,-0.0,0.0,0.0,720.0,-19.512,-15651.689625926203,57380.570231013466,1618.016198909023,-0.0,610.6556349481225,-0.0,0.0,0.0,3110.0,-50.6715,-62668.57056487062
t8,9572.040095472843,121.78907646847807,-1973.8906858086934,214.98922006500015,-182.10170184207965,0.0,0.0,3004.21972291885,-39.019999999999996,-10718.025727274398,1962.8820300000002,45.30501777545491,-240.0,15.059679836490995,-2.8767284020939803,0.0,0.0,-829.4302079308741,-17.911,-933.0287912789777,376.2958,0.0,-0.0,11.423579422736296,-2.1810692092329216,0.0,0.0,332.1920400500069,-11.386,-706.3443502635103,3248.3947900000003,992.1092783469611,-0.0,22.627948033656253,-4.326893790570723,0.0,0.0,-2782.875721643217,-76.3773561351575,-1399.5520448116727,1750.220258024055,33.644669941822265,-14.911343806647041,2.582070338212094,-0.48823940159042034,0.0,0.0,-1600.0,-10.8,-160.24741509585178,2117.463504379872,303.39864689488513,-1166.7,13.804233230879152,-2.635519264557673,0.0,0.0,-341.91858506863673,-59.797318588718554,-863.6149615837232,680.0282999999998,1312.5711719828637,-0.0,25.618530862857924,-4.9004931330341766,0.0,0.0,-385.60577651888616,-85.47395417846033,-1542.2377790153407,8447.398410953809,0.0,-0.0,91.65479361890311,-17.522271361700792,0.0,0.0,-2632.3617488883933,-16.671779454584282,-5872.497404868034,449.4285999999999,0.0,-0.0,31.208978312018793,-19.7,0.0,0.0,1405.78027708115,-30.870999999999995,-1835.8468553931684,16772.798038639186,0.0,-1413.2895634099607,281.1177200770553,-0.0,0.0,0.0,720.0,-19.512,-16341.114195306282,58225.92041096991,3324.899607100313,-0.0,974.3246469078526,-0.0,0.0,0.0,3110.0,-50.6715,-65584.47316497809
