Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENG_Rest_conventional_hydroelectric_1,1,2.955845994965664e6,1067.6,0.3160597057803087
NY_Z_A_conventional_hydroelectric_1,2,1.2253645997787664e7,2434.9,0.5744868521405933
NY_Z_B_conventional_hydroelectric_1,3,0.0,0.0,0.0
NY_Z_C&E_conventional_hydroelectric_1,4,203346.38117098238,63.3,0.3667149638435918
NY_Z_D_conventional_hydroelectric_1,5,5.586367953331381e6,809.6,0.7876892745573919
NY_Z_F_conventional_hydroelectric_1,6,984298.801160558,274.6,0.4091874611974237
PJM_EMAC_conventional_hydroelectric_1,10,1.9188731692668623e6,572.0,0.3829535813749047
PJM_Rest_conventional_hydroelectric_1,11,2.5377253793821684e6,1507.8,0.1921307056716163
NENG_Rest_conventional_steam_coal_1,1,-4.305362524475062e-10,-5.684341886080802e-14,0.0
NENG_Rest_natural_gas_fired_combined_cycle_1,1,6.275788605688311e-10,0.0,0.0
NENG_Rest_natural_gas_fired_combined_cycle_2,1,-5.802980206684496e-9,-1.8189894035458565e-12,0.0
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,-9.141187672439433e-11,0.0,0.0
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,2.572045927144943e-10,0.0,0.0
NENG_Rest_nuclear_1,1,1.6775083934560899e7,3355.5,0.5706940603398665
NY_Z_A_natural_gas_fired_combined_cycle_1,2,0.0,0.0,0.0
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,0.0,0.0,0.0
NY_Z_A_natural_gas_steam_turbine_1,2,68682.90367140344,35.31763116099159,0.22199999999999961
NY_Z_B_natural_gas_fired_combined_cycle_1,3,0.0,1.4210854715202004e-14,0.0
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,-1.6334744276175726e-10,-1.4210854715202004e-14,0.0
NY_Z_B_nuclear_1,3,2.641575455354153e6,581.3,0.5187505754607161
NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,-5.997434060568183e-10,-2.2737367544323206e-13,0.0
NY_Z_C&E_natural_gas_steam_turbine_1,4,-7.444934956263042e-11,0.0,0.0
NY_Z_C&E_nuclear_1,4,1.3592966873001928e7,2777.0,0.5587715330019225
NY_Z_D_natural_gas_fired_combined_cycle_1,5,0.0,0.0,0.0
NY_Z_D_natural_gas_fired_combined_cycle_2,5,0.0,1.4210854715202004e-14,0.0
NY_Z_F_natural_gas_fired_combined_cycle_1,6,1.9578090517282847e-9,0.0,0.0
NY_Z_F_natural_gas_fired_combined_cycle_2,6,5.782390994205566e-10,5.684341886080802e-14,0.0
NY_Z_F_natural_gas_fired_combustion_turbine_1,6,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_1,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_2,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,17597.08799999999,24.8,0.08099999999999995
NY_Z_J_natural_gas_fired_combined_cycle_1,8,5.602757511526076e-10,0.0,0.0
NY_Z_J_natural_gas_fired_combined_cycle_2,8,-1.9622052785980923e-9,-4.547473508864641e-13,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_1,8,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_2,8,-6.50756568421964e-10,-2.2737367544323206e-13,0.0
NY_Z_K_natural_gas_fired_combined_cycle_1,9,4.286368247886866e-11,0.0,0.0
NY_Z_K_natural_gas_fired_combined_cycle_2,9,1.0068669414627343e-10,0.0,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_1,9,-2.9364673634774346e-10,0.0,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_2,9,-5.998802400627146e-10,-1.1368683772161603e-13,0.0
