Resource,Fuel,Zone,AnnualSumCosts
NENG_Rest_conventional_steam_coal_1,new_england_coal,1,0.0
NENG_Rest_natural_gas_fired_combined_cycle_1,new_england_naturalgas,1,1.0184403473505895e8
NENG_Rest_natural_gas_fired_combined_cycle_2,new_england_naturalgas,1,1.2436883000339942e9
NENG_Rest_natural_gas_fired_combustion_turbine_1,new_england_naturalgas,1,7.845931041204467e7
NENG_Rest_natural_gas_fired_combustion_turbine_2,new_england_naturalgas,1,3.729771711959983e-11
NENG_Rest_nuclear_1,new_england_uranium,1,1.9013153162193824e7
NY_Z_A_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,2,0.0
NY_Z_A_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,2,2.6925042862800034e6
NY_Z_A_natural_gas_steam_turbine_1,middle_atlantic_naturalgas,2,3.114727347564004e6
NY_Z_B_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,3,0.0
NY_Z_B_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,3,0.0
NY_Z_B_natural_gas_steam_turbine_1,middle_atlantic_naturalgas,3,0.0
NY_Z_B_nuclear_1,middle_atlantic_uranium,3,3.0880460820240013e7
NY_Z_C&E_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,4,1.8570132100724417e8
NY_Z_C&E_natural_gas_steam_turbine_1,middle_atlantic_naturalgas,4,0.0
NY_Z_C&E_nuclear_1,middle_atlantic_uranium,4,1.489838825529122e8
NY_Z_D_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,5,2.487612786624007e7
NY_Z_D_natural_gas_fired_combined_cycle_2,middle_atlantic_naturalgas,5,0.0
NY_Z_F_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,6,4.496022489333226e8
NY_Z_F_natural_gas_fired_combined_cycle_2,middle_atlantic_naturalgas,6,1.60792836669247e-8
NY_Z_F_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,6,0.0
NY_Z_G-I_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,7,9.585907046133555e7
NY_Z_G-I_natural_gas_fired_combined_cycle_2,middle_atlantic_naturalgas,7,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,7,6.950369188677592e6
NY_Z_G-I_natural_gas_fired_combustion_turbine_2,middle_atlantic_naturalgas,7,745676.6039999994
NY_Z_J_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,8,3.949441673691404e7
NY_Z_J_natural_gas_fired_combined_cycle_2,middle_atlantic_naturalgas,8,3.054653618159286e8
NY_Z_J_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,8,-1.345762533434731e-8
NY_Z_J_natural_gas_fired_combustion_turbine_2,middle_atlantic_naturalgas,8,2.1871198000817996e8
NY_Z_K_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,9,3.2119826964374717e7
NY_Z_K_natural_gas_fired_combined_cycle_2,middle_atlantic_naturalgas,9,5.827740804290907e7
NY_Z_K_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,9,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_2,middle_atlantic_naturalgas,9,-2.9046285152084043e-8
PJM_EMAC_conventional_steam_coal_1,middle_atlantic_coal,10,0.0
PJM_EMAC_natural_gas_fired_combined_cycle_1,middle_atlantic_naturalgas,10,3.4749268723496187e8
PJM_EMAC_natural_gas_fired_combined_cycle_2,middle_atlantic_naturalgas,10,1.505804463602097e9
PJM_EMAC_natural_gas_fired_combined_cycle_3,middle_atlantic_naturalgas,10,1.4663116494587322e-8
PJM_EMAC_natural_gas_fired_combustion_turbine_1,middle_atlantic_naturalgas,10,0.0
PJM_EMAC_natural_gas_fired_combustion_turbine_2,middle_atlantic_naturalgas,10,-1.425747992628645e-7
PJM_EMAC_natural_gas_steam_turbine_1,middle_atlantic_naturalgas,10,1.0838804727920426e8
PJM_EMAC_nuclear_1,middle_atlantic_uranium,10,2.139426219443157e8
PJM_EMAC_nuclear_2,middle_atlantic_uranium,10,0.0
PJM_Rest_conventional_steam_coal_1,east_north_central_coal,11,4.582807588386478e9
PJM_Rest_natural_gas_fired_combined_cycle_1,east_north_central_naturalgas,11,3.140392230481545e8
PJM_Rest_natural_gas_fired_combined_cycle_2,east_north_central_naturalgas,11,2.2003300996904454e9
PJM_Rest_natural_gas_fired_combustion_turbine_1,east_north_central_naturalgas,11,5.960461227002882e7
PJM_Rest_natural_gas_fired_combustion_turbine_2,east_north_central_naturalgas,11,2.0138487274970834e-8
PJM_Rest_natural_gas_fired_combustion_turbine_3,east_north_central_naturalgas,11,0.0
PJM_Rest_natural_gas_fired_combustion_turbine_4,east_north_central_naturalgas,11,-8.775020182611116e-11
PJM_Rest_nuclear_1,east_north_central_uranium,11,2.142109612567283e8
NENG_Rest_naturalgas_ccavgcf_moderate_0,new_england_naturalgas,1,4.111619064587516e7
NENG_Rest_naturalgas_ctavgcf_moderate_0,new_england_naturalgas,1,0.0
NENG_Rest_nuclear_nuclear_moderate_0,new_england_uranium,1,0.0
NENG_Rest_naturalgas_ccs100_moderate_0,new_england_naturalgas_ccs100,1,0.0
NY_Z_A_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,2,0.0
NY_Z_A_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,2,0.0
NY_Z_A_nuclear_nuclear_moderate_0,middle_atlantic_uranium,2,0.0
NY_Z_A_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,2,0.0
NY_Z_B_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,3,0.0
NY_Z_B_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,3,0.0
NY_Z_B_nuclear_nuclear_moderate_0,middle_atlantic_uranium,3,0.0
NY_Z_B_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,3,0.0
NY_Z_C&E_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,4,0.0
NY_Z_C&E_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,4,0.0
NY_Z_C&E_nuclear_nuclear_moderate_0,middle_atlantic_uranium,4,0.0
NY_Z_C&E_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,4,0.0
NY_Z_D_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,5,0.0
NY_Z_D_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,5,0.0
NY_Z_D_nuclear_nuclear_moderate_0,middle_atlantic_uranium,5,0.0
NY_Z_D_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,5,0.0
NY_Z_F_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,6,0.0
NY_Z_F_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,6,0.0
NY_Z_F_nuclear_nuclear_moderate_0,middle_atlantic_uranium,6,0.0
NY_Z_F_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,6,0.0
NY_Z_G-I_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,7,0.0
NY_Z_G-I_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,7,0.0
NY_Z_G-I_nuclear_nuclear_moderate_0,middle_atlantic_uranium,7,1.8741633493679997e7
NY_Z_G-I_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,7,0.0
NY_Z_J_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,8,0.0
NY_Z_J_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,8,0.0
NY_Z_J_nuclear_nuclear_moderate_0,middle_atlantic_uranium,8,0.0
NY_Z_J_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,8,0.0
NY_Z_K_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,9,0.0
NY_Z_K_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,9,0.0
NY_Z_K_nuclear_nuclear_moderate_0,middle_atlantic_uranium,9,0.0
NY_Z_K_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,9,0.0
PJM_EMAC_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,10,3.636228100340053e8
PJM_EMAC_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,10,0.0
PJM_EMAC_nuclear_nuclear_moderate_0,middle_atlantic_uranium,10,0.0
PJM_EMAC_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,10,0.0
PJM_Rest_naturalgas_ccccsavgcf_moderate_0,east_north_central_naturalgas_ccs90,11,0.0
PJM_Rest_naturalgas_ccavgcf_moderate_0,east_north_central_naturalgas,11,1.640101916737797e9
PJM_Rest_naturalgas_ctavgcf_moderate_0,east_north_central_naturalgas,11,0.0
PJM_Rest_nuclear_nuclear_moderate_0,east_north_central_uranium,11,0.0
PJM_Rest_naturalgas_ccs100_moderate_0,east_north_central_naturalgas_ccs100,11,0.0
