Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
Zone,1,2,6,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,10,11,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,0
AnnualSum,1.8024009486222592e8,2.180692253610686e7,1.1182792709971252e8,1.7455960818918076e8,4.6964084716751635e8,0.0,1.1762743818009135e6,1.2351312627926044e7,0.0,0.0,3.5315593873605646e7,3.369060089241275e7,0.0,0.0,1.9542134163706195e7,1.2891398128892856e7,5.968365260942881e6,1.711560993136835e7,0.0,328345.776531,7.475661416777015e6,1.531645602333865e6,3.8355232680714536e6,7.716530499597531e6,58025.93308707582,47214.663873844984,91627.05155348305,9668.934340641279,61901.63051202275,107764.53870008166,385312.2947891386,131218.55848033543,832066.8852958974,4.289987684781483e6,901416.798534247,322663.28169020556,214743.21219790212,394253.5497319992,52829.180267673015,275880.3931547541,461950.6094473606,2.2787687387035154e6,668833.4219579806,6.020668576322896e6,1.731519363658329e7,5.041620823185115e6,1.1569780060758996e9
t1,12678.190025631531,1502.9099307159345,7305.970900692842,10620.905819861426,26174.014949165965,-0.0,60.589434352650755,539.7153366679814,-0.0,-0.0,-0.0,2026.6116053219632,-0.0,-0.0,-0.0,-0.0,421.01605683827205,1790.13848,0.0,27.40257,612.21952,143.4785,331.01640000000003,562.1973461223125,9.65561730006199,7.340239682189981,14.483425950092979,1.6749540214393241,8.867403642914072,16.40469673939103,58.77118081109158,20.000921550128545,-0.0,680.0190131591529,-0.0,46.05669798976228,34.85162884795769,69.00777064573441,7.959462907626701,42.19288104431243,78.04910229808709,279.66307051166046,95.28172587479345,436.7360426958777,2740.8464802927256,70.29453117997548,69514.53372251584
t2,13505.412459876981,1225.7736720554265,5958.742263279448,11911.245819861426,29372.152949165964,-0.0,121.17886870530151,1236.893816400161,-0.0,-0.0,2247.097897373016,2171.3137623331727,-0.0,-0.0,318.779922200015,-0.0,599.3943383766486,2060.9805233333327,0.0,35.79615,612.4624,191.51977000000002,430.9448,759.5480878451302,-0.0,5.486004692244709,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,46.59413476578957,-0.0,42.79297741046188,2.116429532996333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1593.1642671825412,97.59386085671035,74546.98517524678
t3,14591.752787721569,1310.6219218824556,6969.104463279447,13201.585819861426,32570.290949165963,-0.0,181.76830305795227,1934.0722961323409,-0.0,-0.0,2654.8888201477034,1706.101993609827,-0.0,-0.0,1659.0119590109414,1324.8,789.2023786216412,2131.1868066666657,0.0,42.890497499999995,680.0640000000001,218.31798400000008,483.39719999999994,957.4307653106738,1.1182328164897755,-0.0,1.6773492247346629,0.19397916204414473,1.0269485049395897,1.8998547341382408,6.806386479960724,2.316339405585963,-0.0,39.61053226231964,57.934945935794865,2.9711003461888383,0.646739155620503,1.2805722083572264,0.14770317744769804,0.7829702416159527,1.4483515458463594,5.189687370710865,1.768136095077783,14.975167301394658,1180.2713781117075,109.94575613605038,84838.50107618464
t4,12478.588815435196,1258.3523250593685,7979.466663279447,14491.925819861426,35768.428949165966,-0.0,183.3347263383049,1773.917266010423,-0.0,-0.0,-0.0,4221.236182151981,-0.0,-0.0,2982.5212404052263,1324.8,1067.6,2000.7573299999985,0.0,44.749934999999994,747.2608000000001,222.40677800000012,531.7807733333332,1155.9125302111331,2.664346080888799,1.175361614262523,3.9965191213331974,0.4621824834194855,2.4468484416325698,4.5266696170202545,-0.0,5.519002596126796,24.032154176235384,-0.0,15.141968525332985,4.029282659703242,1.4474777854778786,2.8660702049484374,0.33057696652820734,1.7523788711106913,3.2415799630435864,11.615126620054195,3.957295143002715,33.96974903802486,-0.0,-0.0,88356.21472415995
t5,14063.368815435197,1466.1923250593684,6969.815800000004,15782.265819861426,38966.566949165965,-0.0,214.75461136336514,2471.095745742603,-0.0,-0.0,2247.097897373016,3778.94660801388,-0.0,-0.0,3524.0888998874093,1757.6841475748054,1067.6,1999.29639,0.0,41.37446249999999,747.5036800000001,203.75869200000014,532.6883466666663,1245.3152729321873,-0.0,-0.0,3.843841030554182,-0.0,0.7481677742046031,-0.0,15.597627038949458,-0.0,65.28561539539,-0.0,34.67153037530674,4.572686413704114,1.8586776060389414,3.680264084684644,0.42448734683372724,2.250195061856457,4.1624487407967425,14.91475444845882,5.081484452873648,44.05622216907316,-0.0,7.852773390687033,97288.41523890532
t6,15648.148815435197,1433.759999999999,7980.1780000000035,16845.7205332853,41173.50976780273,-0.0,143.16974090891011,1647.397163828402,-0.0,-0.0,345.15423703649515,4204.553022085294,-0.0,-0.0,3524.0888998874093,1757.6841475748054,789.4082522893559,1797.19969,0.0,32.75775,680.7926400000001,162.40118599999997,486.1199199999996,1210.1120184403778,4.587773286706772,3.487643978159739,10.725500960614339,0.7958382232042358,4.961428955874087,7.794533186088544,27.92455883184274,-0.0,-0.0,-0.0,97.57845221756806,4.583724437597004,3.468556579456794,6.867895843580746,0.7921537199202879,4.199183796859002,7.767720942907676,27.83305157661671,9.482772200599173,70.37987991506354,-0.0,-0.0,100155.38645322695
t7,13534.984843148824,1641.599999999999,8990.540200000003,17328.990032016736,41173.50976780273,-0.0,71.58487045445506,823.698581914201,-0.0,-0.0,1954.9593511453268,1232.9861641668717,-0.0,-0.0,3524.0888998874093,1757.6841475748054,1067.6,1798.66063,0.0,27.50385,613.5958400000001,143.89040000000003,392.0754933333328,1050.305331414112,15.598677131237359,11.858178023236562,23.398015696856035,2.705892971745256,14.325315732769003,26.50183410562265,94.94500927329678,22.808300820813358,191.56510242424648,395.9282984795818,149.92479576962285,10.124618438362841,7.661414288090003,15.16994004271479,1.7497243274351892,9.275237696889448,17.157490977762535,61.47817806784416,20.945729084733863,181.38889096737063,324.5698075538679,80.67785541522062,98808.01671014813
t8,15119.764843148825,1849.439999999999,10000.902400000003,18383.970852660877,41173.50976780273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3524.0888998874093,1757.6841475748054,789.5111891232136,1800.12157,0.0,27.52284,613.75776,143.94532,345.50706666666656,765.929632971307,26.045444318706856,19.799853079016945,39.06816647806028,4.5180872797756795,23.91928559881242,44.25067835780297,158.53170955212897,31.142976696507986,451.0982904057779,1512.1811747340562,359.451068725186,19.806299550807342,14.987652848010255,29.67621727998482,3.4229007612972424,18.144697239498,33.56436668844869,120.26677529257007,21.797520007232258,390.1465403636303,945.2376895671943,237.6960214740037,100800.40970613433
