Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.07625108487961e7
new_england_naturalgas,3.666589465846639e8
new_england_uranium,2.741572559344882e7
middle_atlantic_naturalgas,1.1347618493793306e9
middle_atlantic_uranium,4.4433935072457045e8
middle_atlantic_coal,0.0
east_north_central_coal,2.224791042030397e9
east_north_central_naturalgas,1.14829551361188e9
east_north_central_uranium,2.6124657907584023e8
new_england_naturalgas_ccs100,0.0
middle_atlantic_naturalgas_ccs100,0.0
east_north_central_naturalgas_ccs90,0.0
east_north_central_naturalgas_ccs100,0.0
None,0.0
