BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
AnnualSum,1.1369078658478612e8,4.593912797547102e6,-6.125576430546727e6,2.71687508121559e6,-2.7168750812155893e6,0.0,0.0,5.203184428920349e6,-200589.3807068155,-1.17161718e8,1.3158588606911499e7,706023.1134182105,-941419.3811613085,188884.76349934126,-188884.7634993413,0.0,0.0,-2.5396089461262883e6,-128850.39304211411,-1.0254733000000002e7,1.3209161696512882e7,1.4081682108292065e6,-1.6637148048549225e6,138236.4840071643,-138236.48400716434,0.0,0.0,-5.128967456571054e6,-60961.645916116315,-7.763686000000001e6,3.3305129273421235e7,0.0,0.0,279161.1308428168,-279161.1308428169,0.0,0.0,-1.7388435086418785e7,-533482.1870024574,-1.5383211999999993e7,8.355007355083385e6,0.0,0.0,32014.25801203974,-32014.25801203974,0.0,0.0,-6.535475382019603e6,-62761.97306378428,-1.7567699999999998e6,5.309805183550757e7,7.125209534330131e6,-8.919490695129903e6,165059.7320572348,-165059.7320572347,0.0,0.0,-4.144719989426599e7,-353471.7804417911,-9.503099000000004e6,7.53244104730241e6,5.763287988028786e6,-6.809177679618124e6,324572.1907131732,-324572.1907131731,0.0,0.0,1.1100282804223234e7,-656644.1599363046,-1.6930190000000004e7,4.4832990461738944e7,0.0,0.0,1.1400605001854317e6,-1.140060500185431e6,0.0,0.0,1.9948261529811565e7,-129653.99155051458,-6.465159799999999e7,4.335370158174326e6,0.0,0.0,396201.76387750765,-396201.7638775075,0.0,0.0,1.6006557625916695e7,-219466.78409102504,-2.0122460999999996e7,1.4589381187998945e8,3.656528208217412e6,-4.6260072948130835e6,3.4002445402093166e6,-3.4002445402093166e6,0.0,0.0,8.721629156434152e6,-130884.94982787505,-1.53515077e8,5.643451613719751e8,2.7609119312715093e6,-3.6255421451402153e6,1.2210635905290654e7,-1.2210635905290658e7,0.0,0.0,1.2059771220095716e7,-373690.37820206006,-5.751666119999999e8
t1,13632.843781236055,1830.0,-0.0,92.71425921442216,-589.9116449027521,0.0,0.0,-3560.0,-39.019999999999996,-11366.626395547724,1569.4118230124088,240.0,-0.0,7.198725768638713,-29.975224812367557,0.0,0.0,-781.9483237279187,-17.911,-986.7760002407608,50.156549999999996,0.0,-150.24224202282534,5.46158713978552,-22.713828761376202,0.0,0.0,875.8138020425829,-11.386,-747.0898683981668,3247.8333700000003,0.0,-0.0,10.792845858523739,-44.92754785626448,0.0,0.0,-1644.8474833421883,-88.63900000000001,-1480.2121846600708,1379.2977674085325,0.0,-0.0,1.2467256314117716,-5.186100265748455,0.0,0.0,-1195.7398220230887,-10.8,-168.8185707511068,2061.4243933333337,1166.7,-0.0,6.6040129623689054,-27.48073507440018,0.0,0.0,-2222.8639374829713,-69.4125,-914.9712337383316,438.9108678171651,0.0,-2572.5654721134633,12.216899700939042,-50.83583095141164,0.0,0.0,3912.136495289555,-112.32788346135581,-1627.535076281428,7258.176572512436,0.0,-0.0,43.77115367484636,-182.14443942764137,0.0,0.0,-871.3731164386562,-21.64888346135582,-6226.78128685963,351.70259999999996,0.0,-0.0,14.903407558069102,-62.03608239916774,0.0,0.0,1658.8223856826849,-30.871000000000002,-1932.5213108415862,15164.257722385693,0.0,-1490.0,111.70438415341303,-1434.9035469413923,0.0,0.0,1575.8666661132436,-13.885419990951533,-13913.039805720002,57654.70685541421,0.0,-4082.802413824752,487.9350079707611,-1954.6079477967323,0.0,0.0,2254.133333886756,-45.044919990951534,-54314.3199156593
t2,14940.826502169732,837.0017110299098,-992.9982889700902,70.09230708719676,-744.5822159539582,0.0,0.0,-3560.0,-39.019999999999996,-10511.32001536279,1773.229973012409,240.0,-0.0,5.022561057243464,-60.734876347067726,0.0,0.0,-1017.7501311818735,-17.911,-921.8565265407108,50.128,50.678926654411725,-666.8296999875297,3.811604871012329,-46.003473401159994,0.0,0.0,1317.7501311818735,-11.386,-698.1494893186078,3225.04185,0.0,-0.0,7.53068706917191,-91.0218836649993,0.0,0.0,-1669.5824524904083,-88.63900000000001,-1383.3292009137638,1180.9681815500487,0.0,-0.0,0.870037411620348,-10.504454340686376,0.0,0.0,-1002.7033848655101,-10.8,-157.83037975547262,2060.0428280000006,1166.7,-1940.6880866110096,4.608307132126513,-55.66859181935301,0.0,0.0,-311.5422134198061,-69.4125,-854.0397432819581,438.91726781716517,1171.2382697786152,-2170.565016968434,8.52505274276472,-102.97885178024285,0.0,0.0,2288.8865338057785,-112.32788346135581,-1521.695371934292,7652.465839027214,0.0,-0.0,30.543571657378042,-368.9778229801301,0.0,0.0,-1476.2572435868306,-21.648883461355815,-5816.125460656275,351.70259999999996,0.0,-0.0,10.398919378057728,-125.6815668029795,0.0,0.0,1601.1987605567765,-30.871000000000002,-1806.7477131318549,14318.904556925978,0.0,-2602.345339127288,78.86302708876947,-0.0,0.0,0.0,1637.1966671312846,-14.888165507596504,-13417.730746511146,56909.83959154237,0.0,-4616.601918157823,310.6832135436632,-1864.8886094490217,0.0,0.0,2192.803332868715,-46.047665507596506,-52885.78794484032
t3,13715.623809987517,0.0,-1830.0,27.493863804673012,-57.934945935794865,0.0,0.0,-1817.818436862429,-39.019999999999996,-9998.344290993966,1966.804323012409,104.75212726387963,-135.24787273612037,1.9729036296822806,-0.0,0.0,0.0,-1042.4594445184043,-17.911,-877.9110366514461,50.128,0.0,-717.5086266419413,1.4968243069316078,-0.0,0.0,0.0,1342.4594445184043,-11.386,-665.1896421833945,3260.71203,0.0,-0.0,2.9579214330918893,-0.0,0.0,0.0,-1857.6221312126918,-88.63900000000001,-1317.4088202204002,1362.413509635991,0.0,-0.0,0.3416823394918428,-0.0,0.0,0.0,-1201.1172973990504,-10.8,-150.83789457643272,2082.8569880000005,2199.9407810337307,-907.4473055772794,1.8099187465555424,-0.0,0.0,0.0,-2493.6632146301426,-69.4125,-814.0846675728606,438.92366781716515,0.0,-3341.8032867470492,3.3482062799846,-0.0,0.0,0.0,4460.665060334785,-112.32788346135581,-1448.8057642235287,8167.438703279544,0.0,-0.0,11.99607385067159,-0.0,0.0,0.0,-2616.430146408988,-21.648883461355815,-5541.35574725987,351.70259999999996,0.0,-0.0,4.084475500663746,-0.0,0.0,0.0,1395.9861661785171,-30.871000000000002,-1720.902241679181,14283.373804576126,0.0,-3041.1377219551737,31.891626681778455,-0.0,0.0,0.0,1920.0,-19.512,-13174.615709302727,56858.458354693605,0.0,-5051.359767625493,135.90739795138091,-1405.9959713775345,0.0,0.0,1910.0,-50.6715,-52396.33851364197
t4,11817.094485527476,469.5021005356041,-1360.497899464396,36.1083757799608,-0.0,0.0,0.0,-1160.0,-39.019999999999996,-9763.187062378644,1795.2073369875918,0.0,-240.0,2.6042955779134265,-0.0,0.0,0.0,-686.958624260232,-17.911,-852.942008305273,50.099450000000004,168.03660631853666,-549.4720203234045,1.9761002441198987,-0.0,0.0,0.0,986.958624260232,-11.386,-646.2127604994839,3238.14285,0.0,-0.0,3.904667893189746,-0.0,0.0,0.0,-1873.9538562538164,-88.63900000000001,-1279.454661639373,1499.8024898209305,0.0,-0.0,0.4510771104558501,-0.0,0.0,0.0,-1343.6103046256965,-10.8,-145.8432623056899,2105.6823280000003,694.6037560877792,-2412.7843305232304,2.3893085661877187,-0.0,0.0,0.0,470.6319369093926,-69.4125,-791.1104990401295,438.93006781716514,1615.0407653134957,-1726.7625214335535,4.420043300079241,-0.0,0.0,0.0,1188.5672938364476,-112.32788346135581,-1407.8677653722782,8167.438703279544,0.0,-0.0,15.836220496425142,-16.217167727042536,0.0,0.0,-2763.9191403947,-21.64888346135582,-5381.48973219287,351.70259999999996,0.0,-0.0,5.391822238465766,-5.519002596126796,0.0,0.0,1352.2840705283734,-30.871000000000002,-1672.988490170712,14259.872774459505,0.0,-2723.193169019572,43.02673591286559,-206.71857542589885,0.0,0.0,1920.0,-19.512,-13273.475765926898,56684.16736199902,0.0,-5133.0,161.40597311239074,-757.977497232757,0.0,0.0,1910.0,-50.6715,-52813.924337878656
t5,12143.673491008838,304.6279289043764,-1525.3720710956236,42.52430376599377,-56.31304444998786,0.0,0.0,-1160.0,-39.019999999999996,-9710.120608133593,1993.7273369875918,62.9609630199983,-177.0390369800017,3.105964441036995,-5.2269067679249215,0.0,0.0,-1017.6616848677434,-17.911,-841.9556358329569,50.07090000000001,0.0,-717.5086266419413,2.359268914277299,-3.9735158592898636,0.0,0.0,1317.6616848677434,-11.386,-637.2237112807894,3298.296875,0.0,-0.0,4.6580349102903895,-7.84036015188738,0.0,0.0,-1944.0003801158055,-88.63900000000001,-1262.4751696425974,1516.6636498209305,0.0,-0.0,0.5384362137709697,-0.9067083168849353,0.0,0.0,-1361.6499683204236,-10.8,-143.84540939739279,2082.9128880000003,0.0,-3107.3880866110094,2.8511882502687347,-4.800220501155539,0.0,0.0,1875.959584082023,-69.4125,-780.1228532201277,438.9364678171651,2211.483948051181,-1130.3193386958683,5.274607087870649,-8.880407927137746,0.0,0.0,-14.272407483051666,-112.32788346135581,-1389.8949853888023,8161.102430133868,0.0,-0.0,18.897254867354086,-0.0,0.0,0.0,-2850.799101315482,-21.64888346135582,-5307.551700224383,351.70259999999996,0.0,-0.0,6.432350733017184,-0.0,0.0,0.0,1324.76227315274,-30.871000000000002,-1652.026223885757,14307.348774459504,0.0,-1991.402937645563,51.33993435020292,-40.94861355661917,0.0,0.0,1320.0,-9.702,-13636.635157607525,56660.783226549866,0.0,-4946.704337104417,212.32783938021532,-212.32783938021532,0.0,0.0,2510.0,-40.8615,-54183.21738944545
t6,9039.694891084073,0.0,-1830.0,94.07622517980536,-31.16930333754404,0.0,0.0,2694.007205740899,-39.019999999999996,-9927.589018667231,2135.54339,140.77558028841082,-99.22441971158918,6.715240843595996,-0.0,0.0,0.0,-1316.9518276505323,-17.911,-848.9469637698853,50.04235,717.5086266419413,-0.0,5.0975229515775915,-0.0,0.0,0.0,-119.04487208012142,-11.386,-642.2176275133975,3273.1721850000004,0.0,-0.0,10.069291688956259,-0.0,0.0,0.0,-1921.140576930799,-88.63900000000001,-1273.4618997581579,1611.8237098209306,0.0,-0.0,1.1635045962907964,-0.0,0.0,0.0,-1456.3439521115313,-10.8,-145.8432623056899,2105.738228,1940.6880866110096,-1166.7,6.162249916672029,-0.0,0.0,0.0,-2030.3599499511897,-69.4125,-786.1161145764924,438.94286781716517,1476.843118528995,-1864.9601682180542,11.399805388199479,-0.0,0.0,0.0,1451.9790986561711,-112.32788346135581,-1401.8768387111195,7821.717256681966,0.0,-0.0,40.842855960000634,-15.597627038949458,0.0,0.0,-2474.7979103680227,-21.648883461355823,-5350.515691773639,351.70259999999996,0.0,-0.0,13.904532413046693,-10.3896458760199,0.0,0.0,1342.6527846951267,-30.871000000000002,-1666.9992712321534,14066.615699723865,0.0,-1116.5475145043265,118.7281731572698,-0.0,0.0,0.0,1320.0,-9.702,-14379.094358376806,57557.956605228945,0.0,-3257.7589949874646,455.51157876605845,-455.51157876605845,0.0,0.0,2510.0,-40.8615,-56769.33611024148
t7,9619.452712402463,0.0,-1830.0,230.60265118484347,-97.57845221756806,0.0,0.0,2619.538954307556,-39.019999999999996,-10502.995865677292,1943.56914,0.0,-240.0,16.551797845296424,-0.0,0.0,0.0,-823.3001400600035,-17.911,-878.909797785293,50.0138,717.5086266419413,-0.0,12.563391753710032,-0.0,0.0,0.0,-103.51017621225688,-11.386,-665.1896421833945,3188.0049300000005,0.0,-0.0,24.81839996592992,-0.0,0.0,0.0,-1806.77550974553,-88.63900000000001,-1317.4088202204002,1544.0931698209304,0.0,-0.0,2.867625356055921,-0.0,0.0,0.0,-1385.3229006005536,-10.8,-150.83789457643272,2115.1574000000005,451.0775892883249,-2656.3104973226855,15.188108451129967,-0.0,0.0,0.0,958.3845671560907,-69.4125,-814.0846675728606,438.94926781716515,3341.8032867470492,-0.0,28.097070954388965,-0.0,0.0,0.0,-2244.720514503139,-112.3278834613558,-1451.8012275541082,7866.470189069902,0.0,-0.0,100.66557693268149,-0.0,0.0,0.0,-2416.121086411382,-21.648883461355812,-5529.365796129845,352.66259999999994,0.0,-0.0,34.27125770494805,-0.0,0.0,0.0,1371.826806069218,-30.871000000000002,-1727.8896637741661,14402.281707792838,0.0,-372.1880239528637,302.5741134765536,-203.64777044989506,0.0,0.0,1320.0,-9.702,-15439.318026866635,58110.50779273281,0.0,-956.4899472477091,1125.3321627971814,-352.9536359483184,0.0,0.0,2510.0,-40.8615,-60395.534872333985
t8,9751.894186715148,0.0,-1830.0,366.5444390143462,-0.0,0.0,0.0,3028.763679409813,-39.019999999999996,-11278.182305139308,1915.7220300000001,0.0,-240.0,25.570892399813275,-5.442444099899277,0.0,0.0,-743.0990570191934,-17.911,-934.8404212807208,50.0138,717.5086266419413,-0.0,19.402296749480875,-4.134383133780242,0.0,0.0,-64.26580172033962,-11.386,-707.1385385373023,3139.15479,0.0,-0.0,38.33866015689166,-8.162232138417384,0.0,0.0,-1679.3847314610662,-88.63900000000001,-1401.3074865574083,1482.7805948922824,0.0,-0.0,4.4289121425444105,-0.9435414006519338,0.0,0.0,-1315.6377329704053,-10.8,-159.82823266376977,2092.3879600000005,1940.6880866110096,-1166.7,23.459660831937406,-4.996231423285437,0.0,0.0,-1950.3995869177024,-69.4125,-865.0273891019598,438.95566781716514,1023.4149322355896,-0.0,43.39860469480138,-9.242884731934904,0.0,0.0,160.4621542477994,-112.32788346135581,-1544.660590802067,8427.020696799967,0.0,-0.0,155.48954370611173,-33.11424620255361,0.0,0.0,-2647.6752441590925,-21.648883461355815,-5880.071866683075,476.98259999999993,0.0,-0.0,52.94049670374025,-40.6,0.0,0.0,1381.236320590187,-30.871000000000002,-1839.6884172939274,15891.661707792839,0.0,-1336.64060297913,348.4925469720132,-77.42934810988476,0.0,0.0,1320.0,-9.702,-16136.382303675837,59591.461257379764,0.0,-0.0,1736.9207582678007,-447.80871929499517,0.0,0.0,2510.0,-40.8615,-63349.711796352574
