Constraint,CapRes_1,CapRes_2,CapRes_3
t1,0.0,0.0,0.0
t2,0.0,0.0,0.0
t3,0.0,0.0,0.0
t4,0.0,0.0,0.0
t5,0.0,0.0,0.0
t6,0.0,0.0,0.0
t7,0.0,0.0,0.0
t8,0.0,0.0,0.0
t9,0.0,0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,0.0,0.0,0.0
t15,0.0,0.0,0.0
t16,0.0,0.0,0.0
t17,0.0,0.0,0.0
t18,0.0,0.0,0.0
t19,0.0,2.794325514716783,0.0
t20,0.0,2.794325514716785,0.0
t21,0.0,2.794325514716785,0.0
t22,0.0,0.0,0.0
t23,0.0,0.0,0.0
t24,0.0,0.0,0.0
t25,0.0,0.0,0.0
t26,0.0,0.0,0.0
t27,0.0,0.0,0.0
t28,0.0,0.0,0.0
t29,0.0,0.0,0.0
t30,0.0,0.0,0.0
t31,0.0,0.0,0.0
t32,0.0,0.0,0.0
t33,0.0,0.0,0.0
t34,0.0,0.0,0.0
t35,0.0,-4.300151346298794e-15,0.0
t36,0.0,-4.300151346298794e-15,-3.5146257553204715e-17
t37,0.0,-4.300151346298794e-15,2.456222694889328
t38,0.0,0.743669690799306,2.456222694889328
t39,0.0,0.743669690799304,2.456222694889328
t40,0.0,2.456222694889328,2.456222694889328
t41,0.0,2.456222694889328,2.7875802403464234
t42,0.0,2.456222694889328,4.248496483134891
t43,0.0,0.5006863525846652,2.787580240346417
t44,0.0,0.626435782621539,2.456222694889328
t45,0.0,0.626435782621539,2.456222694889328
t46,0.0,0.5196470769572585,0.0
t47,0.0,0.0,0.0
t48,0.0,0.0,0.0
t49,-0.0,2.872763228180736,0.0
t50,0.0,2.872763228180736,0.0
t51,0.0,0.0,0.0
t52,0.0,0.0,0.0
t53,0.0,0.0,0.0
t54,0.0,0.0,0.0
t55,0.0,0.0,0.0
t56,0.0,0.0,0.0
t57,0.0,0.0,0.0
t58,0.0,0.0,0.0
t59,-0.0,2.183691431587486,0.0
t60,-4.7846567339959035e-17,7.928799949845434,-4.7846567339959035e-17
t61,2.456222694889328,8.064877640421242,2.456222694889328
t62,6.486689127670263,16.74921441188079,11.140559466348876
t63,49.37033481404184,49.1417923929892,64.97949687373419
t64,41.642457479838775,41.30207623932081,246.32909017359157
t65,465.4011810486027,475.6637063328132,488.6026962696554
t66,170.2901567072318,177.8155540601925,179.24488100756093
t67,208.42929735330122,212.5560691537204,214.06954153465182
t68,91.62206701320466,96.35079046583624,44.692498703025606
t69,110.07143686053432,114.80016031316589,2.456222694889328
t70,2.456222694889328,7.184946147520897,0.0
t71,0.7832737164082961,3.82143021390468,0.0
t72,0.0,2.872763228180736,0.0
t73,0.0,0.0,0.0
t74,0.0,0.0,0.0
t75,0.0,0.0,0.0
t76,0.0,0.0,0.0
t77,0.0,0.0,0.0
t78,0.0,0.0,0.0
t79,0.0,0.0,0.0
t80,0.0,0.0,0.0
t81,0.0,0.0,0.0
t82,0.0,0.0,0.0
t83,0.0,0.0,0.0
t84,0.0,0.0,0.0
t85,0.0,0.0,0.0
t86,0.0,0.0,0.0
t87,0.0,0.0,0.0
t88,0.0,0.0,0.0
t89,0.0,0.0,0.0
t90,0.0,0.0,0.0
t91,0.0,0.0,0.0
t92,0.0,0.0,0.0
t93,0.0,0.0,0.0
t94,0.0,0.0,0.0
t95,0.0,0.0,0.0
t96,0.0,0.0,0.0
