Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,6.714769726684472e10,8.968874688579517e9,2.233843093572728e8,2.8359155986643595e8,1.1396705777958403e9,2.2603557210356766e8,2.09115584004985e9,5.520176438411582e9,2.07238176866886e9,2.744868990881884e7,9.560110378453049e9,3.690608687176402e10
cFix,5.1556961361337776e10,7.63055939604388e9,2.2059966738386387e8,2.4876380048295996e8,9.709450765907725e8,2.2419542091376147e8,2.0873148735656672e9,3.706805748784074e9,2.070543504151921e9,2.561892131183604e7,8.207641163760247e9,2.616397378834879e10
cVar,3.5256648580772853e9,2.889585935496289e8,1.1873935753689702e6,1.0434316304765772e7,5.325357892223719e7,242902.79176623555,2.2437180861426257e6,4.05652493382375e8,241016.11889882263,232520.1989428377,3.5317553776564765e8,2.410042787381524e9
cFuel,1.1936290475543703e10,1.0493566989860065e9,1.5972483980399587e6,2.439344307871022e7,1.1547192228283063e8,1.5972483980399647e6,1.597248398039951e6,1.407718196245133e9,1.5972483980399417e6,1.5972483980399626e6,9.992936769271528e8,8.332070296033712e9
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.2060836098217855e8,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
