Zone,1,2,3,4,5,6,7,8,9,10,11,Total
CO2_Price_1,499.7834735353598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,482.54768867449604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,455.429032929202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,455.25614587492987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,452.66259259997685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,455.06824515682644,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,457.5421505411044,0.0,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.56392466145013,0.0,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.41763489636196,0.0,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.164007748671,0.0,0.0
CO2_Price_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.42280984021846,0.0
AnnualSum,24999.999999999945,25000.000000000022,24999.999999999964,25000.00000000009,25000.000000000182,24999.999999999898,25000.000000000065,24999.999999999753,25000.000000000175,25000.000000000062,25000.00000000003,275000.00000000023
t1,2.8538812785388115,2.8538812785388137,2.85388127853881,2.8538812785388226,2.853881278538827,2.8538812785388044,2.853881278538819,2.8538812785387844,2.8538812785388323,2.8538812785389003,2.853881278538789,31.392694063927017
t2,2.8538812785388115,2.8538812785388137,2.85388127853881,2.8538812785388226,2.853881278538827,2.8538812785388044,2.853881278538819,2.8538812785387844,2.8538812785388323,2.8538812785388177,2.853881278538789,31.392694063926935
t3,2.8538812785388115,2.853881278538814,2.85388127853881,2.8538812785388226,2.853881278538827,2.8538812785388044,2.853881278538819,2.8538812785387844,2.8538812785388323,2.8538812785388177,2.853881278538789,31.392694063926935
t4,2.8538812785388115,2.853881278538814,2.85388127853881,2.8538812785388226,2.853881278538827,2.8538812785388044,2.853881278538819,2.85388127853881,2.8538812785388323,2.8538812785388177,2.853881278538789,31.39269406392696
t5,2.8538812785388115,2.853881278538814,2.85388127853881,2.8538812785388226,2.853881278538827,2.8538812785388044,2.853881278538819,2.8538812785387844,2.8538812785388323,2.8538812785388177,2.853881278538789,31.392694063926935
